ts	arm	model	requests	attain_ttft	attain_tpot	attain_both	goodput_rps	goodput_tok_s	ttft_p50_ms	ttft_p99_ms	tpot_p50_ms	tpot_p99_ms	duration_s
1	glob_on	model_1	296	0.9662	0.8074	0.7736	0.3765	112.42	46.19	255.45	17.772	33.808	608.3
1	glob_on	model_2	22	1.0000	0.2727	0.2727	0.0099	1.48	57.38	134.61	24.002	36.127	608.3
1	glob_on	model_3	22	0.8182	0.0909	0.0909	0.0033	0.04	37.49	5424.30	15.241	21.672	608.3
1	glob_on	model_4	262	0.9733	0.4542	0.4389	0.1891	50.65	56.28	1404.93	23.659	38.984	608.3
1	glob_on	model_5	120	0.9750	0.3917	0.3833	0.0756	12.87	55.81	301.41	26.533	46.643	608.3
1	glob_on	model_6	19	1.0000	0.6842	0.6842	0.0214	4.29	43.50	122.79	13.137	64.606	608.3
1	glob_on	model_7	11	1.0000	0.2727	0.2727	0.0049	0.28	44.93	90.10	14.717	21.748	608.3
1	glob_on	model_8	2	0.0000	0.0000	0.0000	0.0000	0.00	2511.16	4478.19	29.009	40.733	608.3
1	glob_on	ALL	754	0.9655	0.5690	0.5491	0.6806	182.02	50.93	545.32	20.085	39.333	608.3
1	glob_off	model_1	296	0.9493	0.2601	0.2534	0.1218	32.12	67.39	308.89	34.523	48.936	615.7
1	glob_off	model_2	22	1.0000	0.0455	0.0455	0.0016	0.20	58.62	169.80	24.222	38.833	615.7
1	glob_off	model_3	22	0.8636	0.0000	0.0000	0.0000	0.00	55.28	155.49	24.728	32.031	615.7
1	glob_off	model_4	262	0.9351	0.0076	0.0076	0.0032	0.05	75.55	319.19	38.546	51.688	615.7
1	glob_off	model_5	120	1.0000	0.8250	0.8250	0.1608	27.63	42.04	162.01	16.682	35.798	615.7
1	glob_off	model_6	19	1.0000	0.6842	0.6842	0.0211	4.23	37.34	158.59	12.681	25.806	615.7
1	glob_off	model_7	11	1.0000	0.2727	0.2727	0.0049	0.26	40.30	94.82	14.377	21.376	615.7
1	glob_off	model_8	2	1.0000	0.0000	0.0000	0.0000	0.00	46.47	56.43	14.338	15.236	615.7
1	glob_off	ALL	754	0.9536	0.2586	0.2560	0.3134	64.50	66.38	308.45	33.704	50.369	615.7
0.5	glob_on	model_1	296	0.9797	0.6689	0.6622	0.6315	170.35	44.28	280.20	19.445	56.251	310.4
0.5	glob_on	model_2	22	0.9545	0.0455	0.0455	0.0032	0.02	56.73	224.33	24.157	32.712	310.4
0.5	glob_on	model_3	22	0.7273	0.0455	0.0455	0.0032	0.03	54.10	5990.69	16.576	29.561	310.4
0.5	glob_on	model_4	262	0.9504	0.1450	0.1412	0.1192	30.23	65.03	3740.88	33.798	47.588	310.4
0.5	glob_on	model_5	120	0.9833	0.3250	0.3167	0.1224	20.66	60.25	280.08	28.716	48.882	310.4
0.5	glob_on	model_6	19	1.0000	0.6842	0.6842	0.0419	6.77	37.95	57.28	16.223	19.739	310.4
0.5	glob_on	model_7	11	1.0000	0.1818	0.1818	0.0064	0.51	43.90	100.94	16.035	36.308	310.4
0.5	glob_on	model_8	2	0.0000	0.0000	0.0000	0.0000	0.00	1270.64	2254.48	16.202	17.271	310.4
0.5	glob_on	ALL	754	0.9602	0.3873	0.3820	0.9280	228.57	53.54	2326.11	24.241	48.357	310.4
0.5	glob_off	model_1	296	0.9527	0.1926	0.1926	0.1803	36.72	67.84	449.87	34.020	54.388	316.2
0.5	glob_off	model_2	22	0.9545	0.0455	0.0455	0.0032	0.02	68.28	327.53	26.181	33.252	316.2
0.5	glob_off	model_3	22	0.8636	0.0000	0.0000	0.0000	0.00	56.09	228.77	25.063	77.705	316.2
0.5	glob_off	model_4	262	0.9122	0.0038	0.0038	0.0032	0.01	83.84	766.89	43.478	67.227	316.2
0.5	glob_off	model_5	120	0.9583	0.7000	0.6833	0.2594	48.91	47.80	385.94	18.000	47.103	316.2
0.5	glob_off	model_6	19	0.7368	0.8421	0.6316	0.0380	5.41	45.65	401.50	15.601	20.449	316.2
0.5	glob_off	model_7	11	1.0000	0.0909	0.0909	0.0032	0.49	57.97	127.20	15.746	125.641	316.2
0.5	glob_off	model_8	2	1.0000	0.0000	0.0000	0.0000	0.00	63.54	73.23	12.688	13.022	316.2
0.5	glob_off	ALL	754	0.9324	0.2122	0.2042	0.4871	91.55	69.49	488.42	34.141	65.949	316.2
