t_rel,model_1_arrivals,model_1_running,model_1_queue,model_1_tokens,model_1_token_usage,model_1_gen_tps,model_1_prefill_tok,model_4_arrivals,model_4_running,model_4_queue,model_4_tokens,model_4_token_usage,model_4_gen_tps,model_4_prefill_tok,model_5_arrivals,model_5_running,model_5_queue,model_5_tokens,model_5_token_usage,model_5_gen_tps,model_5_prefill_tok,gpu0_sched_qlen,gpu0_mem_mib,gpu0_util,gpu1_sched_qlen,gpu1_mem_mib,gpu1_util,ctrl_actions
-13.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-12.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-11.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-10.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-9.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-8.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-7.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-6.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-5.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-4.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-2.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
-1.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
0.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,0,19735.0,1.0,0,36225.0,0.0,
1.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
2.0,2.0,1.0,0.0,,0.03,,272.0,6.0,4.0,0.0,,0.03,,1338.0,6.0,5.0,0.0,,0.03,,1566.0,0,19777.0,0.0,0,36409.0,0.0,
3.0,10.0,9.0,0.0,6642.0,0.03,3.42,1986.0,18.0,23.0,0.0,,0.05,,4236.0,18.0,22.0,0.0,,0.05,,4583.0,0,,,0,,,
4.0,14.0,20.0,0.0,6649.0,0.04,388.52,1419.0,7.0,27.0,0.0,,0.05,,1318.0,9.0,31.0,0.0,,0.06,,2779.0,0,20091.0,88.0,,38433.0,99.0,
5.0,16.0,30.0,0.0,8109.0,0.05,664.69,2220.0,9.0,32.0,0.0,11152.0,0.05,20.87,1388.0,14.0,40.0,0.0,,0.08,,5103.0,0,,,0,,,
6.0,12.0,39.0,0.0,9622.0,0.06,1112.22,2055.0,11.0,36.0,0.0,,0.06,,3197.0,8.0,46.0,0.0,17693.0,0.09,21.1,1696.0,0,20647.0,79.0,0,39285.0,99.0,
7.0,9.0,46.0,0.0,12422.0,0.07,1594.98,1729.0,7.0,44.0,0.0,13689.0,0.07,517.87,661.0,9.0,45.0,0.0,,0.08,,1434.0,0,,,0,,,
8.0,8.0,45.0,0.0,14425.0,0.07,1796.79,680.0,6.0,43.0,0.0,,0.07,,699.0,11.0,49.0,0.0,,0.08,,1917.0,0,21193.0,87.0,0,39599.0,99.0,
9.0,9.0,47.0,0.0,15943.0,0.09,1821.72,2305.0,13.0,52.0,0.0,,0.08,,4358.0,14.0,60.0,0.0,16742.0,0.1,645.78,4017.0,0,,,0,,,
10.0,15.0,55.0,0.0,18136.0,0.1,1878.92,3909.0,14.0,68.0,0.0,,0.1,,2837.0,14.0,74.0,0.0,,0.12,,3495.0,0,21787.0,65.0,0,41103.0,92.0,
11.0,8.0,56.0,0.0,20386.0,0.1,1574.91,1659.0,9.0,69.0,0.0,19382.0,0.1,599.66,2060.0,8.0,71.0,0.0,,0.11,,2325.0,0,,,0,,,
12.0,13.0,61.0,0.0,20345.0,0.11,2259.14,2128.0,16.0,82.0,0.0,,0.11,,1971.0,14.0,79.0,0.0,,0.12,,3500.0,0,22043.0,67.0,0,41487.0,99.0,
13.0,13.0,66.0,0.0,22022.0,0.11,2169.49,1594.0,6.0,83.0,0.0,,0.1,,1301.0,9.0,79.0,0.0,24338.0,0.12,656.26,3675.0,0,,,0,,,
14.0,7.0,58.0,0.0,21104.0,0.1,2255.01,985.0,9.0,83.0,0.0,20225.0,0.11,907.42,2010.0,13.0,90.0,0.0,,0.14,,1071.0,0,22171.0,43.0,0,42113.0,56.0,
15.0,9.0,61.0,0.0,,0.11,,1718.0,7.0,89.0,0.0,,0.11,,1505.0,10.0,94.0,0.0,,0.14,,4012.0,0,,,0,,,
16.0,9.0,65.0,0.0,22776.0,0.12,1658.85,2533.0,7.0,90.0,0.0,,0.12,,1645.0,13.0,101.0,0.0,,0.15,,2759.0,0,,,0,,,
17.0,11.0,66.0,0.0,23389.0,0.12,1426.69,2871.0,14.0,97.0,0.0,,0.11,,1732.0,12.0,116.0,0.0,,0.16,,2603.0,0,22427.0,80.0,0,42753.0,100.0,
18.0,11.0,69.0,0.0,,0.13,,1649.0,11.0,102.0,0.0,24189.0,0.12,828.43,1655.0,10.0,114.0,0.0,,0.16,,1887.0,0,,,0,,,
19.0,7.0,68.0,0.0,27563.0,0.13,1973.02,1437.0,6.0,102.0,0.0,,0.12,,832.0,13.0,120.0,0.0,32552.0,0.16,663.45,2470.0,0,22869.0,90.0,0,43065.0,97.0,
20.0,12.0,67.0,0.0,25383.0,0.13,2383.67,2560.0,12.0,110.0,0.0,,0.13,,1830.0,11.0,125.0,0.0,,0.17,,2885.0,0,,,0,,,
21.0,12.0,75.0,0.0,28282.0,0.15,2252.21,2710.0,14.0,118.0,0.0,,0.14,,2681.0,10.0,129.0,0.0,,0.18,,2528.0,0,22869.0,91.0,0,43963.0,99.0,
22.0,8.0,71.0,0.0,,0.15,,3085.0,13.0,126.0,0.0,,0.16,,3470.0,11.0,131.0,0.0,,0.18,,3311.0,0,,,0,,,
23.0,11.0,78.0,0.0,30816.0,0.16,1854.49,1145.0,8.0,127.0,0.0,32216.0,0.16,1016.17,1818.0,7.0,133.0,0.0,38206.0,0.19,1235.42,2126.0,0,23441.0,82.0,0,45039.0,99.0,
24.0,9.0,72.0,0.0,31972.0,0.15,2276.32,1710.0,11.0,133.0,0.0,,0.17,,3731.0,15.0,144.0,0.0,,0.21,,2860.0,0,,,0,,,
25.0,7.0,68.0,0.0,31835.0,0.16,2424.56,3195.0,13.0,142.0,0.0,,0.18,,2250.0,15.0,153.0,0.0,,0.21,,4049.0,0,23589.0,91.0,0,46469.0,100.0,
26.0,8.0,63.0,0.0,28751.0,0.14,2161.67,2324.0,9.0,140.0,0.0,,0.18,,2355.0,13.0,162.0,0.0,,0.22,,1744.0,0,,,0,,,
27.0,12.0,68.0,0.0,,0.16,,4130.0,10.0,144.0,0.0,,0.19,,3233.0,11.0,162.0,0.0,,0.21,,1581.0,0,23589.0,91.0,0,46933.0,99.0,
28.0,15.0,61.0,0.0,28061.0,0.13,1837.28,2197.0,11.0,149.0,0.0,,0.2,,2624.0,10.0,160.0,0.0,,0.21,,2787.0,0,,,0,,,
