t_rel,model_1_arrivals,model_1_running,model_1_queue,model_1_tokens,model_1_token_usage,model_1_gen_tps,model_1_prefill_tok,model_4_arrivals,model_4_running,model_4_queue,model_4_tokens,model_4_token_usage,model_4_gen_tps,model_4_prefill_tok,model_5_arrivals,model_5_running,model_5_queue,model_5_tokens,model_5_token_usage,model_5_gen_tps,model_5_prefill_tok,gpu0_sched_qlen,gpu0_mem_mib,gpu0_util,gpu1_sched_qlen,gpu1_mem_mib,gpu1_util,ctrl_actions
-13.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-12.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-11.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-10.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-9.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-8.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-7.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-6.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-5.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-4.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-2.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
-1.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
0.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,0,19775.0,0.0,0,36305.0,0.0,
1.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
2.0,,,,,,,,,,,,,,,1.0,0.0,0.0,,0.03,,721.0,0,19777.0,0.0,0,36309.0,0.0,
3.0,2.0,1.0,0.0,5209.0,0.03,1.43,272.0,4.0,3.0,0.0,,0.03,,562.0,5.0,5.0,0.0,,0.03,,845.0,0,,,0,,,
4.0,4.0,5.0,0.0,5497.0,0.03,118.79,1164.0,6.0,8.0,0.0,7089.0,0.04,3.72,1787.0,1.0,6.0,0.0,6776.0,0.03,3.45,89.0,0,19963.0,84.0,,36893.0,99.0,
5.0,1.0,3.0,0.0,5751.0,0.03,310.01,385.0,7.0,13.0,0.0,,0.04,,2352.0,9.0,13.0,0.0,7576.0,0.04,187.09,2255.0,0,,,0,,,
6.0,5.0,8.0,0.0,6645.0,0.03,476.82,437.0,7.0,16.0,0.0,7887.0,0.04,257.65,873.0,9.0,18.0,0.0,,0.05,,2572.0,0,19963.0,90.0,0,37879.0,98.0,
7.0,8.0,14.0,0.0,7717.0,0.04,533.9,801.0,2.0,18.0,0.0,8946.0,0.04,428.76,158.0,6.0,24.0,0.0,,0.06,,1763.0,0,,,0,,,
8.0,3.0,17.0,0.0,8794.0,0.04,986.64,95.0,3.0,20.0,0.0,,0.05,,595.0,2.0,19.0,0.0,12433.0,0.05,300.21,683.0,0,,,0,,,
9.0,8.0,23.0,0.0,9806.0,0.05,890.36,1045.0,3.0,21.0,0.0,10590.0,0.05,513.52,583.0,2.0,19.0,0.0,10190.0,0.05,560.73,641.0,0,20219.0,61.0,0,38135.0,75.0,
10.0,7.0,20.0,0.0,9912.0,0.05,1115.93,1315.0,4.0,24.0,0.0,,0.05,,821.0,6.0,21.0,0.0,,0.05,,1854.0,0,,,0,,,
11.0,4.0,21.0,0.0,10036.0,0.05,1018.37,383.0,4.0,25.0,0.0,11008.0,0.05,523.76,549.0,6.0,23.0,0.0,12253.0,0.06,410.83,2608.0,0,20377.0,70.0,0,38347.0,86.0,
12.0,5.0,23.0,0.0,12165.0,0.06,1316.14,1115.0,5.0,27.0,0.0,10942.0,0.05,580.1,1235.0,6.0,27.0,0.0,,0.06,,1065.0,0,,,0,,,
13.0,7.0,30.0,0.0,13373.0,0.07,1241.23,940.0,4.0,27.0,0.0,,0.06,,1414.0,2.0,27.0,0.0,13647.0,0.07,521.84,631.0,0,20761.0,82.0,0,38475.0,98.0,
14.0,4.0,29.0,0.0,13417.0,0.07,1734.81,927.0,5.0,32.0,0.0,12658.0,0.06,614.61,866.0,3.0,29.0,0.0,13808.0,0.07,786.96,70.0,0,,,0,,,
15.0,4.0,25.0,0.0,13964.0,0.07,1466.95,550.0,3.0,30.0,0.0,,0.06,,244.0,3.0,27.0,0.0,,0.06,,666.0,0,21051.0,91.0,0,38787.0,100.0,
16.0,1.0,20.0,0.0,13376.0,0.07,1318.82,252.0,1.0,26.0,0.0,12682.0,0.06,775.27,99.0,4.0,27.0,0.0,13846.0,0.07,683.21,1096.0,0,,,0,,,
17.0,2.0,16.0,0.0,12067.0,0.06,945.23,25.0,2.0,25.0,0.0,13093.0,0.06,785.5,227.0,4.0,31.0,0.0,,0.07,,506.0,0,21051.0,91.0,0,38787.0,99.0,
18.0,5.0,15.0,0.0,11773.0,0.06,1002.35,533.0,3.0,21.0,0.0,,0.06,,434.0,5.0,30.0,0.0,14274.0,0.07,643.36,499.0,0,,,0,,,
19.0,3.0,15.0,0.0,10528.0,0.05,1063.77,263.0,2.0,22.0,0.0,11898.0,0.06,621.31,776.0,4.0,30.0,0.0,,0.08,,895.0,0,21051.0,90.0,0,38915.0,100.0,
20.0,4.0,13.0,0.0,10752.0,0.05,815.14,1135.0,6.0,27.0,0.0,13654.0,0.07,500.84,1861.0,6.0,33.0,0.0,15749.0,0.08,628.82,1939.0,0,,,0,,,
21.0,3.0,10.0,0.0,8499.0,0.04,765.55,1029.0,9.0,31.0,0.0,,0.07,,2739.0,5.0,35.0,0.0,,0.08,,1697.0,0,21091.0,89.0,0,39427.0,99.0,
22.0,8.0,14.0,0.0,9135.0,0.04,636.38,1033.0,8.0,34.0,0.0,,0.07,,851.0,6.0,36.0,0.0,18747.0,0.09,611.8,1599.0,0,,,0,,,
23.0,4.0,14.0,0.0,9400.0,0.04,773.4,1810.0,2.0,32.0,0.0,14837.0,0.07,572.13,950.0,6.0,38.0,0.0,,0.09,,1441.0,0,,,0,,,
24.0,7.0,17.0,0.0,9904.0,0.05,763.9,1761.0,6.0,34.0,0.0,14576.0,0.07,825.75,851.0,3.0,33.0,0.0,18892.0,0.09,731.62,652.0,0,21133.0,91.0,0,39683.0,99.0,
25.0,2.0,15.0,0.0,9251.0,0.05,935.26,306.0,1.0,35.0,0.0,,0.07,,436.0,4.0,34.0,0.0,,0.09,,959.0,0,,,0,,,
26.0,3.0,15.0,0.0,10649.0,0.05,850.66,871.0,3.0,31.0,0.0,15879.0,0.07,788.08,829.0,3.0,29.0,0.0,17796.0,0.08,780.76,1169.0,0,21133.0,92.0,0,39811.0,99.0,
27.0,4.0,13.0,0.0,13372.0,0.07,945.89,509.0,4.0,32.0,0.0,,0.07,,273.0,4.0,33.0,0.0,,0.09,,1686.0,0,,,0,,,
