Real trace file: /root/Prism-final-regression-diagnosis/exp/results/final-regression-diagnosis/alg2-root-cause/sanity/steady_r8_s1_120s.pkl
[PRISM_DIRECT] 958 requests, span 119.9s
Starting TP benchmark: paper-alg2-only_steady_rate8_seed1
Generated 958 requests
Request model_2#0 arrives at 1667768.704396106, sleeping for 0.002522490918636322 seconds
Request model_4#0 arrives at 1667768.707539329, sleeping for 0.03836576431058347 seconds
Request model_5#0 arrives at 1667768.746689347, sleeping for 0.1823635248001665 seconds
Request model_5#1 arrives at 1667768.929811246, sleeping for 0.05591154517605901 seconds
Request model_2#1 arrives at 1667768.9868407, sleeping for 1.1794476888608187 seconds
Request model_6#0 arrives at 1667770.166956097, sleeping for 0.18372016050852835 seconds
Request model_5#2 arrives at 1667770.351984091, sleeping for 0.10320355580188334 seconds
Request model_5#3 arrives at 1667770.455464206, sleeping for 0.12943401839584112 seconds
Request model_6#1 arrives at 1667770.585249661, sleeping for 0.00857729185372591 seconds
Request model_5#4 arrives at 1667770.595944143, sleeping for 0.12109107035212219 seconds
Request model_4#1 arrives at 1667770.717700837, sleeping for 0.14738664845936 seconds
Request model_3#0 arrives at 1667770.86569949, sleeping for 0.10857991990633309 seconds
Request model_3#1 arrives at 1667770.974485306, sleeping for 0.3408122274558991 seconds
Request model_3#2 arrives at 1667771.316511482, sleeping for 0.20643153483979404 seconds
Request model_3#3 arrives at 1667771.524620751, sleeping for 0.0155372170265764 seconds
Request model_1#0 arrives at 1667771.541239077, sleeping for 0.5051570278592408 seconds
Request model_3#4 arrives at 1667772.048015704, sleeping for 0.1467648553662002 seconds
Request model_6#2 arrives at 1667772.195749295, sleeping for 0.27781716105528176 seconds
Request model_5#5 arrives at 1667772.474064837, sleeping for 0.18681923835538328 seconds
Request model_4#2 arrives at 1667772.66148117, sleeping for 0.04655918339267373 seconds
Request model_5#6 arrives at 1667772.708473326, sleeping for 0.0012040638830512762 seconds
Request model_5#7 arrives at 1667772.71031204, sleeping for 0.1960611764807254 seconds
Request model_5#8 arrives at 1667772.907182714, sleeping for 0.26755627477541566 seconds
Request model_3#5 arrives at 1667773.176869181, sleeping for 0.2016273383051157 seconds
Request model_5#9 arrives at 1667773.379185597, sleeping for 0.13162135076709092 seconds
Request model_3#6 arrives at 1667773.511154448, sleeping for 0.12391270860098302 seconds
Request model_5#10 arrives at 1667773.636092516, sleeping for 0.16578302346169949 seconds
Request model_3#7 arrives at 1667773.802675421, sleeping for 0.20842020632699132 seconds
Request model_4#3 arrives at 1667774.012545474, sleeping for 0.05494504445232451 seconds
Request model_4#4 arrives at 1667774.068295897, sleeping for 0.030046320986002684 seconds
Request model_3#8 arrives at 1667774.09901087, sleeping for 0.010295849991962314 seconds
