1787384641.745792571 0, 33372, 0;1, 33386, 0;
1787384644.378498574 0, 33866, 11;1, 33822, 5;
1787384646.883688878 0, 33902, 6;1, 33896, 61;
1787384649.382201131 0, 34174, 4;1, 34080, 1;
1787384651.845681626 0, 34178, 13;1, 34398, 52;
1787384654.361274936 0, 34560, 0;1, 34400, 28;
1787384656.956380809 0, 34906, 9;1, 34402, 59;
1787384659.428183945 0, 35162, 0;1, 34676, 10;
1787384661.937947328 0, 35418, 14;1, 34900, 72;
1787384664.393735730 0, 35546, 13;1, 35256, 0;
1787384666.935384133 0, 35674, 6;1, 35386, 0;
1787384669.583813565 0, 36090, 7;1, 35710, 0;
1787384672.254094052 0, 36090, 3;1, 35738, 20;
1787384675.018642093 0, 36090, 6;1, 35738, 9;
1787384677.807198745 0, 36090, 14;1, 35738, 13;
1787384680.643857080 0, 36092, 0;1, 35828, 64;
1787384683.381791296 0, 36092, 10;1, 36194, 8;
1787384686.249604925 0, 36092, 86;1, 36194, 74;
1787384688.595180253 0, 36092, 0;1, 36306, 16;
1787384691.812653212 0, 36092, 0;1, 36306, 3;
1787384694.703595273 0, 36092, 69;1, 36306, 14;
1787384697.869200546 0, 36548, 0;1, 36406, 42;
1787384700.911756104 0, 37192, 0;1, 36406, 16;
1787384703.915870400 0, 37252, 7;1, 36436, 15;
1787384706.705295207 0, 37252, 1;1, 36630, 56;
1787384709.501346903 0, 37252, 5;1, 36632, 89;
1787384712.289520948 0, 37418, 15;1, 36632, 11;
1787384715.218189687 0, 37418, 16;1, 36632, 0;
1787384718.027596291 0, 37462, 8;1, 36632, 36;
1787384720.971598804 0, 37462, 0;1, 36632, 0;
1787384723.994770335 0, 37606, 40;1, 36632, 28;
1787384727.035182887 0, 37606, 100;1, 36744, 100;
1787384729.237576116 0, 37606, 2;1, 36744, 12;
1787384731.797744237 0, 37582, 0;1, 36746, 0;
1787384734.743648178 0, 37420, 7;1, 36186, 9;
1787384737.575094592 0, 37420, 7;1, 36298, 0;
1787384740.333533231 0, 37420, 13;1, 36298, 76;
1787384743.133594975 0, 37420, 6;1, 36298, 10;
1787384746.002892742 0, 37420, 2;1, 36298, 0;
1787384748.810531121 0, 37422, 10;1, 36298, 0;
1787384751.581715284 0, 37422, 14;1, 36298, 0;
1787384754.479162921 0, 37422, 0;1, 36440, 14;
1787384757.419114619 0, 37422, 2;1, 36522, 0;
1787384760.275389472 0, 37422, 7;1, 36522, 0;
1787384763.204494216 0, 37422, 54;1, 36522, 39;
1787384766.002110374 0, 37422, 13;1, 36522, 14;
1787384768.883403973 0, 37422, 7;1, 36522, 28;
1787384771.454121090 0, 37422, 9;1, 36298, 2;
1787384774.286574778 0, 37338, 12;1, 36298, 0;
1787384776.993833338 0, 37166, 6;1, 36298, 13;
1787384779.696782103 0, 37138, 0;1, 36264, 13;
