1787385678.557180499 0, 33896, 0;1, 33918, 4;
1787385681.333972201 0, 33922, 0;1, 34144, 0;
1787385683.815568699 0, 33944, 0;1, 35114, 18;
1787385686.435445420 0, 34180, 6;1, 35634, 26;
1787385688.961596184 0, 34292, 0;1, 35796, 39;
1787385691.326535323 0, 34308, 33;1, 36244, 51;
1787385694.188353118 0, 34564, 67;1, 36880, 81;
1787385696.512005192 0, 34564, 92;1, 37420, 100;
1787385698.690117997 0, 34652, 61;1, 37684, 91;
1787385700.967026975 0, 35286, 8;1, 37764, 0;
1787385703.535400729 0, 35286, 6;1, 38352, 11;
1787385706.025361817 0, 35286, 6;1, 38704, 3;
1787385708.519534461 0, 35286, 0;1, 38994, 0;
1787385711.347542252 0, 35286, 0;1, 39930, 0;
1787385713.940576055 0, 35286, 9;1, 40894, 0;
1787385716.490575509 0, 49910, 100;1, 40994, 14;
1787385719.153491668 0, 50988, 0;1, 41774, 4;
1787385721.892349242 0, 52224, 0;1, 40368, 0;
1787385724.579156961 0, 53696, 74;1, 40545, 89;
1787385726.848978107 0, 54714, 0;1, 40545, 0;
1787385729.522593748 0, 56696, 0;1, 40545, 0;
1787385732.202142749 0, 59020, 14;1, 40545, 7;
1787385735.166309604 0, 59970, 9;1, 40469, 0;
1787385737.657073980 0, 60856, 13;1, 38081, 0;
1787385740.240800383 0, 62148, 0;1, 37745, 11;
1787385742.937390227 0, 63364, 9;1, 37633, 0;
1787385745.659673776 0, 64566, 6;1, 37631, 20;
1787385748.442775891 0, 66624, 0;1, 45261, 0;
1787385751.195509434 0, 69072, 0;1, 45233, 0;
1787385753.947699372 0, 67832, 0;1, 45233, 0;
1787385756.769025576 0, 68369, 28;1, 45233, 9;
1787385759.351868256 0, 70575, 0;1, 45401, 0;
1787385761.998455918 0, 72429, 0;1, 45799, 0;
1787385764.860420080 0, 73821, 0;1, 46163, 0;
1787385767.760381416 0, 75099, 2;1, 48367, 2;
1787385771.166494923 0, 75413, 3;1, 48943, 60;
1787385773.558107701 0, 74913, 6;1, 49395, 7;
1787385776.627517941 0, 58865, 100;1, 53095, 90;
1787385778.869110930 0, 59429, 0;1, 53605, 21;
1787385781.665467448 0, 57448, 0;1, 53605, 0;
1787385784.790985353 0, 57718, 8;1, 53701, 33;
1787385787.189050154 0, 57718, 0;1, 53833, 0;
