t_rel,model_1_arrivals,model_1_running,model_1_queue,model_1_tokens,model_1_token_usage,model_1_gen_tps,model_1_prefill_tok,model_4_arrivals,model_4_running,model_4_queue,model_4_tokens,model_4_token_usage,model_4_gen_tps,model_4_prefill_tok,model_5_arrivals,model_5_running,model_5_queue,model_5_tokens,model_5_token_usage,model_5_gen_tps,model_5_prefill_tok,gpu0_sched_qlen,gpu0_mem_mib,gpu0_util,gpu1_sched_qlen,gpu1_mem_mib,gpu1_util,ctrl_actions
-12.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-11.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-10.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-9.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-8.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-7.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-6.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-5.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-4.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
-2.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
-1.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
0.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,1.0,0.0,0.0,,0.03,,7.0,0,19735.0,0.0,0,36225.0,0.0,
1.0,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,
2.0,2.0,1.0,0.0,,0.03,,272.0,4.0,3.0,0.0,,0.03,,562.0,6.0,5.0,0.0,,0.03,,1566.0,0,19777.0,0.0,0,36309.0,0.0,
3.0,5.0,5.0,0.0,6744.0,0.03,201.82,1549.0,10.0,12.0,0.0,,0.04,,3344.0,6.0,11.0,0.0,6837.0,0.04,5.62,926.0,0,,,0,,,
4.0,5.0,7.0,0.0,6278.0,0.03,324.16,437.0,10.0,22.0,0.0,9562.0,0.05,6.27,1668.0,14.0,25.0,0.0,,0.06,,4180.0,0,19963.0,87.0,0,37579.0,98.0,
