Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s99.pkl
[PRISM_DIRECT] 3429 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate8_seed99
Generated 3429 requests
Request model_4#0 arrives at 1610743.075986682, sleeping for 0.01819890458136797 seconds
Request model_6#0 arrives at 1610743.095164956, sleeping for 0.03538299980573356 seconds
Request model_4#1 arrives at 1610743.131435839, sleeping for 0.11394908977672458 seconds
Request model_2#0 arrives at 1610743.246292452, sleeping for 0.025942994747310877 seconds
Request model_2#1 arrives at 1610743.274064992, sleeping for 0.03576055238954723 seconds
Request model_4#2 arrives at 1610743.311686684, sleeping for 0.007630497915670276 seconds
Request model_4#3 arrives at 1610743.319433062, sleeping for 0.016551938373595476 seconds
Request model_4#4 arrives at 1610743.337069395, sleeping for 0.5537637353409082 seconds
Request model_4#5 arrives at 1610743.891354052, sleeping for 0.030578091042116284 seconds
Request model_4#6 arrives at 1610743.922314425, sleeping for 0.04401869303546846 seconds
Request model_4#7 arrives at 1610743.966986461, sleeping for 0.06905945879407227 seconds
Request model_4#8 arrives at 1610744.036634194, sleeping for 0.00015830458141863346 seconds
Request model_4#9 arrives at 1610744.037137808, sleeping for 0.16915959166362882 seconds
Request model_4#10 arrives at 1610744.206899364, sleeping for 0.33739219792187214 seconds
Request model_6#1 arrives at 1610744.544893726, sleeping for 0.0629965381231159 seconds
Request model_4#11 arrives at 1610744.608738095, sleeping for 0.061003579292446375 seconds
Request model_6#2 arrives at 1610744.67049841, sleeping for 0.10366644221358001 seconds
Request model_2#2 arrives at 1610744.775189297, sleeping for 0.034311853582039475 seconds
Request model_4#12 arrives at 1610744.809948738, sleeping for 0.05176056735217571 seconds
Request model_4#13 arrives at 1610744.863730963, sleeping for 0.117459780536592 seconds
Request model_6#3 arrives at 1610744.98171034, sleeping for 0.12394882924854755 seconds
Request model_4#14 arrives at 1610745.10678867, sleeping for 0.021826340816915035 seconds
Request model_6#4 arrives at 1610745.12947593, sleeping for 0.012684677029028535 seconds
Request model_4#15 arrives at 1610745.1440631, sleeping for 0.11066913651302457 seconds
Request model_4#16 arrives at 1610745.25578416, sleeping for 0.0038553953636437654 seconds
Request model_6#5 arrives at 1610745.260479566, sleeping for 0.04568932019174099 seconds
Request model_4#17 arrives at 1610745.307183786, sleeping for 0.3480859885457903 seconds
Request model_6#6 arrives at 1610745.656320732, sleeping for 0.33289670292288065 seconds
Request model_2#3 arrives at 1610745.989483236, sleeping for 0.2492836401797831 seconds
Request model_6#7 arrives at 1610746.239905779, sleeping for 0.2203286753501743 seconds
Request model_4#18 arrives at 1610746.461558665, sleeping for 0.21018050145357847 seconds
Request model_4#19 arrives at 1610746.672825294, sleeping for 0.10771887795999646 seconds
