Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s99.pkl
[PRISM_DIRECT] 3429 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate8_seed99
Generated 3429 requests
Request model_4#0 arrives at 1612277.866634081, sleeping for 0.018199124839156866 seconds
Request model_6#0 arrives at 1612277.885773268, sleeping for 0.03542213677428663 seconds
Request model_4#1 arrives at 1612277.92144459, sleeping for 0.1145876778755337 seconds
Request model_2#0 arrives at 1612278.036381392, sleeping for 0.026502293767407537 seconds
Request model_2#1 arrives at 1612278.064564734, sleeping for 0.03590891952626407 seconds
Request model_4#2 arrives at 1612278.102292033, sleeping for 0.007673528045415878 seconds
Request model_4#3 arrives at 1612278.110207548, sleeping for 0.01642586151137948 seconds
Request model_4#4 arrives at 1612278.127109197, sleeping for 0.5543715036474168 seconds
Request model_4#5 arrives at 1612278.682108247, sleeping for 0.030471405247226357 seconds
Request model_4#6 arrives at 1612278.713374933, sleeping for 0.04360569408163428 seconds
Request model_4#7 arrives at 1612278.75806247, sleeping for 0.06863116915337741 seconds
Request model_4#8 arrives at 1612278.827785161, sleeping for 0 seconds
Request model_4#9 arrives at 1612278.828126264, sleeping for 0.1688192447181791 seconds
Request model_4#10 arrives at 1612278.998209789, sleeping for 0.33673017215915024 seconds
Request model_6#1 arrives at 1612279.335795976, sleeping for 0.06274216738529503 seconds
Request model_4#11 arrives at 1612279.399255537, sleeping for 0.06113387644290924 seconds
Request model_6#2 arrives at 1612279.460752321, sleeping for 0.10406126035377383 seconds
Request model_2#2 arrives at 1612279.565424129, sleeping for 0.03472498059272766 seconds
Request model_4#12 arrives at 1612279.600503827, sleeping for 0.051853047451004386 seconds
Request model_4#13 arrives at 1612279.654266298, sleeping for 0.11757210572250187 seconds
Request model_6#3 arrives at 1612279.772677288, sleeping for 0.12363016023300588 seconds
Request model_4#14 arrives at 1612279.897047288, sleeping for 0.02221559197641909 seconds
Request model_6#4 arrives at 1612279.919785394, sleeping for 0.013023232109844685 seconds
Request model_4#15 arrives at 1612279.934545575, sleeping for 0.11083436058834195 seconds
Request model_4#16 arrives at 1612280.046527963, sleeping for 0.003760391380637884 seconds
Request model_6#5 arrives at 1612280.051162741, sleeping for 0.04565412434749305 seconds
Request model_4#17 arrives at 1612280.098091616, sleeping for 0.34782683779485524 seconds
Request model_6#6 arrives at 1612280.446778695, sleeping for 0.33308590902015567 seconds
Request model_2#3 arrives at 1612280.78049079, sleeping for 0.2489237452391535 seconds
Request model_6#7 arrives at 1612281.030115137, sleeping for 0.22076726658269763 seconds
Request model_4#18 arrives at 1612281.251980806, sleeping for 0.21040622959844768 seconds
Request model_4#19 arrives at 1612281.463892782, sleeping for 0.10730024916119874 seconds
