1787329150.784720610 0, 33804, 0;1, 33818, 0;2, 0, 0;3, 0, 0;
1787329153.112828961 0, 33936, 42;1, 36900, 86;2, 0, 0;3, 0, 0;
1787329155.425488871 0, 33246, 24;1, 37180, 18;2, 0, 0;3, 0, 0;
1787329157.772320769 0, 33248, 40;1, 37180, 35;2, 0, 0;3, 0, 0;
1787329160.158077522 0, 33392, 78;1, 37224, 81;2, 0, 0;3, 0, 0;
1787329162.504411179 0, 33536, 62;1, 37336, 99;2, 0, 0;3, 0, 0;
1787329164.808128154 0, 33602, 51;1, 37336, 44;2, 0, 0;3, 0, 0;
1787329167.117000738 0, 33716, 18;1, 37934, 12;2, 0, 0;3, 0, 0;
1787329169.524849609 0, 33860, 37;1, 38048, 37;2, 0, 0;3, 0, 0;
1787329171.872431094 0, 33860, 12;1, 38048, 30;2, 0, 0;3, 0, 0;
1787329174.209206407 0, 33860, 8;1, 38048, 50;2, 0, 0;3, 0, 0;
1787329176.556367102 0, 33862, 25;1, 38096, 37;2, 0, 0;3, 0, 0;
1787329179.484324118 0, 33862, 68;1, 38096, 99;2, 0, 0;3, 0, 0;
1787329181.819111655 0, 33862, 26;1, 38096, 93;2, 0, 0;3, 0, 0;
1787329184.196727229 0, 33862, 57;1, 38096, 76;2, 0, 0;3, 0, 0;
1787329186.537082295 0, 33862, 44;1, 38096, 92;2, 0, 0;3, 0, 0;
1787329188.894073275 0, 36948, 20;1, 37776, 32;2, 0, 0;3, 0, 0;
1787329191.217151614 0, 36948, 20;1, 35008, 40;2, 0, 0;3, 0, 0;
1787329193.581462257 0, 37348, 15;1, 35008, 29;2, 0, 0;3, 0, 0;
1787329196.094568504 0, 37348, 16;1, 35008, 20;2, 0, 0;3, 0, 0;
1787329198.564170081 0, 37348, 13;1, 35186, 33;2, 0, 0;3, 0, 0;
1787329201.163505616 0, 37348, 15;1, 35186, 24;2, 0, 0;3, 0, 0;
1787329203.522428882 0, 36816, 17;1, 35018, 50;2, 0, 0;3, 0, 0;
1787329205.892594348 0, 33054, 13;1, 34192, 80;2, 0, 0;3, 0, 0;
1787329208.251205586 0, 46594, 38;1, 34718, 45;2, 0, 0;3, 0, 0;
1787329210.564577272 0, 47734, 52;1, 34192, 99;2, 0, 0;3, 0, 0;
1787329212.870428693 0, 50172, 40;1, 34192, 40;2, 0, 0;3, 0, 0;
1787329215.154604576 0, 51198, 54;1, 34192, 32;2, 0, 0;3, 0, 0;
1787329217.510675941 0, 51200, 17;1, 34192, 35;2, 0, 0;3, 0, 0;
1787329219.885242796 0, 51200, 45;1, 40966, 20;2, 0, 0;3, 0, 0;
1787329222.289033015 0, 51200, 33;1, 48198, 20;2, 0, 0;3, 0, 0;
1787329224.662059031 0, 49130, 0;1, 49144, 20;2, 0, 0;3, 0, 0;
1787329227.051307406 0, 49258, 20;1, 49144, 32;2, 0, 0;3, 0, 0;
1787329229.458431654 0, 49258, 41;1, 49144, 34;2, 0, 0;3, 0, 0;
1787329231.770919757 0, 49898, 20;1, 49256, 24;2, 0, 0;3, 0, 0;
1787329234.091356563 0, 49898, 45;1, 49256, 22;2, 0, 0;3, 0, 0;
1787329236.672429191 0, 50154, 29;1, 49256, 36;2, 0, 0;3, 0, 0;
1787329238.993100512 0, 50410, 24;1, 49256, 31;2, 0, 0;3, 0, 0;
1787329241.351404937 0, 50410, 16;1, 49256, 25;2, 0, 0;3, 0, 0;
1787329243.703377489 0, 50410, 36;1, 49256, 17;2, 0, 0;3, 0, 0;
1787329246.137543667 0, 50410, 16;1, 49256, 7;2, 0, 0;3, 0, 0;
1787329248.728762353 0, 50410, 50;1, 49256, 11;2, 0, 0;3, 0, 0;
1787329251.264396412 0, 50410, 10;1, 49256, 10;2, 0, 0;3, 0, 0;
1787329253.847716617 0, 50410, 6;1, 49310, 21;2, 0, 0;3, 0, 0;
1787329256.845581384 0, 50410, 29;1, 49310, 11;2, 0, 0;3, 0, 0;
1787329259.760944216 0, 50412, 39;1, 45334, 8;2, 0, 0;3, 0, 0;
1787329262.609087336 0, 50412, 23;1, 39566, 7;2, 0, 0;3, 0, 0;
1787329265.046877041 0, 50412, 38;1, 39566, 5;2, 0, 0;3, 0, 0;
1787329267.584787860 0, 50412, 18;1, 39566, 38;2, 0, 0;3, 0, 0;
1787329270.046178412 0, 50412, 15;1, 39566, 8;2, 0, 0;3, 0, 0;
1787329272.319232919 0, 50412, 22;1, 39566, 25;2, 0, 0;3, 0, 0;
1787329274.848961682 0, 50412, 24;1, 39566, 32;2, 0, 0;3, 0, 0;
1787329277.201423639 0, 50412, 26;1, 39566, 16;2, 0, 0;3, 0, 0;
1787329279.655206809 0, 50156, 7;1, 39568, 28;2, 0, 0;3, 0, 0;
1787329282.125738842 0, 50156, 43;1, 39568, 23;2, 0, 0;3, 0, 0;
1787329284.833059367 0, 50156, 19;1, 39568, 18;2, 0, 0;3, 0, 0;
1787329287.204379088 0, 50028, 30;1, 39568, 25;2, 0, 0;3, 0, 0;
1787329289.697791288 0, 50028, 24;1, 39568, 7;2, 0, 0;3, 0, 0;
1787329292.308778032 0, 50028, 20;1, 39568, 33;2, 0, 0;3, 0, 0;
1787329294.897924184 0, 50028, 26;1, 42556, 24;2, 0, 0;3, 0, 0;
1787329297.241879211 0, 50028, 29;1, 58220, 43;2, 0, 0;3, 0, 0;
1787329299.568851489 0, 49388, 0;1, 59168, 50;2, 0, 0;3, 0, 0;
1787329302.033763884 0, 49388, 18;1, 59386, 43;2, 0, 0;3, 0, 0;
1787329304.477188082 0, 48666, 9;1, 59674, 75;2, 0, 0;3, 0, 0;
1787329306.879674895 0, 46572, 0;1, 59898, 22;2, 0, 0;3, 0, 0;
1787329309.378199665 0, 49438, 0;1, 60200, 44;2, 0, 0;3, 0, 0;
1787329311.871362079 0, 49660, 0;1, 59646, 9;2, 0, 0;3, 0, 0;
1787329314.325678545 0, 50294, 0;1, 60249, 45;2, 0, 0;3, 0, 0;
1787329316.753404883 0, 50800, 7;1, 60793, 16;2, 0, 0;3, 0, 0;
1787329319.234273539 0, 50800, 5;1, 60793, 29;2, 0, 0;3, 0, 0;
1787329321.721399684 0, 50800, 10;1, 60793, 27;2, 0, 0;3, 0, 0;
1787329324.053122865 0, 50800, 4;1, 60793, 51;2, 0, 0;3, 0, 0;
1787329326.360715958 0, 50800, 3;1, 60793, 55;2, 0, 0;3, 0, 0;
1787329328.786079994 0, 50800, 6;1, 60793, 40;2, 0, 0;3, 0, 0;
1787329331.088578661 0, 50800, 6;1, 60795, 28;2, 0, 0;3, 0, 0;
1787329334.214115881 0, 50800, 6;1, 60905, 13;2, 0, 0;3, 0, 0;
1787329337.007358023 0, 50800, 11;1, 61131, 42;2, 0, 0;3, 0, 0;
1787329339.325498968 0, 50800, 6;1, 61243, 46;2, 0, 0;3, 0, 0;
1787329341.954838476 0, 66388, 30;1, 61589, 68;2, 0, 0;3, 0, 0;
1787329344.330918256 0, 66690, 16;1, 59191, 12;2, 0, 0;3, 0, 0;
1787329346.785126429 0, 66888, 23;1, 65193, 14;2, 0, 0;3, 0, 0;
1787329349.111609783 0, 64134, 23;1, 64177, 27;2, 0, 0;3, 0, 0;
1787329351.418770089 0, 64134, 21;1, 64179, 30;2, 0, 0;3, 0, 0;
1787329353.722401704 0, 64358, 39;1, 63955, 36;2, 0, 0;3, 0, 0;
1787329356.251113431 0, 64542, 25;1, 64243, 37;2, 0, 0;3, 0, 0;
1787329358.703709978 0, 64584, 23;1, 64243, 45;2, 0, 0;3, 0, 0;
1787329361.313165563 0, 64584, 43;1, 64387, 28;2, 0, 0;3, 0, 0;
1787329363.791078261 0, 64584, 28;1, 64531, 38;2, 0, 0;3, 0, 0;
1787329366.239885120 0, 64584, 33;1, 64531, 35;2, 0, 0;3, 0, 0;
1787329368.543062318 0, 64584, 22;1, 64531, 27;2, 0, 0;3, 0, 0;
1787329371.067324424 0, 64584, 33;1, 64531, 13;2, 0, 0;3, 0, 0;
1787329373.565159644 0, 64584, 31;1, 64531, 35;2, 0, 0;3, 0, 0;
1787329375.997022017 0, 64584, 35;1, 64419, 34;2, 0, 0;3, 0, 0;
1787329378.396913709 0, 64584, 30;1, 64419, 26;2, 0, 0;3, 0, 0;
1787329380.904238708 0, 64584, 33;1, 64419, 33;2, 0, 0;3, 0, 0;
1787329383.341674560 0, 64584, 26;1, 64419, 18;2, 0, 0;3, 0, 0;
1787329385.806765343 0, 64584, 11;1, 64419, 27;2, 0, 0;3, 0, 0;
1787329388.338642154 0, 64584, 34;1, 64419, 31;2, 0, 0;3, 0, 0;
1787329390.749633404 0, 64584, 21;1, 67283, 35;2, 0, 0;3, 0, 0;
1787329393.118671034 0, 63010, 11;1, 66999, 21;2, 0, 0;3, 0, 0;
1787329395.901864930 0, 63413, 11;1, 67127, 30;2, 0, 0;3, 0, 0;
1787329398.371662220 0, 63413, 17;1, 66943, 18;2, 0, 0;3, 0, 0;
1787329400.725200568 0, 63413, 17;1, 66943, 23;2, 0, 0;3, 0, 0;
1787329403.052357460 0, 63413, 23;1, 66943, 24;2, 0, 0;3, 0, 0;
1787329405.533942459 0, 63413, 23;1, 70451, 32;2, 0, 0;3, 0, 0;
1787329407.994755527 0, 63413, 16;1, 71775, 19;2, 0, 0;3, 0, 0;
1787329410.953278845 0, 75049, 17;1, 72005, 38;2, 0, 0;3, 0, 0;
1787329414.091159349 0, 72417, 25;1, 72117, 54;2, 0, 0;3, 0, 0;
1787329416.390364925 0, 73593, 43;1, 72343, 26;2, 0, 0;3, 0, 0;
1787329418.847458504 0, 73593, 44;1, 72403, 50;2, 0, 0;3, 0, 0;
1787329421.374839839 0, 76897, 21;1, 72641, 27;2, 0, 0;3, 0, 0;
1787329423.845483523 0, 77881, 18;1, 71047, 32;2, 0, 0;3, 0, 0;
1787329426.317304964 0, 77881, 18;1, 71739, 16;2, 0, 0;3, 0, 0;
1787329428.833319811 0, 77881, 17;1, 71739, 20;2, 0, 0;3, 0, 0;
1787329431.330923716 0, 77881, 27;1, 71739, 26;2, 0, 0;3, 0, 0;
1787329433.693484260 0, 77881, 0;1, 71739, 18;2, 0, 0;3, 0, 0;
1787329436.215985742 0, 77881, 0;1, 71739, 19;2, 0, 0;3, 0, 0;
1787329438.677005656 0, 77881, 0;1, 71627, 34;2, 0, 0;3, 0, 0;
1787329441.019100548 0, 77881, 0;1, 71403, 33;2, 0, 0;3, 0, 0;
1787329443.356510091 0, 77881, 0;1, 71403, 23;2, 0, 0;3, 0, 0;
1787329445.785058207 0, 77881, 0;1, 71179, 1;2, 0, 0;3, 0, 0;
1787329448.238143939 0, 77881, 0;1, 71067, 0;2, 0, 0;3, 0, 0;
1787329450.651925723 0, 77881, 0;1, 71067, 28;2, 0, 0;3, 0, 0;
1787329453.163357322 0, 73905, 85;1, 70669, 10;2, 0, 0;3, 0, 0;
1787329455.571426655 0, 76329, 62;1, 71341, 37;2, 0, 0;3, 0, 0;
1787329458.029893943 0, 76717, 31;1, 71341, 26;2, 0, 0;3, 0, 0;
1787329460.576174627 0, 76717, 51;1, 71341, 34;2, 0, 0;3, 0, 0;
1787329462.936180187 0, 76717, 72;1, 71341, 45;2, 0, 0;3, 0, 0;
1787329465.454998496 0, 76717, 54;1, 71341, 30;2, 0, 0;3, 0, 0;
1787329467.972669583 0, 76717, 44;1, 71341, 38;2, 0, 0;3, 0, 0;
1787329470.475379327 0, 76845, 44;1, 71229, 12;2, 0, 0;3, 0, 0;
1787329472.944880132 0, 76973, 51;1, 71229, 10;2, 0, 0;3, 0, 0;
1787329475.457224801 0, 76973, 43;1, 71229, 25;2, 0, 0;3, 0, 0;
1787329477.856747338 0, 76973, 39;1, 71229, 10;2, 0, 0;3, 0, 0;
1787329480.406677155 0, 76973, 36;1, 71229, 17;2, 0, 0;3, 0, 0;
1787329482.868463220 0, 76973, 21;1, 71229, 16;2, 0, 0;3, 0, 0;
1787329485.316456912 0, 76973, 48;1, 71229, 27;2, 0, 0;3, 0, 0;
1787329488.257584815 0, 76973, 53;1, 67975, 37;2, 0, 0;3, 0, 0;
1787329491.291456302 0, 76973, 82;1, 67975, 11;2, 0, 0;3, 0, 0;
1787329493.632566347 0, 76973, 38;1, 67975, 26;2, 0, 0;3, 0, 0;
1787329496.091525390 0, 76973, 41;1, 67975, 17;2, 0, 0;3, 0, 0;
1787329498.540871003 0, 76973, 43;1, 67975, 21;2, 0, 0;3, 0, 0;
1787329500.877473427 0, 76973, 68;1, 67975, 28;2, 0, 0;3, 0, 0;
1787329503.242920601 0, 76973, 38;1, 67975, 7;2, 0, 0;3, 0, 0;
1787329505.803558365 0, 76973, 56;1, 67975, 10;2, 0, 0;3, 0, 0;
1787329508.307107647 0, 76973, 76;1, 67975, 8;2, 0, 0;3, 0, 0;
