arm,arm_label,workload,rate,metric,mean,sd,n,seeds
A,released-prototype (TP patch absent),bursty,2,goodput,0.914444,0.218742,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,joint_slo,0.45544,0.108722,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,throughput,2.008889,0.081672,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,ttft_p50,94.132145,2.836636,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,ttft_p95,831.51687,971.06043,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,ttft_p99,4236.872134,1831.113603,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,tpot_p50,33.696736,1.959227,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,tpot_p95,53.669687,7.07643,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,tpot_p99,70.367367,8.327784,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,e2e_p50,4151.684173,369.983394,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,e2e_p95,15719.207593,1046.769688,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,e2e_p99,18757.845831,1905.652756,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,migrations,2.0,1.0,3,1|2|3
A,released-prototype (TP patch absent),bursty,2,failed,0.0,0.0,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,goodput,1.238889,0.155361,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,joint_slo,0.30796,0.038846,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,throughput,4.023333,0.065574,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,ttft_p50,97.843329,1.169707,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,ttft_p95,304.088004,55.331509,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,ttft_p99,3680.454462,1781.805284,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,tpot_p50,38.82195,2.029285,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,tpot_p95,63.84916,4.760367,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,tpot_p99,80.814868,13.359979,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,e2e_p50,4925.083128,748.020837,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,e2e_p95,17843.759533,624.635256,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,e2e_p99,21536.903708,376.184032,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,migrations,1.666667,0.57735,3,1|2|3
A,released-prototype (TP patch absent),bursty,4,failed,0.0,0.0,3,1|2|3
A,released-prototype (TP patch absent),bursty,8,goodput,2.486667,2.467099,3,1|2|3
A,released-prototype (TP patch absent),bursty,8,joint_slo,0.306582,0.300719,3,1|2|3
A,released-prototype (TP patch absent),bursty,8,throughput,8.052222,0.105532,3,1|2|3
A,released-prototype (TP patch absent),bursty,8,ttft_p50,99.34322,27.959883,3,1|2|3
