request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_5#0,model_5,0.07869342583269555,82.38918431577311,42,384,0.057463884353637695,0.2141532450914383,82.31049088994041,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#1,model_5,0.10694677705832666,18.819201776962288,18,107,0.12424063682556152,0.1736776583662657,18.712254999903962,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_1#0,model_1,0.14735375126587485,0.5573257891530756,751,16,0.10861730575561523,0.018538087606430054,0.4099720378872007,0.11985421180725098,0.019033251330256462,1,1,1,1,0
model_5#2,model_5,0.17537551548946526,82.38878171763997,48,384,0.1843268871307373,0.2135833545277516,82.21340620215051,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_6#0,model_6,0.20615454845249562,1.3742876475502541,94,32,0.16294622421264648,0.031258441507816315,1.1681330990977585,0.4948878288269043,0.03492606058716774,1,1,1,1,0
model_6#1,model_6,0.466945342768026,0.8794461116679436,104,16,0.024512767791748047,0.024001136422157288,0.4125007688999176,0.4948878288269043,0.03492606058716774,1,1,1,1,0
model_5#3,model_5,0.5536223520981832,83.7294347092035,117,384,0.2126450538635254,0.21602106653153896,83.17581235710531,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#4,model_5,0.8385317579969737,36.145574174182116,21,177,0.031638145446777344,0.1992458879610913,35.30704241618514,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_3#0,model_3,0.8649719374251815,1.8297620055263195,426,16,0.14835596084594727,0.05076044797897339,0.9647900681011379,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#5,model_5,0.9348630760313773,73.31531785703095,108,294,0.15120649337768555,0.24562940548877327,72.38045478099957,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_6#2,model_6,0.9628745953441102,1.8455545192473073,282,16,0.16893339157104492,0.044384002685546875,0.882679923903197,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_1#1,model_1,1.0089298307363983,1.9367700687077936,21,32,0.2110741138458252,0.022241495549678802,0.9278402379713953,0.11985421180725098,0.019033251330256462,0,0,0,1,0
model_5#6,model_5,1.049247861396259,12.31202679246079,332,16,0.2509448528289795,0.6876150071620941,11.262778931064531,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#7,model_5,1.0788833676790697,12.31142092854249,224,16,0.22128772735595703,0.6876760870218277,11.23253756086342,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_3#1,model_3,1.178845907657715,1.9013249786601685,340,16,0.20157933235168457,0.032313600182533264,0.7224790710024536,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#8,model_5,1.246341798598295,73.31421745373343,10,294,0.40748000144958496,0.24369765057855722,72.06787565513514,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#9,model_5,1.2992121445421438,12.311665477551179,308,16,0.35434508323669434,0.6655844748020172,11.012453333009034,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#10,model_5,1.3901672107672056,12.701214694701296,202,22,0.4056823253631592,0.49542406472292816,11.31104748393409,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#11,model_5,1.4182757254928258,12.701595051610461,516,22,0.3780803680419922,0.49544306234879926,11.283319326117635,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_6#3,model_6,1.488350588294566,1.9547957183577869,410,16,0.1716609001159668,0.018140703439712524,0.46644513006322086,0.4948878288269043,0.03492606058716774,1,1,1,1,0
model_5#12,model_5,1.4999139449146557,13.911214125860202,526,30,0.29735732078552246,0.40292584896087646,12.411300180945545,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#13,model_5,1.7682690915899246,12.310671140650836,506,16,0.08722043037414551,0.6529605090618134,10.542402049060911,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_2#0,model_2,1.8869273620254665,2.1857731840170294,260,21,0.06779313087463379,0.010837009974888392,0.29884582199156284,0.16103267669677734,0.027996310964226723,1,1,1,1,0
model_5#14,model_5,1.973676982474109,12.769685158644398,512,16,0.06112790107727051,0.6706395447254181,10.79600817617029,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#15,model_5,1.9789963023139752,87.03012615729669,21,384,0.1403365135192871,0.22107816797991595,85.05112985498272,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#16,model_5,1.9794018241087434,78.84809724804708,766,329,0.14005398750305176,0.23319304387982492,76.86869542393833,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_3#2,model_3,2.1213847368480914,25.94924925174474,41,384,0.020694255828857422,0.06198046791056792,23.827864514896646,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#17,model_5,2.128947354706081,12.867494804637584,296,16,0.03782773017883301,0.6685141324996948,10.738547449931502,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#18,model_5,2.1296324068312096,87.1472451816876,28,384,0.03745388984680176,0.22127659867207208,85.01761277485639,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#19,model_5,2.231443555128893,88.03442247308524,796,384,0.6916940212249756,0.22051126261552176,85.80297891795635,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#20,model_5,2.2809864611555395,88.03236539831427,403,384,0.6419854164123535,0.22051730379462242,85.75137893715873,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_6#4,model_6,2.484395882682262,41.5863715807063,685,384,0.12409448623657227,0.10146361030638218,39.101975698024035,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#21,model_5,2.503601308161424,72.17311706900972,59,269,0.9517951011657715,0.2553930397813648,69.6695157608483,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#22,model_5,2.508821622356451,81.9600415733919,284,347,0.948394775390625,0.22619269011000048,79.45121995103545,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#23,model_5,2.5284192997301096,88.03274139666837,106,384,0.9276235103607178,0.2200812262793382,85.50432209693827,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#24,model_5,2.544029767612791,13.703787993394634,339,16,0.9121229648590088,0.6382987350225449,11.159758225781843,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_6#5,model_6,2.549917300753198,4.313728306731112,397,16,0.2017195224761963,0.09734413027763367,1.7638110059779137,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#6,model_6,2.561397892961442,41.585970658881756,782,384,0.19004440307617188,0.10109653696417809,39.02457276592031,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#25,model_5,2.571042205193332,13.70349622702717,230,16,0.8864326477050781,0.6383464336395264,11.132454021833837,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_2#1,model_2,2.6154765538919733,3.4009354848928766,296,16,0.07101941108703613,0.04414600133895874,0.7854589310009032,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_5#26,model_5,2.6186209455128147,14.064651130372225,389,23,0.8381431102752686,0.46077760406162427,11.44603018485941,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_2#2,model_2,2.6474313440498802,20.925207931105877,16,384,0.1999225616455078,0.04704755296309789,18.277776587055996,0.16103267669677734,0.027996310964226723,0,0,0,1,0
model_5#27,model_5,2.675975252500092,13.703405764511142,261,16,0.7803463935852051,0.6383738815784454,11.027430512011051,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#28,model_5,2.695148234108597,64.98028494728929,533,250,0.7594146728515625,0.24603921604156495,62.28513671318069,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_1#2,model_1,2.716962901645383,3.8685302457334902,372,31,0.11629295349121094,0.033138698147189234,1.1515673440881073,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_2#3,model_2,2.727437594467969,20.92436823763904,40,384,0.11967802047729492,0.0470495397845904,18.196930643171072,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_3#3,model_3,2.7522720461971675,10.881882811224049,196,152,0.09328198432922363,0.05282671671164663,8.129610765026882,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#29,model_5,2.804542770569517,14.063186630566909,769,23,0.6507525444030762,0.4608079246852709,11.258643859997392,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_3#4,model_3,2.8077160527736584,4.1064150207948575,767,16,0.1505451202392578,0.07147018611431122,1.298698968021199,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_6#7,model_6,2.875900944850989,21.32376703565719,1118,223,0.4420931339263916,0.08070840963868282,18.4478660908062,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#30,model_5,2.976257441429077,13.702766633456228,534,16,1.3029124736785889,0.5869286507368088,10.726509192027152,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#31,model_5,2.9870593980638405,88.03146177411396,1157,384,1.293985366821289,0.21793954695264497,85.04440237605013,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_2#4,model_2,3.0345123602105892,3.719199940192572,631,17,0.11780881881713867,0.033012614530675555,0.6846875799819827,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_5#32,model_5,3.100162301595161,88.03274888862933,11,384,1.1794424057006836,0.21794644743204117,84.93258658703417,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_3#5,model_3,3.1117085670524887,13.819669300032189,21,203,0.12987279891967773,0.05207833867942171,10.7079607329797,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#33,model_5,3.268151861691042,73.85735244358064,167,287,1.011570930480957,0.24240202438540576,70.5892005818896,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#34,model_5,3.4020430461701423,86.24261288598296,18,372,0.8783094882965088,0.22030434621277675,82.84056983981282,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_1#3,model_1,3.4280113689517226,13.7063780040396,15,135,8.762829303741455,0.011117237585562247,10.278366635087878,0.11985421180725098,0.019033251330256462,0,1,0,1,0
model_5#35,model_5,3.457830628521919,14.743101260533734,349,33,0.8224763870239258,0.31685485261859314,11.285270632011816,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_6#8,model_6,3.4706094797262703,40.22154250382723,36,364,0.19982576370239258,0.10039674711751413,36.75093302410096,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#36,model_5,3.5171425317679614,18.509594188610567,629,67,1.1141295433044434,0.20706362510795023,14.992451656842604,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#37,model_5,3.5284703857984265,84.170185226693,26,363,1.1035096645355225,0.2190737934480357,80.64171484089456,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_3#6,model_3,3.5608642707806486,27.15597763087083,259,384,0.11245346069335938,0.06113333317140738,23.59511336009018,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#38,model_5,3.567303970430921,78.30520841150819,58,319,1.0651049613952637,0.23088750644911046,74.73790444107726,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_5#39,model_5,3.580000439738507,14.035400589774946,686,22,1.05184006690979,0.42716373096812854,10.45540015003644,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_1#4,model_1,3.703446146196878,4.304208835217363,371,16,0.035696983337402344,0.035013169050216675,0.6007626890204847,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_5#40,model_5,3.70569524784862,37.39519087701394,18,168,0.9258890151977539,0.19498341849872045,33.68949562916532,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_3#7,model_3,3.7277045204135772,21.547169294517413,12,298,0.15063953399658203,0.059263270173296835,17.819464774103835,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#41,model_5,3.7452018964505767,88.03116038236125,66,384,0.8077521324157715,0.21703604236245155,84.28595848591067,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_6#9,model_6,3.803575686725486,12.268559683660675,52,122,0.2110919952392578,0.06759310941227147,8.464983996935189,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#42,model_5,3.8366251446969426,13.705828352711311,505,16,0.7940061092376709,0.5650840997695923,9.869203208014369,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_1#5,model_1,3.8886070456730963,15.530160691859463,9,174,8.301220893859863,0.019161155854148425,11.641553646186367,0.11985421180725098,0.019033251330256462,0,0,0,1,0
model_5#43,model_5,3.9213189353948117,13.930445249589685,758,19,0.7090153694152832,0.48911629225078385,10.009126314194873,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_1#6,model_1,3.9982458105092817,23.836965886528226,18,384,8.19257378578186,0.03030828448633353,19.838720076018944,0.11985421180725098,0.019033251330256462,0,0,0,1,0
