timestamp,gpu_id,gpu_utilization,memory_used_mib
1787335367.488871,0,52,33900
1787335367.488871,1,77,33918
1787335367.488871,2,0,0
1787335367.488871,3,0,0
1787335369.8377666,0,2,33936
1787335369.8377666,1,36,34284
1787335369.8377666,2,0,0
1787335369.8377666,3,0,0
1787335372.3239377,0,27,34242
1787335372.3239377,1,0,35332
1787335372.3239377,2,0,0
1787335372.3239377,3,0,0
1787335375.1765904,0,32,34576
1787335375.1765904,1,10,36480
1787335375.1765904,2,0,0
1787335375.1765904,3,0,0
1787335377.7392013,0,41,34640
1787335377.7392013,1,12,37042
1787335377.7392013,2,0,0
1787335377.7392013,3,0,0
1787335380.1834762,0,29,34704
1787335380.1834762,1,14,38010
1787335380.1834762,2,0,0
1787335380.1834762,3,0,0
1787335382.6032305,0,36,34768
1787335382.6032305,1,60,39242
1787335382.6032305,2,0,0
1787335382.6032305,3,0,0
1787335385.0958667,0,42,34768
1787335385.0958667,1,28,40112
1787335385.0958667,2,0,0
1787335385.0958667,3,0,0
1787335387.453076,0,43,34768
1787335387.453076,1,34,40112
1787335387.453076,2,0,0
1787335387.453076,3,0,0
1787335389.75755,0,52,34766
1787335389.75755,1,57,40112
1787335389.75755,2,0,0
1787335389.75755,3,0,0
1787335392.2468708,0,34,39260
1787335392.2468708,1,34,39016
1787335392.2468708,2,0,0
1787335392.2468708,3,0,0
1787335394.5734363,0,28,39260
1787335394.5734363,1,46,39016
1787335394.5734363,2,0,0
1787335394.5734363,3,0,0
1787335396.8991747,0,34,39590
1787335396.8991747,1,100,39016
1787335396.8991747,2,0,0
1787335396.8991747,3,0,0
1787335399.1824572,0,20,39718
1787335399.1824572,1,9,40052
1787335399.1824572,2,0,0
1787335399.1824572,3,0,0
1787335401.6886334,0,20,39718
1787335401.6886334,1,10,40724
1787335401.6886334,2,0,0
1787335401.6886334,3,0,0
1787335404.1490612,0,26,39846
1787335404.1490612,1,26,41396
1787335404.1490612,2,0,0
1787335404.1490612,3,0,0
1787335406.6444964,0,34,39846
1787335406.6444964,1,81,41844
1787335406.6444964,2,0,0
1787335406.6444964,3,0,0
1787335408.9782374,0,40,39846
1787335408.9782374,1,49,41844
1787335408.9782374,2,0,0
1787335408.9782374,3,0,0
1787335411.2887032,0,30,39846
1787335411.2887032,1,83,41844
1787335411.2887032,2,0,0
1787335411.2887032,3,0,0
1787335413.8364067,0,31,39846
1787335413.8364067,1,41,41956
1787335413.8364067,2,0,0
1787335413.8364067,3,0,0
1787335416.286574,0,30,39846
1787335416.286574,1,37,42068
1787335416.286574,2,0,0
1787335416.286574,3,0,0
1787335418.6261437,0,27,39846
1787335418.6261437,1,50,42540
1787335418.6261437,2,0,0
1787335418.6261437,3,0,0
1787335421.2670672,0,35,34064
1787335421.2670672,1,26,43076
1787335421.2670672,2,0,0
1787335421.2670672,3,0,0
1787335423.593366,0,33,34064
1787335423.593366,1,56,43412
1787335423.593366,2,0,0
1787335423.593366,3,0,0
1787335426.1092384,0,37,40944
1787335426.1092384,1,24,43860
1787335426.1092384,2,0,0
1787335426.1092384,3,0,0
1787335428.4519565,0,36,40494
1787335428.4519565,1,18,43860
1787335428.4519565,2,0,0
1787335428.4519565,3,0,0
1787335430.943416,0,29,41156
1787335430.943416,1,40,42152
1787335430.943416,2,0,0
1787335430.943416,3,0,0
1787335433.3735619,0,22,41454
1787335433.3735619,1,34,42755
1787335433.3735619,2,0,0
1787335433.3735619,3,0,0
1787335436.189367,0,32,43596
1787335436.189367,1,51,42997
1787335436.189367,2,0,0
1787335436.189367,3,0,0
