model,model_path,source_gpu,target_gpu,migration_start,target_ready_time,migration_end,migration_latency_s,service_downtime_s,migration_total_s,ordering,readiness_barrier,latency_is_submission_only,weight_bytes,kv_bytes,total_bytes,transfer_path,effective_gbps,success,peak_kvpr_before,peak_kvpr_after,tau,alg1_cycle,migration_id,implementation,workload,request_rate,seed
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787335389.8650558,1787335391.2517412,1787335391.855263,1.3866853713989258,0.6028149127960205,1.9902071952819824,prepare-quiesce-commit,1,0,3554176000,0,3554176000,gpu-to-gpu-p2p,13.814693712138865,True,0.13724818173700426,0.13024754994865106,0.07,5,0,paper-faithful-v6,bursty,20,0
model_3,meta-llama/Llama-3.2-3B,1,0,1787335425.5949352,1787335428.9894598,1787335435.3613086,3.394524574279785,6.370640277862549,9.7663733959198,prepare-quiesce-commit,1,0,7213504512,3441098752,10654603264,gpu-to-gpu-p2p,16.50697929759888,True,0.188246471481801,0.1412760139002396,0.07,12,1,paper-faithful-v6,bursty,20,0
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787335470.8539996,1787335472.5559328,1787335476.4152336,1.7019331455230713,3.85844349861145,5.561233997344971,prepare-quiesce-commit,1,0,6794207232,3526447104,10320654336,gpu-to-gpu-p2p,16.211240389045713,True,0.23184348421103612,0.20630755394345002,0.07,20,2,paper-faithful-v6,bursty,20,0
model_3,meta-llama/Llama-3.2-3B,0,1,1787335501.7804902,1787335503.771049,1787335520.1954803,1.9905588626861572,16.42337393760681,18.414990186691284,prepare-quiesce-commit,1,0,7213504512,3441098752,10654603264,host-to-device + helper-gpu-p2p,7.2160566717467285,True,0.2788815310330626,0.24956898768366517,0.07,26,3,paper-faithful-v6,bursty,20,0
model_4,Qwen/Qwen2.5-3B-Instruct,1,0,1787335555.9958682,1787335558.0296185,1787335586.2378619,2.033750295639038,28.207644939422607,30.24199366569519,prepare-quiesce-commit,1,0,6794207232,3526447104,10320654336,host-to-device + helper-gpu-p2p,5.882778554718459,True,0.16893048166280508,0.15979210482825684,0.07,34,4,paper-faithful-v6,bursty,20,0
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787335587.7742774,1787335590.3029861,1787335620.8027072,2.5287086963653564,30.49864888191223,33.02842974662781,prepare-quiesce-commit,1,0,6794207232,3526447104,10320654336,gpu-to-gpu-p2p,16.211240389045713,True,0.24759788679565278,0.16599582547388128,0.07,35,5,paper-faithful-v6,bursty,20,0
model_6,Qwen/Qwen2.5-7B-Instruct,0,1,1787335651.686638,1787335653.842863,1787335659.8627992,2.1562249660491943,6.0193750858306885,8.176161050796509,prepare-quiesce-commit,1,0,15231233024,415571968,15646804992,host-to-device + helper-gpu-p2p,9.18242811412212,True,0.39007612727191726,0.23697603645616824,0.07,42,6,paper-faithful-v6,bursty,20,0
model_3,meta-llama/Llama-3.2-3B,1,0,1787335685.644697,1787335687.4186432,1787335694.18972,1.7739462852478027,6.770592212677002,8.545022964477539,prepare-quiesce-commit,1,0,7213504512,3441098752,10654603264,gpu-to-gpu-p2p,16.50697929759888,True,0.27043811571099535,0.17466796181756286,0.07,48,7,paper-faithful-v6,bursty,20,0
model_1,meta-llama/Llama-3.2-1B,0,1,1787335995.7547,1787335997.450259,1787336002.1895537,1.695559024810791,4.738620281219482,6.434853792190552,prepare-quiesce-commit,1,0,2996965376,852426752,3849392128,gpu-to-gpu-p2p,15.906623237784924,True,0.18846687863960498,0.16942470404282212,0.07,5,0,paper-faithful-v6,bursty,20,42
model_1,meta-llama/Llama-3.2-1B,1,0,1787336093.3296533,1787336095.85475,1787336096.8921125,2.5250966548919678,1.0368340015411377,3.5624592304229736,prepare-quiesce-commit,1,0,2996965376,852426752,3849392128,host-to-device + helper-gpu-p2p,7.905329325601733,True,0.20661345713877316,0.18419399520416616,0.07,24,1,paper-faithful-v6,bursty,20,42
model_2,Qwen/Qwen2.5-1.5B-Instruct,1,0,1787336123.8495247,1787336125.4108312,1787336131.5323648,1.5613064765930176,6.12085747718811,7.68284010887146,prepare-quiesce-commit,1,0,3554176000,325398528,3879574528,gpu-to-gpu-p2p,6.732872008941482,True,0.1850196124526979,0.1412908183298494,0.07,30,2,paper-faithful-v6,bursty,20,42
model_4,Qwen/Qwen2.5-3B-Instruct,0,1,1787336136.6444776,1787336228.1737876,1787336228.1737876,91.52930998802185,91.52930998802185,91.52930998802185,source-first,1,0,6794207232,0,6794207232,host-to-device + helper-gpu-p2p,16.58904561348593,True,0.35984457885001087,0.3271193629912388,0.07,11,3,paper-faithful-v6,bursty,20,42
model_3,meta-llama/Llama-3.2-3B,1,0,1787336136.646926,1787336149.1283503,1787336149.1283503,12.481424331665039,12.481424331665039,12.481424331665039,source-first,1,0,7213504512,3900997632,11114502144,host-to-device + helper-gpu-p2p,18.909074338681204,True,0.2026184487317948,0.1526030444673202,0.07,61,4,paper-faithful-v6,bursty,20,42
model_1,meta-llama/Llama-3.2-1B,0,1,1787336159.58123,1787336161.0852413,1787336166.8304703,1.5040113925933838,5.744737863540649,7.249240398406982,prepare-quiesce-commit,1,0,2996965376,852426752,3849392128,gpu-to-gpu-p2p,15.906623237784924,True,0.33336878103663803,0.27954794739659494,0.07,36,5,paper-faithful-v6,bursty,20,42
model_3,meta-llama/Llama-3.2-3B,0,1,1787336192.510346,1787336194.8678303,1787336226.7789333,2.3574843406677246,31.910580158233643,34.26858735084534,prepare-quiesce-commit,1,0,7213504512,3900997632,11114502144,host-to-device + helper-gpu-p2p,6.174734952669596,True,0.3678911885002164,0.24735447763354934,0.07,42,6,paper-faithful-v6,bursty,20,42
model_1,meta-llama/Llama-3.2-1B,1,0,1787336314.2336009,1787336342.134864,1787336347.7037768,27.90126323699951,5.568258047103882,33.470175981521606,prepare-quiesce-commit,1,0,2996965376,852426752,3849392128,host-to-device + helper-gpu-p2p,7.905329325601733,True,0.2012239831213284,0.1651687126057796,0.07,60,7,paper-faithful-v6,bursty,20,42
