1787335367.488871209 0, 33900, 52;1, 33918, 77;2, 0, 0;3, 0, 0;
1787335369.837766559 0, 33936, 2;1, 34284, 36;2, 0, 0;3, 0, 0;
1787335372.323937602 0, 34242, 27;1, 35332, 0;2, 0, 0;3, 0, 0;
1787335375.176590390 0, 34576, 32;1, 36480, 10;2, 0, 0;3, 0, 0;
1787335377.739201224 0, 34640, 41;1, 37042, 12;2, 0, 0;3, 0, 0;
1787335380.183476173 0, 34704, 29;1, 38010, 14;2, 0, 0;3, 0, 0;
1787335382.603230479 0, 34768, 36;1, 39242, 60;2, 0, 0;3, 0, 0;
1787335385.095866623 0, 34768, 42;1, 40112, 28;2, 0, 0;3, 0, 0;
1787335387.453075853 0, 34768, 43;1, 40112, 34;2, 0, 0;3, 0, 0;
1787335389.757549951 0, 34766, 52;1, 40112, 57;2, 0, 0;3, 0, 0;
1787335392.246870716 0, 39260, 34;1, 39016, 34;2, 0, 0;3, 0, 0;
1787335394.573436366 0, 39260, 28;1, 39016, 46;2, 0, 0;3, 0, 0;
1787335396.899174626 0, 39590, 34;1, 39016, 100;2, 0, 0;3, 0, 0;
1787335399.182457297 0, 39718, 20;1, 40052, 9;2, 0, 0;3, 0, 0;
1787335401.688633354 0, 39718, 20;1, 40724, 10;2, 0, 0;3, 0, 0;
1787335404.149061245 0, 39846, 26;1, 41396, 26;2, 0, 0;3, 0, 0;
1787335406.644496346 0, 39846, 34;1, 41844, 81;2, 0, 0;3, 0, 0;
1787335408.978237452 0, 39846, 40;1, 41844, 49;2, 0, 0;3, 0, 0;
1787335411.288703256 0, 39846, 30;1, 41844, 83;2, 0, 0;3, 0, 0;
1787335413.836406669 0, 39846, 31;1, 41956, 41;2, 0, 0;3, 0, 0;
1787335416.286573848 0, 39846, 30;1, 42068, 37;2, 0, 0;3, 0, 0;
1787335418.626143697 0, 39846, 27;1, 42540, 50;2, 0, 0;3, 0, 0;
1787335421.267067233 0, 34064, 35;1, 43076, 26;2, 0, 0;3, 0, 0;
1787335423.593365827 0, 34064, 33;1, 43412, 56;2, 0, 0;3, 0, 0;
1787335426.109238283 0, 40944, 37;1, 43860, 24;2, 0, 0;3, 0, 0;
1787335428.451956463 0, 40494, 36;1, 43860, 18;2, 0, 0;3, 0, 0;
1787335430.943416164 0, 41156, 29;1, 42152, 40;2, 0, 0;3, 0, 0;
1787335433.373561884 0, 41454, 22;1, 42755, 34;2, 0, 0;3, 0, 0;
1787335436.189366980 0, 43596, 32;1, 42997, 51;2, 0, 0;3, 0, 0;
1787335438.645213591 0, 44244, 39;1, 43353, 24;2, 0, 0;3, 0, 0;
1787335441.121018880 0, 44244, 33;1, 43689, 40;2, 0, 0;3, 0, 0;
1787335443.736837816 0, 44244, 39;1, 43689, 69;2, 0, 0;3, 0, 0;
1787335446.061251884 0, 44244, 55;1, 44137, 30;2, 0, 0;3, 0, 0;
1787335448.680852573 0, 44244, 13;1, 44137, 9;2, 0, 0;3, 0, 0;
1787335451.720838014 0, 44474, 51;1, 44137, 42;2, 0, 0;3, 0, 0;
1787335454.256568607 0, 45372, 43;1, 44137, 52;2, 0, 0;3, 0, 0;
1787335456.854269637 0, 45996, 48;1, 44137, 21;2, 0, 0;3, 0, 0;
1787335459.282198872 0, 46732, 40;1, 44137, 66;2, 0, 0;3, 0, 0;
1787335461.895640471 0, 47188, 37;1, 44137, 37;2, 0, 0;3, 0, 0;
1787335464.430849695 0, 47620, 45;1, 44137, 32;2, 0, 0;3, 0, 0;
1787335467.011369290 0, 54340, 93;1, 44457, 59;2, 0, 0;3, 0, 0;
1787335469.428042170 0, 55718, 56;1, 44137, 26;2, 0, 0;3, 0, 0;
1787335472.033260138 0, 55974, 58;1, 50727, 30;2, 0, 0;3, 0, 0;
1787335474.350648180 0, 54916, 48;1, 51851, 41;2, 0, 0;3, 0, 0;
1787335477.126887470 0, 56215, 8;1, 52179, 20;2, 0, 0;3, 0, 0;
1787335479.737401159 0, 56983, 66;1, 52179, 19;2, 0, 0;3, 0, 0;
1787335482.371981548 0, 56983, 37;1, 52179, 34;2, 0, 0;3, 0, 0;
1787335484.899616731 0, 57111, 12;1, 52179, 37;2, 0, 0;3, 0, 0;
1787335487.421934848 0, 57623, 13;1, 52179, 46;2, 0, 0;3, 0, 0;
1787335490.015048872 0, 58263, 18;1, 52179, 25;2, 0, 0;3, 0, 0;
1787335492.626637681 0, 58519, 78;1, 52179, 45;2, 0, 0;3, 0, 0;
1787335495.201781802 0, 58519, 66;1, 52179, 88;2, 0, 0;3, 0, 0;
1787335497.997632488 0, 59159, 37;1, 52179, 30;2, 0, 0;3, 0, 0;
1787335500.565001710 0, 59911, 20;1, 52067, 66;2, 0, 0;3, 0, 0;
1787335503.242173822 0, 59911, 52;1, 58513, 34;2, 0, 0;3, 0, 0;
1787335505.723783716 0, 57911, 44;1, 57385, 13;2, 0, 0;3, 0, 0;
1787335508.303390466 0, 56381, 48;1, 56695, 57;2, 0, 0;3, 0, 0;
1787335510.834232739 0, 44570, 89;1, 56387, 100;2, 0, 0;3, 0, 0;
1787335513.156760094 0, 45338, 17;1, 56795, 14;2, 0, 0;3, 0, 0;
1787335515.586932141 0, 45434, 55;1, 56433, 17;2, 0, 0;3, 0, 0;
1787335518.159062138 0, 45594, 44;1, 56041, 44;2, 0, 0;3, 0, 0;
1787335520.853060800 0, 45594, 15;1, 59625, 57;2, 0, 0;3, 0, 0;
1787335523.416928362 0, 45594, 39;1, 61679, 27;2, 0, 0;3, 0, 0;
1787335526.039739755 0, 45594, 32;1, 63041, 23;2, 0, 0;3, 0, 0;
1787335529.314117811 0, 45594, 25;1, 63853, 0;2, 0, 0;3, 0, 0;
1787335532.125867794 0, 49242, 45;1, 64105, 46;2, 0, 0;3, 0, 0;
1787335534.727860039 0, 50960, 17;1, 64185, 38;2, 0, 0;3, 0, 0;
1787335537.381686486 0, 50576, 8;1, 63961, 40;2, 0, 0;3, 0, 0;
1787335540.084240521 0, 50576, 34;1, 63513, 40;2, 0, 0;3, 0, 0;
1787335542.835472078 0, 50578, 37;1, 63945, 41;2, 0, 0;3, 0, 0;
1787335545.462970452 0, 50562, 25;1, 63959, 56;2, 0, 0;3, 0, 0;
1787335548.205386926 0, 49778, 10;1, 63523, 40;2, 0, 0;3, 0, 0;
1787335550.886208063 0, 49122, 42;1, 63537, 35;2, 0, 0;3, 0, 0;
1787335553.457161694 0, 48410, 10;1, 63579, 33;2, 0, 0;3, 0, 0;
1787335556.089957008 0, 53234, 33;1, 60107, 28;2, 0, 0;3, 0, 0;
1787335558.820384951 0, 54914, 71;1, 60559, 15;2, 0, 0;3, 0, 0;
1787335561.548967147 0, 54530, 31;1, 61053, 2;2, 0, 0;3, 0, 0;
1787335564.201484349 0, 54194, 11;1, 62399, 0;2, 0, 0;3, 0, 0;
1787335567.015349471 0, 54158, 42;1, 51008, 7;2, 0, 0;3, 0, 0;
1787335570.304604890 0, 54484, 69;1, 51406, 14;2, 0, 0;3, 0, 0;
1787335573.034130738 0, 56834, 88;1, 50958, 0;2, 0, 0;3, 0, 0;
