implementation,workload,request_rate,seed,model,requests,completed,goodput,joint_slo,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
paper-faithful-v6,bursty,20,0,model_1,356,102,0.02,0.016853932584269662,87.27896213531494,189.82319831848136,2677.423965930926,30.638505270083748,48.29097063768474,61.00031003355976,3613.5507794097066,12104.747885232791,12829.924141580703
paper-faithful-v6,bursty,20,0,model_2,178,178,0.023333333333333334,0.03932584269662921,246.15168571472168,14070.03563642502,15056.513004302975,49.776342719472865,88.97646756635775,94.47056959271428,10213.864397490397,27312.65786321602,31890.727018630132
paper-faithful-v6,bursty,20,0,model_3,851,433,0.03,0.010575793184488837,1400.1328945159912,41650.46682357787,55635.809755325325,76.43441951021235,166.82819724082947,242.30044841766357,14983.226128155366,53784.340268652886,63805.73373594322
paper-faithful-v6,bursty,20,0,model_4,1094,880,0.19,0.05210237659963437,126.71136856079102,446.28528356552124,900.5519890785221,70.06084161206806,155.75574785470948,231.62166640162474,8112.493586493656,36754.62827021256,41625.33083360875
paper-faithful-v6,bursty,20,0,model_5,1685,1535,0.03666666666666667,0.006528189910979229,280.61461448669434,3312.8681182861324,4460.86586475373,206.3977453443739,969.3621709942818,1501.3224181532898,28794.522342970595,80736.77181063686,90004.56355593634
paper-faithful-v6,bursty,20,0,model_6,1696,1036,0.0,0.0,574.3011236190796,7405.088126659393,8939.38357830048,162.47110938032466,466.45023048433484,788.8178664174947,15229.01917505078,64842.69951481838,67564.71895981813
paper-faithful-v6,bursty,20,42,model_1,502,77,0.016666666666666666,0.0099601593625498,77.5444507598877,1721.3088512420693,10228.712787628168,38.63485095401605,54.591674083157585,67.26334324249834,3809.5428440719843,14986.60139190033,16144.225226836275
paper-faithful-v6,bursty,20,42,model_2,549,269,0.0033333333333333335,0.0018214936247723133,109.24506187438965,251.82061195373527,539.1426944732663,58.8235351668886,93.32322022494148,132.09076918088456,3743.52096603252,22044.708909234032,24310.61086908914
paper-faithful-v6,bursty,20,42,model_3,870,267,0.0033333333333333335,0.0011494252873563218,130.95498085021973,561.2620830535888,725.2937793731674,80.48927783966064,148.39080519772864,166.84035032987572,10219.028752064332,32066.02976073045,36106.507708849385
paper-faithful-v6,bursty,20,42,model_4,1215,273,0.013333333333333334,0.0032921810699588477,150.53510665893555,4675.279808044432,6233.223524093626,76.41318674837605,141.97862446308136,235.47152817249298,8500.715808011591,29285.780894709747,37072.553047025554
paper-faithful-v6,bursty,20,42,model_5,1449,204,0.0,0.0,301.8544912338257,824.2478132247924,916.4857125282288,137.48137392103672,220.73711852232614,244.76885169744492,19388.80542444531,50634.02452212758,52077.39776509348
paper-faithful-v6,bursty,20,42,model_6,1511,37,0.0,0.0,171.09394073486328,395.7478046417235,418.1937503814697,74.45379700323548,178.13021183013913,184.84029006958008,7545.300189871341,26546.412069583308,27558.75246190466
