implementation,workload,request_rate,seed,model,requests,completed,goodput,joint_slo,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
paper-faithful-v6,bursty,20,0,model_1,356,102,0.05333333333333334,0.0449438202247191,62.006473541259766,194.7451591491698,291.8432426452634,26.730477627583596,36.47565567304216,44.62002360395021,3458.438939996995,12025.132824364118,12225.603969951626
paper-faithful-v6,bursty,20,0,model_2,178,178,0.006666666666666667,0.011235955056179775,139.95647430419922,1695.023894309998,2593.6545562744113,68.65485206406603,105.90959563851357,134.48315223058057,6362.509658909403,27655.26332831942,29675.88339522015
paper-faithful-v6,bursty,20,0,model_3,851,433,0.15666666666666668,0.055229142185663924,99.44653511047363,254.49519157409657,630.514907836915,52.57163643836975,70.03199577331543,88.54643730890184,5450.588408159092,21714.43673442118,23078.691320251673
paper-faithful-v6,bursty,20,0,model_4,1094,852,0.03,0.008226691042047532,144.43862438201904,611.287486553192,1046.2247180938723,97.61080456276736,233.02229606554286,316.41747371355694,11633.114908472635,48613.00931118894,54955.375789019745
paper-faithful-v6,bursty,20,0,model_5,1685,1063,0.04666666666666667,0.00830860534124629,314.5945072174072,4643.536996841431,7468.947887420634,247.69048392772675,1248.8388056840208,2107.463009754816,14635.77517401427,78967.73950704372,110798.3211749233
paper-faithful-v6,bursty,20,0,model_6,1696,835,0.0,0.0,236.97590827941895,3551.9983291625963,4081.791729927063,201.09309256076813,250.9388911627954,335.5954074859616,21408.17129611969,79893.6373741366,83009.38839549664
paper-faithful-v6,bursty,20,42,model_1,502,380,0.12333333333333334,0.07370517928286853,88.41216564178467,708.0578684806829,3809.3441748619066,41.554754289488,62.63038859639354,76.85534209012985,4686.815583030693,18516.195074014835,20590.07416976383
paper-faithful-v6,bursty,20,42,model_2,549,461,0.06333333333333334,0.03460837887067395,105.27825355529785,227.7517318725586,283.4473133087155,52.53393745422363,83.11034739017487,100.21443451152125,5282.847827998921,24899.399252142757,27465.475299768146
paper-faithful-v6,bursty,20,42,model_3,870,811,0.04,0.013793103448275862,144.39988136291504,1220.4943895339966,4987.445759773254,90.89075028896332,149.44288915111906,210.94646900892238,9932.300151092932,39555.5681809783,43376.58768249675
paper-faithful-v6,bursty,20,42,model_4,1215,1140,0.04,0.009876543209876543,158.5080623626709,1872.0415115356445,4965.731346607199,103.95276488205575,182.3664553463459,358.5532553493965,9334.825632045977,41720.178555720486,46034.955147916895
paper-faithful-v6,bursty,20,42,model_5,1449,1313,0.0,0.0,1504.5006275177002,8202.058982849121,9767.132177352885,261.3692283630371,1253.6753588592217,2001.12759411335,30143.886703066528,114945.18953864457,136638.92608294252
paper-faithful-v6,bursty,20,42,model_6,1511,1047,0.11666666666666667,0.02316346790205162,1732.689380645752,4053.294539451599,4845.257411003113,194.60343569517136,1409.2429161071777,1971.9086370185787,26995.10167608969,70683.70456674602,77882.22434099764
