timestamp,gpu_id,gpu_utilization,memory_used_mib
1787342149.526245,0,0,33468
1787342149.526245,1,0,33482
1787342149.526245,2,0,0
1787342149.526245,3,0,0
1787342151.8632936,0,46,33948
1787342151.8632936,1,27,33942
1787342151.8632936,2,0,0
1787342151.8632936,3,0,0
1787342154.188438,0,0,34806
1787342154.188438,1,46,34190
1787342154.188438,2,0,0
1787342154.188438,3,0,0
1787342156.5502164,0,5,36822
1787342156.5502164,1,39,34502
1787342156.5502164,2,0,0
1787342156.5502164,3,0,0
1787342158.896334,0,8,38104
1787342158.896334,1,46,34614
1787342158.896334,2,0,0
1787342158.896334,3,0,0
1787342161.5591257,0,42,39130
1787342161.5591257,1,52,34640
1787342161.5591257,2,0,0
1787342161.5591257,3,0,0
1787342163.8922048,0,42,40512
1787342163.8922048,1,50,34884
1787342163.8922048,2,0,0
1787342163.8922048,3,0,0
1787342166.237035,0,41,40512
1787342166.237035,1,42,34996
1787342166.237035,2,0,0
1787342166.237035,3,0,0
1787342168.6895807,0,50,40512
1787342168.6895807,1,31,36270
1787342168.6895807,2,0,0
1787342168.6895807,3,0,0
1787342171.0715806,0,40,40512
1787342171.0715806,1,46,36606
1787342171.0715806,2,0,0
1787342171.0715806,3,0,0
1787342173.4126992,0,54,40512
1787342173.4126992,1,51,36718
1787342173.4126992,2,0,0
1787342173.4126992,3,0,0
1787342175.8981075,0,26,41024
1787342175.8981075,1,34,37054
1787342175.8981075,2,0,0
1787342175.8981075,3,0,0
1787342178.3333223,0,5,41920
1787342178.3333223,1,37,37166
1787342178.3333223,2,0,0
1787342178.3333223,3,0,0
1787342180.7409368,0,22,43454
1787342180.7409368,1,30,37278
1787342180.7409368,2,0,0
1787342180.7409368,3,0,0
1787342183.1783638,0,3,45134
1787342183.1783638,1,39,37614
1787342183.1783638,2,0,0
1787342183.1783638,3,0,0
1787342186.4711547,0,40,46964
1787342186.4711547,1,47,37950
1787342186.4711547,2,0,0
1787342186.4711547,3,0,0
1787342188.9784932,0,6,48276
1787342188.9784932,1,48,37950
1787342188.9784932,2,0,0
1787342188.9784932,3,0,0
1787342191.4632583,0,7,49568
1787342191.4632583,1,57,38062
1787342191.4632583,2,0,0
1787342191.4632583,3,0,0
1787342193.9978943,0,98,51704
1787342193.9978943,1,51,38062
1787342193.9978943,2,0,0
1787342193.9978943,3,0,0
1787342196.3419132,0,7,53148
1787342196.3419132,1,61,38062
1787342196.3419132,2,0,0
1787342196.3419132,3,0,0
1787342198.8240757,0,5,54428
1787342198.8240757,1,41,38062
1787342198.8240757,2,0,0
1787342198.8240757,3,0,0
1787342201.4149396,0,5,55196
1787342201.4149396,1,46,38062
1787342201.4149396,2,0,0
1787342201.4149396,3,0,0
1787342203.8092763,0,85,54164
1787342203.8092763,1,53,38062
1787342203.8092763,2,0,0
1787342203.8092763,3,0,0
1787342206.510066,0,66,54164
1787342206.510066,1,46,38062
1787342206.510066,2,0,0
1787342206.510066,3,0,0
1787342208.9194782,0,58,54164
1787342208.9194782,1,51,38062
1787342208.9194782,2,0,0
1787342208.9194782,3,0,0
1787342211.3723457,0,80,54164
1787342211.3723457,1,37,38062
1787342211.3723457,2,0,0
1787342211.3723457,3,0,0
1787342213.839896,0,74,54164
1787342213.839896,1,37,38154
1787342213.839896,2,0,0
1787342213.839896,3,0,0
1787342216.3654265,0,32,54166
1787342216.3654265,1,39,38154
1787342216.3654265,2,0,0
1787342216.3654265,3,0,0
1787342218.9312758,0,15,53914
1787342218.9312758,1,31,38154
1787342218.9312758,2,0,0
1787342218.9312758,3,0,0
1787342221.3386393,0,44,54038
1787342221.3386393,1,57,38154
1787342221.3386393,2,0,0
1787342221.3386393,3,0,0
1787342223.7999952,0,49,54294
1787342223.7999952,1,53,45544
1787342223.7999952,2,0,0
1787342223.7999952,3,0,0
1787342226.3213203,0,72,54294
1787342226.3213203,1,38,47034
1787342226.3213203,2,0,0
1787342226.3213203,3,0,0
1787342228.935479,0,36,54294
1787342228.935479,1,18,47864
1787342228.935479,2,0,0
1787342228.935479,3,0,0
1787342231.4637647,0,62,54294
1787342231.4637647,1,76,48316
1787342231.4637647,2,0,0
1787342231.4637647,3,0,0
1787342234.2217853,0,38,54294
1787342234.2217853,1,43,48742
1787342234.2217853,2,0,0
1787342234.2217853,3,0,0
1787342236.5749934,0,62,54294
1787342236.5749934,1,56,48966
1787342236.5749934,2,0,0
1787342236.5749934,3,0,0
1787342239.0976768,0,30,54038
1787342239.0976768,1,49,49222
1787342239.0976768,2,0,0
1787342239.0976768,3,0,0
1787342241.4298904,0,53,54038
1787342241.4298904,1,55,48886
1787342241.4298904,2,0,0
1787342241.4298904,3,0,0
1787342243.8403666,0,24,54038
1787342243.8403666,1,29,49142
1787342243.8403666,2,0,0
1787342243.8403666,3,0,0
1787342246.412181,0,98,54038
1787342246.412181,1,99,49030
1787342246.412181,2,0,0
1787342246.412181,3,0,0
