1787341546.331797799 0, 33900, 25;1, 33938, 49;2, 0, 0;3, 0, 0;
1787341548.676020007 0, 34012, 57;1, 34402, 88;2, 0, 0;3, 0, 0;
1787341551.011629534 0, 34296, 27;1, 35526, 29;2, 0, 0;3, 0, 0;
1787341553.387098688 0, 34608, 32;1, 36320, 8;2, 0, 0;3, 0, 0;
1787341555.796119261 0, 34672, 27;1, 37366, 25;2, 0, 0;3, 0, 0;
1787341558.120704770 0, 34672, 29;1, 37478, 67;2, 0, 0;3, 0, 0;
1787341560.519168953 0, 34800, 21;1, 38092, 24;2, 0, 0;3, 0, 0;
1787341563.098580797 0, 34800, 39;1, 39020, 66;2, 0, 0;3, 0, 0;
1787341565.811976357 0, 34800, 38;1, 39778, 19;2, 0, 0;3, 0, 0;
1787341568.704025641 0, 34800, 32;1, 40562, 39;2, 0, 0;3, 0, 0;
1787341571.510881802 0, 34800, 34;1, 40674, 48;2, 0, 0;3, 0, 0;
1787341573.786406751 0, 34800, 51;1, 40674, 72;2, 0, 0;3, 0, 0;
1787341576.243271502 0, 35258, 26;1, 41268, 19;2, 0, 0;3, 0, 0;
1787341578.710660691 0, 35258, 21;1, 41716, 11;2, 0, 0;3, 0, 0;
1787341581.100891876 0, 35258, 34;1, 42388, 12;2, 0, 0;3, 0, 0;
1787341583.569618993 0, 35386, 33;1, 43672, 14;2, 0, 0;3, 0, 0;
1787341586.005889040 0, 35386, 29;1, 44120, 45;2, 0, 0;3, 0, 0;
1787341588.411049854 0, 35386, 39;1, 44456, 36;2, 0, 0;3, 0, 0;
1787341590.783910586 0, 35386, 30;1, 45016, 38;2, 0, 0;3, 0, 0;
1787341593.159985745 0, 35386, 25;1, 45016, 52;2, 0, 0;3, 0, 0;
1787341595.539865194 0, 35386, 34;1, 45016, 100;2, 0, 0;3, 0, 0;
1787341597.830504091 0, 35386, 24;1, 44904, 53;2, 0, 0;3, 0, 0;
1787341600.312929760 0, 34098, 27;1, 43810, 53;2, 0, 0;3, 0, 0;
1787341602.775061288 0, 34098, 25;1, 43810, 40;2, 0, 0;3, 0, 0;
1787341605.265140320 0, 34098, 24;1, 44146, 31;2, 0, 0;3, 0, 0;
1787341607.719383115 0, 34098, 17;1, 44630, 47;2, 0, 0;3, 0, 0;
1787341610.095031579 0, 34098, 22;1, 45190, 12;2, 0, 0;3, 0, 0;
1787341612.549631824 0, 34190, 40;1, 46038, 53;2, 0, 0;3, 0, 0;
1787341614.931704003 0, 34190, 42;1, 47144, 68;2, 0, 0;3, 0, 0;
1787341617.473439630 0, 34190, 26;1, 47144, 40;2, 0, 0;3, 0, 0;
1787341619.886383409 0, 34190, 36;1, 47144, 54;2, 0, 0;3, 0, 0;
1787341622.258711585 0, 34190, 27;1, 47144, 43;2, 0, 0;3, 0, 0;
1787341624.712834597 0, 34190, 26;1, 47368, 45;2, 0, 0;3, 0, 0;
1787341627.108781571 0, 34190, 33;1, 47480, 53;2, 0, 0;3, 0, 0;
1787341629.505355761 0, 34344, 23;1, 47704, 12;2, 0, 0;3, 0, 0;
1787341631.907646877 0, 34728, 45;1, 47704, 47;2, 0, 0;3, 0, 0;
1787341634.288091831 0, 35240, 6;1, 47816, 64;2, 0, 0;3, 0, 0;
1787341636.775395284 0, 35432, 21;1, 48152, 50;2, 0, 0;3, 0, 0;
1787341639.151003521 0, 35572, 36;1, 48490, 36;2, 0, 0;3, 0, 0;
1787341641.554924855 0, 36408, 10;1, 48752, 27;2, 0, 0;3, 0, 0;
1787341644.763541292 0, 43124, 99;1, 49594, 99;2, 0, 0;3, 0, 0;
1787341647.073733653 0, 44602, 33;1, 49274, 52;2, 0, 0;3, 0, 0;
1787341649.431894147 0, 44730, 38;1, 49386, 33;2, 0, 0;3, 0, 0;
1787341651.764865500 0, 44858, 36;1, 49386, 45;2, 0, 0;3, 0, 0;
1787341654.035463056 0, 45296, 11;1, 49386, 67;2, 0, 0;3, 0, 0;
1787341656.520413716 0, 46706, 15;1, 49386, 42;2, 0, 0;3, 0, 0;
1787341658.986011931 0, 47176, 38;1, 49386, 56;2, 0, 0;3, 0, 0;
1787341661.556996860 0, 47176, 70;1, 49386, 41;2, 0, 0;3, 0, 0;
1787341663.903122556 0, 47176, 36;1, 49386, 32;2, 0, 0;3, 0, 0;
1787341666.244548452 0, 47432, 7;1, 49386, 56;2, 0, 0;3, 0, 0;
1787341668.922084538 0, 47944, 14;1, 49386, 37;2, 0, 0;3, 0, 0;
1787341671.409376123 0, 47944, 72;1, 49386, 54;2, 0, 0;3, 0, 0;
1787341673.977804515 0, 47944, 54;1, 49386, 65;2, 0, 0;3, 0, 0;
1787341676.458743697 0, 47944, 19;1, 49386, 43;2, 0, 0;3, 0, 0;
1787341678.997581933 0, 48072, 50;1, 49498, 43;2, 0, 0;3, 0, 0;
1787341681.384815854 0, 46846, 66;1, 49498, 31;2, 0, 0;3, 0, 0;
1787341683.977970590 0, 47230, 51;1, 49498, 29;2, 0, 0;3, 0, 0;
1787341686.322456288 0, 48382, 11;1, 49498, 27;2, 0, 0;3, 0, 0;
1787341688.855849997 0, 48766, 38;1, 49498, 49;2, 0, 0;3, 0, 0;
1787341691.275457459 0, 50038, 12;1, 49498, 54;2, 0, 0;3, 0, 0;
1787341693.762659791 0, 50046, 54;1, 49498, 31;2, 0, 0;3, 0, 0;
1787341696.260724683 0, 50174, 38;1, 49498, 22;2, 0, 0;3, 0, 0;
1787341698.769237965 0, 50848, 72;1, 49498, 39;2, 0, 0;3, 0, 0;
1787341701.381447056 0, 50976, 41;1, 49498, 58;2, 0, 0;3, 0, 0;
1787341703.886982008 0, 50976, 37;1, 49498, 37;2, 0, 0;3, 0, 0;
1787341706.508031856 0, 54798, 32;1, 49498, 45;2, 0, 0;3, 0, 0;
1787341709.218969922 0, 56274, 43;1, 49050, 12;2, 0, 0;3, 0, 0;
1787341711.678918119 0, 56608, 55;1, 48714, 62;2, 0, 0;3, 0, 0;
1787341714.025433458 0, 56864, 71;1, 47654, 43;2, 0, 0;3, 0, 0;
1787341716.497232209 0, 56864, 62;1, 47258, 28;2, 0, 0;3, 0, 0;
1787341719.015989729 0, 57116, 74;1, 46342, 15;2, 0, 0;3, 0, 0;
1787341722.264814313 0, 57730, 66;1, 45242, 18;2, 0, 0;3, 0, 0;
1787341724.977196728 0, 58002, 53;1, 44122, 17;2, 0, 0;3, 0, 0;
1787341727.359651028 0, 58088, 53;1, 42666, 29;2, 0, 0;3, 0, 0;
1787341729.987023428 0, 58206, 53;1, 41572, 21;2, 0, 0;3, 0, 0;
1787341732.539894589 0, 58222, 38;1, 38858, 13;2, 0, 0;3, 0, 0;
1787341735.054402930 0, 58526, 56;1, 38522, 10;2, 0, 0;3, 0, 0;
1787341737.715296433 0, 58922, 100;1, 38410, 17;2, 0, 0;3, 0, 0;
1787341740.143245746 0, 59450, 18;1, 38410, 13;2, 0, 0;3, 0, 0;
1787341742.693296066 0, 60004, 65;1, 38298, 16;2, 0, 0;3, 0, 0;
1787341745.259611225 0, 60004, 44;1, 38298, 20;2, 0, 0;3, 0, 0;
1787341747.609712855 0, 59748, 19;1, 38074, 0;2, 0, 0;3, 0, 0;
1787341750.077577073 0, 59876, 55;1, 38074, 0;2, 0, 0;3, 0, 0;
1787341752.548369454 0, 61044, 36;1, 41224, 0;2, 0, 0;3, 0, 0;
1787341755.032194926 0, 61886, 28;1, 41282, 4;2, 0, 0;3, 0, 0;
1787341757.572641368 0, 62772, 12;1, 35700, 0;2, 0, 0;3, 0, 0;
1787341760.077458198 0, 63990, 0;1, 35700, 0;2, 0, 0;3, 0, 0;
1787341762.679329544 0, 65108, 13;1, 35700, 0;2, 0, 0;3, 0, 0;
1787341765.121746033 0, 66508, 26;1, 35700, 0;2, 0, 0;3, 0, 0;
1787341767.530490628 0, 67524, 9;1, 35702, 30;2, 0, 0;3, 0, 0;
1787341770.088887483 0, 68548, 6;1, 35702, 15;2, 0, 0;3, 0, 0;
1787341772.712372911 0, 70484, 31;1, 35914, 12;2, 0, 0;3, 0, 0;
1787341775.242664219 0, 71492, 21;1, 35914, 27;2, 0, 0;3, 0, 0;
1787341777.780231070 0, 72424, 18;1, 35914, 0;2, 0, 0;3, 0, 0;
1787341780.248009732 0, 73228, 67;1, 35914, 9;2, 0, 0;3, 0, 0;
1787341782.764802460 0, 73612, 43;1, 35914, 13;2, 0, 0;3, 0, 0;
1787341785.293572754 0, 74566, 35;1, 35914, 27;2, 0, 0;3, 0, 0;
1787341787.927164098 0, 74566, 80;1, 35914, 31;2, 0, 0;3, 0, 0;
1787341790.407418153 0, 74566, 48;1, 35914, 26;2, 0, 0;3, 0, 0;
1787341792.792735911 0, 72452, 76;1, 35996, 5;2, 0, 0;3, 0, 0;
1787341795.363329734 0, 72192, 41;1, 35996, 5;2, 0, 0;3, 0, 0;
1787341798.276747637 0, 72020, 68;1, 35996, 5;2, 0, 0;3, 0, 0;
1787341801.499585655 0, 71892, 69;1, 35996, 8;2, 0, 0;3, 0, 0;
1787341804.060178510 0, 71604, 55;1, 35996, 16;2, 0, 0;3, 0, 0;
1787341806.484989275 0, 71604, 53;1, 35996, 6;2, 0, 0;3, 0, 0;
1787341808.968851557 0, 71332, 70;1, 35996, 10;2, 0, 0;3, 0, 0;
1787341811.318190112 0, 71332, 77;1, 35996, 0;2, 0, 0;3, 0, 0;
1787341813.778112199 0, 71332, 59;1, 35996, 0;2, 0, 0;3, 0, 0;
1787341816.177321031 0, 71332, 58;1, 35996, 0;2, 0, 0;3, 0, 0;
1787341818.484401592 0, 71870, 88;1, 48216, 55;2, 0, 0;3, 0, 0;
1787341820.897571795 0, 71700, 55;1, 51078, 0;2, 0, 0;3, 0, 0;
1787341823.525456012 0, 72356, 69;1, 51990, 0;2, 0, 0;3, 0, 0;
1787341826.017395237 0, 72356, 0;1, 53070, 0;2, 0, 0;3, 0, 0;
1787341829.422121943 0, 69217, 0;1, 49763, 0;2, 0, 0;3, 0, 0;
1787341836.820833495 0, 69217, 0;1, 34020, 20;2, 0, 0;3, 0, 0;
1787341840.160021402 0, 6, 100;1, 20609, 0;2, 0, 0;3, 0, 0;
1787341842.665096835 0, 6, 0;1, 17763, 0;2, 0, 0;3, 0, 0;
1787341844.743479827 0, 6, 0;1, 17763, 0;2, 0, 0;3, 0, 0;
1787341846.820326920 0, 6, 0;1, 17763, 0;2, 0, 0;3, 0, 0;
1787341848.896069670 0, 6, 0;1, 17763, 0;2, 0, 0;3, 0, 0;
1787341850.970689346 0, 0, 0;1, 0, 29;2, 0, 0;3, 0, 0;
1787341853.048020766 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341855.166891768 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341857.260364082 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341859.346532360 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341861.459589685 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341863.548580560 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341865.627511373 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341867.704752430 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341869.780493899 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341871.874774423 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341873.967423209 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341876.066704271 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341878.147803579 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341880.251036892 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341882.346456495 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341884.425667105 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341886.502499443 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341888.581473192 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341890.678561525 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341892.792536275 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341894.871915808 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341896.985756358 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341899.060876157 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341901.147927870 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341903.229469723 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341905.307781800 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341907.386760000 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341909.465379999 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341911.543448313 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341913.618838644 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341915.698464277 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341917.785543628 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341919.882379610 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341921.958054681 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341924.036979498 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341926.116098396 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341928.194614570 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341930.269566756 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341932.351623518 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341934.431762749 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341936.511394016 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341938.594239660 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341940.679911058 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341942.771740707 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341944.870023770 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341946.948596799 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341949.048868180 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341951.155340423 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341953.235415827 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341955.337362505 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341957.412801152 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341959.524857082 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341961.644140160 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341963.777433141 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341965.857272877 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
1787341967.932549668 0, 0, 0;1, 0, 0;2, 0, 0;3, 0, 0;
