request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_3#0,model_3,0.08169727019674998,0.9210761579842113,215,16,0.3088560104370117,0.03290070593357086,0.8393788877874613,0.2780747413635254,0.03177899122238159,0,0,0,1,0
model_6#0,model_6,0.08465302723593071,8.122297138321613,755,16,0.2551689147949219,0.4853026270866394,8.037644111085683,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#1,model_6,0.10515324467482734,111.26115743372279,250,384,0.23459196090698242,0.2887729008992513,111.15600418904796,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#2,model_6,0.12061027630356731,8.121085888306924,769,16,0.3978126049041748,0.4742211401462555,8.000475612003356,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_1#0,model_1,0.14867912445429723,4.3942609653177485,12,107,0.10683846473693848,0.0386474154819952,4.245581840863451,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_3#1,model_3,0.25087835279787796,17.860917562977697,118,384,0.1615755558013916,0.04542169347405434,17.61003921017982,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_1#1,model_1,0.3125417761537152,1.1146945762946177,387,24,0.09835290908813477,0.029176880915959675,0.8021528001409024,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_6#3,model_6,0.3340130258784374,59.144790097043355,217,177,0.18493366241455078,0.3311786193632137,58.81077707116492,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#0,model_5,0.36244596112779426,12.645688151151678,21,320,0.07436871528625488,0.03813061192631721,12.283242190023884,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_6#4,model_6,0.3635368185319877,8.120896898556214,175,16,0.1543588638305664,0.47429947555065155,7.7573600800242275,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#5,model_6,0.39665418173077405,97.77520459782222,47,317,0.255828857421875,0.30634793498162594,97.37855041609146,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#6,model_6,0.41499419611117117,10.672934624209836,778,34,0.23622465133666992,0.2945598363876343,10.257940428098664,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#7,model_6,0.45471958655168004,14.816187682582557,190,49,0.19728612899780273,0.28895304640945124,14.361468096030876,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#8,model_6,0.48452326441946764,10.829259625364275,236,36,0.1675724983215332,0.28257232904434204,10.344736360944808,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_1#2,model_1,0.5181498908427856,14.066314204967519,883,384,0.049779653549194336,0.0351325465987126,13.548164314124733,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_6#9,model_6,0.5691153830490435,111.26147844708667,14,384,0.17331480979919434,0.28772597139080364,110.69236306403764,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_1#3,model_1,0.5795453524622205,13.149149846605498,11,357,0.03164815902709961,0.035102861602099335,12.569604494143277,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_1#4,model_1,0.6273058459935463,6.723827376992417,767,154,0.23474788665771484,0.03803033333320122,6.096521530998871,0.11985421180725098,0.019033251330256462,0,0,0,1,0
model_6#10,model_6,0.7254633119158047,111.26162594094086,714,384,0.27695584297180176,0.2870475345601638,110.53616262902506,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#11,model_6,0.7268491113207595,8.12059877632403,499,16,0.2764897346496582,0.4439701586961746,7.39374966500327,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_3#2,model_3,0.7334192266777468,5.481419800510288,8,112,0.09880399703979492,0.041469109909875054,4.748000573832542,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_1#5,model_1,0.8037686253012097,11.72800568938711,9,307,0.0984189510345459,0.03524091267042129,10.9242370640859,0.11985421180725098,0.019033251330256462,1,0,0,1,0
