1787291715.185640532 0, 73283, 0;1, 73309, 0;2, 0, 0;3, 0, 0;
1787291717.454308754 0, 73901, 0;1, 73901, 0;2, 0, 0;3, 0, 0;
1787291719.642681530 0, 73901, 82;1, 73901, 81;2, 0, 0;3, 0, 0;
1787291721.799598406 0, 73901, 73;1, 73901, 84;2, 0, 0;3, 0, 0;
1787291724.216371267 0, 73901, 91;1, 73901, 90;2, 0, 0;3, 0, 0;
1787291726.415108301 0, 73901, 75;1, 73901, 97;2, 0, 0;3, 0, 0;
1787291728.721395896 0, 73901, 90;1, 73901, 95;2, 0, 0;3, 0, 0;
1787291730.912673337 0, 73901, 77;1, 73901, 83;2, 0, 0;3, 0, 0;
1787291733.154821872 0, 73901, 93;1, 73901, 80;2, 0, 0;3, 0, 0;
1787291735.386279178 0, 73901, 95;1, 73901, 97;2, 0, 0;3, 0, 0;
1787291737.627108729 0, 73921, 76;1, 73921, 84;2, 0, 0;3, 0, 0;
1787291739.799157651 0, 73921, 97;1, 73921, 58;2, 0, 0;3, 0, 0;
1787291742.291085944 0, 73921, 66;1, 73921, 72;2, 0, 0;3, 0, 0;
1787291744.449306625 0, 73921, 76;1, 73921, 78;2, 0, 0;3, 0, 0;
1787291746.865958003 0, 73921, 97;1, 73921, 94;2, 0, 0;3, 0, 0;
1787291749.103763222 0, 73921, 73;1, 73921, 74;2, 0, 0;3, 0, 0;
1787291751.274564957 0, 73921, 97;1, 73921, 96;2, 0, 0;3, 0, 0;
1787291753.442220750 0, 73921, 73;1, 73921, 84;2, 0, 0;3, 0, 0;
1787291755.598737059 0, 73921, 80;1, 73921, 96;2, 0, 0;3, 0, 0;
1787291757.917106510 0, 73921, 88;1, 73921, 93;2, 0, 0;3, 0, 0;
1787291760.146459146 0, 73921, 96;1, 73921, 96;2, 0, 0;3, 0, 0;
1787291762.358479981 0, 73921, 97;1, 73921, 95;2, 0, 0;3, 0, 0;
1787291764.588284646 0, 73921, 81;1, 73921, 66;2, 0, 0;3, 0, 0;
