[2026-08-21 05:48:45.586 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '1->0': True} p2p=False
[2026-08-21 05:48:50.590 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:48:55.825 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:01.095 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:06.472 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:11.709 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:16.940 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:22.273 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:27.533 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:32.792 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:38.059 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-21 05:49:43.320 Model_Service_0] Model service 0 input queue is empty, waiting for next request
