implementation,workload,request_rate,seed,model,requests,completed,goodput,joint_slo,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
released-prototype,bursty,14,1,model_1,243,243,0.03,0.037037037037037035,94.05803680419922,664.23473358154,1848.9509916305456,37.12626608709494,53.136611514621286,68.03696602582929,3067.3447211738676,15092.11986567825,16303.87177292257
released-prototype,bursty,14,1,model_2,434,434,0.14,0.0967741935483871,80.49297332763672,225.3486037254333,2511.746256351485,37.854709602438064,51.17445886135101,64.52729898114359,4956.430447055027,16197.371108399238,17587.507071821023
released-prototype,bursty,14,1,model_3,1315,1315,0.24333333333333335,0.05551330798479087,126.11865997314453,592.0979499816891,1004.3004322051995,73.60559701919556,138.12661267378752,178.19289843488144,8545.038877986372,35176.398362964384,38213.087053224444
released-prototype,bursty,14,1,model_4,380,380,0.08333333333333333,0.06578947368421052,105.87882995605469,424.5228886604312,2240.089943408954,50.61537874615298,66.72324002269775,73.10700228719999,6419.805332436226,20777.946828235872,22949.55486857332
released-prototype,bursty,14,1,model_5,1071,1071,0.016666666666666666,0.004668534080298786,161.07678413391113,2040.7469272613525,4157.9153776168805,103.60821932554245,419.4479479358114,1038.2579362392426,14542.700810125098,61644.79059656151,73035.56877821684
released-prototype,bursty,14,1,model_6,813,813,0.02666666666666667,0.00984009840098401,157.88984298706055,577.2313594818114,1122.1150493621826,148.3513355255127,232.8931635076349,322.60972619056696,14465.068963821977,61553.18602928892,68528.95909972489
released-prototype,bursty,14,2,model_1,377,377,0.10333333333333333,0.08222811671087533,72.45469093322754,1197.1550464630122,4219.639825820923,28.125724930694137,52.571017543474824,70.33481359481813,3954.4873260892928,11879.999811854213,17240.71680193768
released-prototype,bursty,14,2,model_2,447,447,0.043333333333333335,0.029082774049217,91.27140045166016,767.8143262863156,4889.526605606089,42.07566645757066,62.17998240528435,73.5821374023662,6297.3930921871215,18218.38969236705,21569.364932505418
released-prototype,bursty,14,2,model_3,882,882,0.6666666666666666,0.22675736961451248,100.64482688903809,426.7061233520495,925.3026866912841,52.123852636454245,84.28558096999203,114.88668218255032,5059.243416995741,24720.78266346361,27424.122128956948
released-prototype,bursty,14,2,model_4,483,483,0.5266666666666666,0.32712215320910976,105.76081275939941,3515.403532981872,6215.783019065858,40.04367486930188,104.59112361160636,198.98166250872922,6375.106925144792,18502.897302806374,23895.9110712586
released-prototype,bursty,14,2,model_5,929,929,0.023333333333333334,0.007534983853606028,177.85191535949707,1526.469612121581,5995.986223220825,120.700776244009,253.5040497779846,369.4113457202917,13483.96980506368,49513.3138105273,56816.76615405828
released-prototype,bursty,14,2,model_6,1040,1040,0.08333333333333333,0.02403846153846154,160.22050380706787,2272.595083713523,6710.24685859679,88.13791061523571,244.75146270060262,334.9894645810124,10572.857270017266,53184.398486115955,73234.90560231027
released-prototype,bursty,14,3,model_1,266,266,0.09,0.10150375939849623,92.16248989105225,468.25891733169556,4155.082118511211,48.64909755183267,63.56683435539405,74.5717644691468,4181.919781025499,20750.46952115372,21301.19718150236
released-prototype,bursty,14,3,model_2,426,426,0.016666666666666666,0.011737089201877934,119.63367462158203,5501.9776821136475,7086.70437335968,60.562302358448505,120.72647815713515,156.36061131954193,9796.419942984357,28632.35220115166,33563.67731728824
released-prototype,bursty,14,3,model_3,531,531,0.10666666666666667,0.060263653483992465,116.78266525268555,324.820876121521,780.5615425109899,65.25980625227977,102.11124938617218,123.77789912387264,7752.726037986577,30462.550709489733,35678.72087373399
released-prototype,bursty,14,3,model_4,751,751,0.21,0.08388814913448735,118.09659004211426,564.012885093689,3433.7726831436157,56.46716058254242,92.72198280208784,120.76713306748348,7111.266343854368,29502.384861465544,33355.9647629736
released-prototype,bursty,14,3,model_5,1145,1145,0.06666666666666667,0.017467248908296942,217.62633323669434,2839.422321319577,3503.150978088379,148.47893764575323,643.4155361141476,1038.1840604543686,18217.474228003994,60981.78211920894,72699.11942029367
released-prototype,bursty,14,3,model_6,1125,1125,0.01,0.0026666666666666666,192.8567886352539,4163.71636390686,4926.115074157714,104.81251776218414,1160.7463717460632,1951.9324630498886,20324.873915174976,70626.05253523214,83163.32477833144
released-prototype,bursty,2,1,model_1,36,36,0.03333333333333333,0.2777777777777778,75.86359977722168,1108.6413860321045,2818.654000759122,23.009796589296588,37.237197160720825,40.52972372840433,2778.00926938653,10739.862629270647,12974.681266397232
released-prototype,bursty,2,1,model_2,61,61,0.09666666666666666,0.47540983606557374,86.65776252746582,2326.4575004577637,5520.716905593869,24.6210950793642,37.8376841545105,43.13030676408247,1793.0044268723577,13252.899741055444,13827.0946983248
released-prototype,bursty,2,1,model_3,193,193,0.26,0.40414507772020725,79.65493202209473,352.3180961608882,3894.3620777130045,34.0842604637146,47.98761643782383,65.42491240934878,3804.4240509625524,15572.548325499514,17248.951827511188
released-prototype,bursty,2,1,model_4,59,59,0.08,0.4067796610169492,85.71076393127441,995.4229831695549,1977.8464794158967,37.3269971460104,42.76887972784393,46.33470795353222,5826.135378098115,16223.070642049424,16446.292658783495
released-prototype,bursty,2,1,model_5,158,158,0.2833333333333333,0.5379746835443038,110.02540588378906,212.25078105926517,252.9767203330995,37.17742767184973,50.0449429904776,58.804239332675984,4648.290979443118,16677.37862954382,18183.11639069115
released-prototype,bursty,2,1,model_6,120,120,0.04666666666666667,0.11666666666666667,112.72192001342773,279.23606634140003,849.584300518036,44.534339613857725,54.05531361699104,67.07911041047839,6436.193392961286,18907.682005537208,19564.573505420703
released-prototype,bursty,2,2,model_1,46,46,0.016666666666666666,0.10869565217391304,57.416319847106934,151.4413356781006,2336.12675666808,28.698031784304035,39.48658614471414,46.901327371597276,4283.569085528143,13653.412392246537,16208.674764737943
released-prototype,bursty,2,2,model_2,74,74,0.02,0.08108108108108109,104.04670238494873,4132.780373096462,5030.421419143674,34.03666826850134,46.94780204445123,52.29250609874724,5458.180209388956,13451.611195423173,16292.930600680404
released-prototype,bursty,2,2,model_3,132,132,0.14,0.3181818181818182,95.33298015594482,261.65715456008905,5264.136025905601,35.02817893469775,59.674600707857216,81.0861411690712,2065.683700959198,14677.189453551544,20347.82132209977
released-prototype,bursty,2,2,model_4,56,56,0.09666666666666666,0.5178571428571429,85.81769466400146,4796.796381473541,5768.223547935486,36.91069252522115,54.787139901343515,59.39979811509451,4611.176533973776,19231.152826338075,21393.417075509216
released-prototype,bursty,2,2,model_5,128,128,0.2833333333333333,0.6640625,116.47284030914307,767.9775595664967,2593.663642406468,27.723827721580626,72.44951121471634,88.95109593868257,3379.068917944096,17441.51047521736,20231.386832827706
released-prototype,bursty,2,2,model_6,142,142,0.22,0.4647887323943662,113.14117908477783,5670.9978342056265,7373.3930325508145,33.31253615518411,63.233714461707685,67.67416968693533,4520.294026006013,15657.755330787035,21891.20777400678
released-prototype,bursty,2,3,model_1,30,30,0.01,0.1,66.51031970977783,436.8721127510064,3273.180620670322,28.293310886337643,50.995736569166176,56.08715146780015,1316.6743775364012,11709.483690978957,12503.07332274504
released-prototype,bursty,2,3,model_2,57,57,0.10666666666666667,0.5614035087719298,95.45350074768066,1287.4664306640589,4144.697637557978,20.840889413418367,39.95523241659005,40.95412060116114,4071.7437809798867,14509.227246884257,15508.41691153124
released-prototype,bursty,2,3,model_3,81,81,0.06333333333333334,0.2345679012345679,78.31311225891113,206.17437362670898,244.49191093444824,35.53524456526104,44.902531997017235,51.1228616173203,4015.9671378787607,15007.515483070165,16458.5648173932
released-prototype,bursty,2,3,model_4,104,104,0.21333333333333335,0.6153846153846154,105.79466819763184,257.9734086990356,6045.507507324217,36.017737592934665,43.48720386372116,52.87558510899544,2551.1772645404562,14749.60682085948,16642.426465437748
released-prototype,bursty,2,3,model_5,178,178,0.44,0.7415730337078652,88.99521827697754,209.8116636276246,378.5048747062682,30.91063301655508,54.06840145587922,69.2346858978271,4174.1851944243535,14603.13323076116,16195.542037598787
released-prototype,bursty,2,3,model_6,153,153,0.3333333333333333,0.6535947712418301,96.70519828796387,310.58893203735437,2193.1353378295853,29.127716397245724,57.17271205626036,80.74153721332542,5880.5602479260415,14496.584196621552,17443.607368627556
released-prototype,bursty,20,1,model_1,367,367,0.03,0.02452316076294278,95.86310386657715,545.8335638046265,2793.033494949334,45.17447886367639,71.45438500813076,82.34806746244422,5432.216813089326,19811.849877936766,22843.36975819897
released-prototype,bursty,20,1,model_2,613,613,0.11,0.053833605220228384,101.7918586730957,926.3539791107161,2755.983257293701,45.415438090761505,82.59982875602398,110.09243035638653,6220.5210600513965,19076.921970956028,23098.395452992987
released-prototype,bursty,20,1,model_3,1832,1832,0.06,0.009825327510917031,201.31731033325195,936.4996194839475,1191.4523935317998,151.31605726090217,432.54069030284865,791.4897976815705,18717.210681643337,71616.35125076864,89324.38159534009
released-prototype,bursty,20,1,model_4,560,560,0.09,0.048214285714285716,120.19205093383789,748.9769577979968,3499.8996829986536,60.55033020675182,87.28643149995385,104.91503149271001,6907.653098460287,26575.999418180425,28923.578834163487
released-prototype,bursty,20,1,model_5,1512,1512,0.006666666666666667,0.0013227513227513227,233.0111265182495,1998.5264778137212,2785.749506950383,185.22476963698864,1206.2887957462906,1860.5947007238926,25467.9088400444,80690.14734685188,93125.92355808955
released-prototype,bursty,20,1,model_6,1172,1172,0.016666666666666666,0.004266211604095563,267.7578926086426,2159.0953707695016,3052.689146995544,229.50464301968213,775.9527246654039,1022.4058221280569,22029.478122945875,88648.76573028741,99776.7874993314
released-prototype,bursty,20,2,model_1,519,519,0.14333333333333334,0.08285163776493257,89.10083770751953,224.32441711425778,1093.6560630798342,33.518508076667786,49.7450007736182,62.01852779496802,4459.116608835757,14241.949264053255,17034.087604829114
released-prototype,bursty,20,2,model_2,651,651,0.20333333333333334,0.09370199692780339,91.35174751281738,277.88400650024414,1856.8929433822632,43.286572520931564,68.71617339758635,87.48766034841537,4412.088434910402,19351.662368979305,22414.903305005282
released-prototype,bursty,20,2,model_3,1248,1248,0.5833333333333334,0.14022435897435898,142.004132270813,933.8680982589719,1879.9205780029276,84.69268485961084,273.83389919996233,463.92154912738226,9449.991317582317,48791.94771747568,60566.997819750104
released-prototype,bursty,20,2,model_4,661,661,0.18666666666666668,0.08472012102874432,133.30698013305664,3478.712797164917,6358.271121978752,84.8696380853653,148.15141260623932,225.2022087574005,9270.418988075107,41732.66518115997,49731.05867481788
released-prototype,bursty,20,2,model_5,1289,1289,0.0,0.0,661.2796783447266,4722.007179260246,7989.242496490477,214.8764133453369,1400.9892062894226,2748.752858042716,33835.80520609394,83061.03819706474,99436.31336709476
released-prototype,bursty,20,2,model_6,1485,1485,0.17,0.03434343434343434,172.34039306640625,3910.8008861541716,8258.168067932133,107.7310349792242,514.6507775342021,864.6957302093506,16364.568561082706,79221.76523366942,97193.84058916943
released-prototype,bursty,20,3,model_1,392,367,0.03333333333333333,0.025510204081632654,109.54904556274414,627.1939277648919,4423.15054893493,55.701849150792356,106.08508884906769,148.79466593265516,5529.6335951425135,26136.045431927774,27974.423461463302
released-prototype,bursty,20,3,model_2,621,621,0.01,0.004830917874396135,161.37003898620605,7000.052213668823,7910.630083084104,75.0571238367181,178.43163864953178,239.66807509913585,12085.033611860126,32611.39994999394,40829.35914266854
released-prototype,bursty,20,3,model_3,789,783,0.15666666666666668,0.059569074778200254,145.83492279052734,775.1644134521483,1535.7214927673333,93.94547529518604,256.0433492064476,371.01255834102625,9666.765850037336,46117.087177746,54607.56982350252
released-prototype,bursty,20,3,model_4,1103,1041,0.11666666666666667,0.03173164097914778,120.74422836303711,508.6331367492676,3040.872240066462,67.98241391528252,125.65217729200396,190.06434877713485,8050.67379004322,33373.64758900367,43611.08808941208
released-prototype,bursty,20,3,model_5,1568,1568,0.023333333333333334,0.004464285714285714,2968.4412479400635,7306.25158548355,7969.848001003265,180.01464190674795,1056.613127887249,1693.0814363062325,26098.83422695566,72105.75667922385,81682.41379580926
released-prototype,bursty,20,3,model_6,1520,796,0.0,0.0,171.0418462753296,772.1438407897949,1244.3759322166438,143.12518142884778,274.48942222528984,513.4283147752277,17314.007913460955,62603.69728610385,68415.72919470491
released-prototype,bursty,4,1,model_1,77,77,0.08666666666666667,0.33766233766233766,55.51791191101074,1472.9674816131628,3501.9753265380787,20.94903588294983,37.154856324195876,58.0810052156448,2397.860700963065,10728.786245593803,11797.700517047188
released-prototype,bursty,4,1,model_2,134,134,0.22,0.4925373134328358,74.19407367706299,421.9143509864796,2446.2199878692545,26.569742729150605,40.26656702302302,53.49965065717692,2836.5500940708444,12710.514428687748,14504.684934259847
released-prototype,bursty,4,1,model_3,379,379,0.31,0.24538258575197888,85.95681190490723,201.9642829895018,462.6444578170759,41.61743925820932,53.45080196857452,61.64619654417034,5143.139595864341,17470.617269608192,18124.17265880853
released-prototype,bursty,4,1,model_4,87,87,0.12333333333333334,0.42528735632183906,97.7318286895752,216.06473922729495,657.2402429580699,37.63560950756073,45.72021072986079,53.14844563405773,2897.908914135769,15072.932025557384,16302.90485176258
released-prototype,bursty,4,1,model_5,278,278,0.26666666666666666,0.28776978417266186,114.55786228179932,285.2244496345519,509.10918951034813,43.428951284752216,59.34724043074406,68.27379375696198,5820.419020950794,17521.72196729807,20153.361891885288
released-prototype,bursty,4,1,model_6,249,249,0.05333333333333334,0.0642570281124498,116.12844467163086,254.04305458068848,1980.2072048187297,51.48127298245485,64.31211630503337,78.28595627909122,6324.038566090167,21156.3273423817,22901.997741563246
released-prototype,bursty,4,2,model_1,110,110,0.043333333333333335,0.11818181818181818,72.90315628051758,1356.7643523216198,5495.4846167564365,24.826256978896357,41.79505258798599,49.927564004534155,4252.124203485437,12211.724452709312,16169.220944973635
released-prototype,bursty,4,2,model_2,133,133,0.15,0.3383458646616541,84.66887474060059,238.2833003997802,5119.770288467411,30.391480241503036,45.83105581291651,54.172240307456576,1486.9293691590428,13017.271380685266,14116.572104683148
released-prototype,bursty,4,2,model_3,250,250,0.15666666666666668,0.188,91.42112731933594,208.63239765167233,267.38995075225824,41.12100963937879,60.24248227477074,68.53070020675658,3675.433486001566,17323.150581598744,20589.78100250708
released-prototype,bursty,4,2,model_4,148,148,0.20666666666666667,0.4189189189189189,90.91746807098389,2572.855389118197,5435.185992717743,39.33318827718831,66.64778590202333,73.59998658299446,5175.363412010483,16134.768690762576,19842.738199802116
released-prototype,bursty,4,2,model_5,300,300,0.69,0.69,99.34771060943604,272.96802997589117,4148.968589305864,33.262522997342,67.573305027506,80.41777963439617,5722.431305446662,15170.3498405288,21219.573522622195
released-prototype,bursty,4,2,model_6,287,287,0.07,0.07317073170731707,117.73967742919922,805.3292751312248,6930.3846645355225,45.29191618380339,73.69615017165282,97.74338210575159,4307.119682896882,19792.449403391216,25225.683959480346
released-prototype,bursty,4,3,model_1,78,78,0.03,0.11538461538461539,76.97391510009766,829.662013053892,2691.7048168182473,29.024007151255738,40.38913254558923,45.868142957196554,3563.364907633513,13678.504253074061,14883.655705370475
released-prototype,bursty,4,3,model_2,121,121,0.07666666666666666,0.19008264462809918,98.33335876464844,4070.722818374634,6203.522729873656,31.0335509273984,44.34569539694951,50.23173402856897,5426.761439070106,14001.933959079906,17949.65321091003
released-prototype,bursty,4,3,model_3,141,141,0.14,0.2978723404255319,96.22335433959961,178.15208435058594,222.69206047058103,36.25938007908483,49.58972385951451,65.35052418708794,4565.093243028969,15067.799642914906,17155.540603492405
released-prototype,bursty,4,3,model_4,220,220,0.31666666666666665,0.4318181818181818,87.03899383544922,218.37035417556748,3253.9339208602923,37.87908498197794,50.78308851015371,60.8910445868969,7109.542072517797,16938.57250675792,18065.650349594653
released-prototype,bursty,4,3,model_5,333,333,0.39,0.35135135135135137,105.16715049743652,366.9384002685543,726.9519519805913,44.11589581033458,75.08227919701136,99.43115121788449,6778.787243179977,21043.0996000301,25634.703485909857
released-prototype,bursty,4,3,model_6,296,296,0.38666666666666666,0.3918918918918919,103.22654247283936,322.2421407699585,1512.6305818557755,38.28483708333174,67.91451543569565,103.54932599597511,5602.804404566996,17453.586112940684,21248.015241790563
released-prototype,bursty,8,1,model_1,134,134,0.05,0.11194029850746269,87.72885799407959,1559.598481655118,4563.8737463951065,29.21296843845472,50.208810337802824,57.39486520660334,2790.1977273868397,13202.94963689521,15671.371656476978
released-prototype,bursty,8,1,model_2,260,260,0.15333333333333332,0.17692307692307693,90.67630767822266,225.40433406829825,1629.0521836280882,33.815111964941025,50.60727968811988,64.50687644513035,3912.795280572027,15537.276198971085,16270.682761147622
released-prototype,bursty,8,1,model_3,744,744,0.20666666666666667,0.08333333333333333,115.9430742263794,475.42481422424333,782.7805852890016,60.72854778418939,110.54343986285835,151.57151475548773,7893.357126624323,29516.23609015952,35961.69165501837
released-prototype,bursty,8,1,model_4,221,221,0.11333333333333333,0.15384615384615385,104.20441627502441,287.9457473754883,3335.432815551759,43.65753969609343,58.14035733540853,75.1071433226268,6913.171727908775,18138.800618005916,20506.973383249715
released-prototype,bursty,8,1,model_5,592,592,0.20333333333333334,0.10304054054054054,138.6018991470337,608.9624047279342,921.2959837913522,56.91653791271129,151.8073510039936,190.44807849508354,7411.135233589448,31056.469039840154,43016.91762987757
released-prototype,bursty,8,1,model_6,461,461,0.04,0.026030368763557483,126.32060050964355,394.3207263946533,851.6984462738016,79.32224481002145,106.3089370727539,119.92137905429391,9326.027444796637,34313.298471970484,35289.688902301714
released-prototype,bursty,8,2,model_1,230,230,0.05,0.06521739130434782,86.05289459228516,1755.4951429366947,4598.1983017921475,33.2242714282289,57.15561850205928,69.58958588699348,3592.428516363725,17586.398466629893,21439.313951446675
released-prototype,bursty,8,2,model_2,253,253,0.03666666666666667,0.043478260869565216,108.50977897644043,2469.9664115905643,5351.1298084259,43.318857248645244,56.62731292883792,73.38194966316213,6379.628329072148,19807.679156027734,20670.88784837164
released-prototype,bursty,8,2,model_3,461,461,0.48,0.3123644251626898,98.33741188049316,243.82567405700684,761.2033843994133,44.1591038423426,67.09833004895378,99.83007808526357,4918.360052863136,19403.0438370537,21326.24548496678
released-prototype,bursty,8,2,model_4,312,312,0.28,0.2692307692307692,120.46587467193604,3671.2157726287837,6277.277889251708,54.07667776014198,103.20650438467662,136.72230288386345,6293.071537511423,31441.777765739243,37527.94788270956
released-prototype,bursty,8,2,model_5,566,566,0.14666666666666667,0.07773851590106007,129.2933225631714,742.3961162567139,3785.730242729191,62.7628336145104,101.65728318194549,166.05010032653811,7758.2349475706,29419.068501272704,38855.425403278794
released-prototype,bursty,8,2,model_6,564,564,0.38666666666666666,0.20567375886524822,125.33736228942871,2765.285837650299,6231.133518218995,58.30507095979185,115.52861057660162,215.48953987084911,7775.629914482124,30861.440989107366,38327.86799965659
released-prototype,bursty,8,3,model_1,154,154,0.21333333333333335,0.4155844155844156,45.461058616638184,104.56068515777585,2825.606832504272,19.567262331311916,22.860651663447435,24.845410459919975,2800.3882978809997,7808.564057596959,7933.632530816831
released-prototype,bursty,8,3,model_2,246,246,0.63,0.7682926829268293,50.65023899078369,2802.0423650741577,4870.405507087709,21.960648679241693,37.954187089646304,44.92593854665758,3583.8693840196356,9768.28679733444,11743.836034112614
released-prototype,bursty,8,3,model_3,300,300,0.9366666666666666,0.9366666666666666,61.746835708618164,149.0754008293153,213.44303607940668,25.955783571634306,32.18968559214331,36.488673937320705,4325.285294442438,10630.418612447103,11873.103680091444
released-prototype,bursty,8,3,model_4,454,454,1.4233333333333333,0.9405286343612335,57.94870853424072,245.17004489898665,3779.34433698653,26.90619292358557,32.84223043963256,37.893811268966736,2970.635593519546,10938.323480950203,12089.344984490886
released-prototype,bursty,8,3,model_5,647,647,0.9366666666666666,0.43431221020092736,90.15750885009766,312.24877834320034,600.7347249984693,45.22426426410675,87.26261850089239,124.75548714399324,4925.791702000424,23508.079562196508,25634.485437939875
released-prototype,bursty,8,3,model_6,648,648,1.1733333333333333,0.5432098765432098,85.4945182800293,247.93587923049913,430.2247810363762,33.3363747075251,82.78973556528746,108.92190548934428,4411.201343988068,20656.909664382692,26808.24195677647
released-prototype,steady,20,1,model_1,446,446,0.013333333333333334,0.008968609865470852,90.81447124481201,206.67701959609985,249.88313913345337,38.32890243960867,52.0711840327942,64.42577175555692,4525.768092484213,15316.0362871713,16797.429207968526
released-prototype,steady,20,1,model_2,871,871,0.05333333333333334,0.018369690011481057,98.4032154083252,207.4195146560669,243.77512931823725,50.6997097719897,64.50733542442322,75.19617002261309,6487.599641084671,20622.078831424005,21782.20440887379
released-prototype,steady,20,1,model_3,1355,1355,0.016666666666666666,0.0036900369003690036,125.56767463684082,329.6485900878904,783.8947343826296,73.57893062635067,99.93777216529567,152.6087599992753,8458.11801799573,30986.795153887942,34612.22233248409
released-prototype,steady,20,1,model_4,671,671,0.09333333333333334,0.041728763040238454,116.15991592407227,237.75196075439453,302.2811651229857,54.35808499654134,67.55884072997353,88.63776862621302,5200.200696941465,22023.83853518404,23060.29638908803
released-prototype,steady,20,1,model_5,1731,1731,0.0,0.0,191.1482810974121,561.6012811660767,1190.6023025512702,202.76975631713867,297.49589413404465,463.8189752896629,24295.639161020517,83414.95938587468,90382.23436037078
released-prototype,steady,20,1,model_6,938,938,0.006666666666666667,0.0021321961620469083,137.57967948913574,293.34832429885864,381.45617961883545,79.75267790156099,104.22614857554436,127.38812416791916,8883.160533499904,32903.691004635766,35693.531697308645
released-prototype,steady,20,2,model_1,929,929,0.013333333333333334,0.004305705059203444,87.91184425354004,205.49430847167955,455.243301391604,43.13287280854725,61.98844250668298,90.26873274853357,4996.065709041432,17942.10278703831,20747.71755856463
released-prototype,steady,20,2,model_2,514,514,0.06666666666666667,0.038910505836575876,91.6663408279419,205.53493499755848,476.583678722382,44.79166329132788,57.41295139282798,65.91680258512497,4946.838691597804,18714.14370607817,20106.949749619234
released-prototype,steady,20,2,model_3,1066,1066,0.03666666666666667,0.010318949343339587,121.3529109954834,290.1824116706848,547.0957517623895,63.027816258516964,83.3935714372904,115.43582362994067,8271.522717084736,25803.11163002625,28118.352603539824
released-prototype,steady,20,2,model_4,798,798,0.13333333333333333,0.05012531328320802,110.81421375274658,227.89437770843503,392.4465441703788,58.33237174313187,71.90834546976902,88.62121929725008,6591.051538940519,23695.853449392598,25016.04493268765
released-prototype,steady,20,2,model_5,1193,1193,0.0,0.0,154.48284149169922,369.47321891784657,593.5863971710191,112.72412027631488,147.4106377881506,199.374193350474,13195.660284953192,46973.11698026024,49559.26721325144
released-prototype,steady,20,2,model_6,1446,1446,0.0,0.0,141.6090726852417,330.8756351470947,698.5914707183813,103.41076434291188,135.452592685338,174.1193294525145,12338.140824926086,43889.60167270852,47404.61958085652
