timestamp,gpu_id,gpu_utilization,memory_used_mib
1787317076.924607,0,2,33716
1787317076.924607,1,6,33736
1787317076.924607,2,0,0
1787317076.924607,3,0,0
1787317079.4606001,0,13,33806
1787317079.4606001,1,40,33920
1787317079.4606001,2,0,0
1787317079.4606001,3,0,0
1787317081.8140504,0,30,33848
1787317081.8140504,1,59,34768
1787317081.8140504,2,0,0
1787317081.8140504,3,0,0
1787317084.2305708,0,24,48708
1787317084.2305708,1,11,35294
1787317084.2305708,2,0,0
1787317084.2305708,3,0,0
1787317086.5560496,0,46,48904
1787317086.5560496,1,73,36170
1787317086.5560496,2,0,0
1787317086.5560496,3,0,0
1787317088.982792,0,38,50264
1787317088.982792,1,42,35968
1787317088.982792,2,0,0
1787317088.982792,3,0,0
1787317091.3493152,0,49,50264
1787317091.3493152,1,34,36500
1787317091.3493152,2,0,0
1787317091.3493152,3,0,0
1787317093.6579328,0,54,50648
1787317093.6579328,1,47,36612
1787317093.6579328,2,0,0
1787317093.6579328,3,0,0
1787317096.01903,0,46,50786
1787317096.01903,1,39,37396
1787317096.01903,2,0,0
1787317096.01903,3,0,0
1787317098.3760886,0,29,51028
1787317098.3760886,1,42,21622
1787317098.3760886,2,0,0
1787317098.3760886,3,0,0
1787317100.803167,0,58,51624
1787317100.803167,1,17,21882
1787317100.803167,2,0,0
1787317100.803167,3,0,0
1787317103.5210953,0,61,51752
1787317103.5210953,1,24,22182
1787317103.5210953,2,0,0
1787317103.5210953,3,0,0
1787317106.198945,0,49,51992
1787317106.198945,1,24,22182
1787317106.198945,2,0,0
1787317106.198945,3,0,0
1787317108.5756543,0,51,52232
1787317108.5756543,1,20,22182
1787317108.5756543,2,0,0
1787317108.5756543,3,0,0
1787317110.9330852,0,52,52232
1787317110.9330852,1,18,22406
1787317110.9330852,2,0,0
1787317110.9330852,3,0,0
1787317113.266794,0,47,52232
1787317113.266794,1,14,22518
1787317113.266794,2,0,0
1787317113.266794,3,0,0
1787317115.70652,0,34,52232
1787317115.70652,1,26,22412
1787317115.70652,2,0,0
1787317115.70652,3,0,0
1787317118.0350237,0,40,52418
1787317118.0350237,1,30,22630
1787317118.0350237,2,0,0
1787317118.0350237,3,0,0
1787317120.43235,0,37,53626
1787317120.43235,1,25,22630
1787317120.43235,2,0,0
1787317120.43235,3,0,0
1787317122.763539,0,34,54982
1787317122.763539,1,24,22630
1787317122.763539,2,0,0
1787317122.763539,3,0,0
