timestamp,gpu_id,gpu_utilization,memory_used_mib
1787322181.2548058,0,0,33372
1787322181.2548058,1,0,33386
1787322181.2548058,2,0,0
1787322181.2548058,3,0,0
1787322184.3231075,0,22,33866
1787322184.3231075,1,44,34038
1787322184.3231075,2,0,0
1787322184.3231075,3,0,0
1787322186.6589308,0,29,34722
1787322186.6589308,1,38,34872
1787322186.6589308,2,0,0
1787322186.6589308,3,0,0
1787322189.4988227,0,64,35048
1787322189.4988227,1,99,35654
1787322189.4988227,2,0,0
1787322189.4988227,3,0,0
1787322191.7742023,0,21,35444
1787322191.7742023,1,29,36316
1787322191.7742023,2,0,0
1787322191.7742023,3,0,0
1787322194.1453323,0,43,36568
1787322194.1453323,1,79,36594
1787322194.1453323,2,0,0
1787322194.1453323,3,0,0
1787322196.5030684,0,37,36824
1787322196.5030684,1,44,36704
1787322196.5030684,2,0,0
1787322196.5030684,3,0,0
1787322200.8977165,0,100,37982
1787322200.8977165,1,70,37910
1787322200.8977165,2,0,0
1787322200.8977165,3,0,0
1787322203.2813778,0,23,38562
1787322203.2813778,1,35,38022
1787322203.2813778,2,0,0
1787322203.2813778,3,0,0
1787322205.6319335,0,30,39278
1787322205.6319335,1,34,38358
1787322205.6319335,2,0,0
1787322205.6319335,3,0,0
1787322207.9593143,0,61,40432
1787322207.9593143,1,40,38358
1787322207.9593143,2,0,0
1787322207.9593143,3,0,0
1787322210.2998152,0,90,40904
1787322210.2998152,1,85,38470
1787322210.2998152,2,0,0
1787322210.2998152,3,0,0
1787322212.9690034,0,28,40906
1787322212.9690034,1,43,38582
1787322212.9690034,2,0,0
1787322212.9690034,3,0,0
1787322215.6562183,0,49,40972
1787322215.6562183,1,45,38582
1787322215.6562183,2,0,0
1787322215.6562183,3,0,0
1787322218.0451899,0,43,40972
1787322218.0451899,1,33,38694
1787322218.0451899,2,0,0
1787322218.0451899,3,0,0
1787322220.4471698,0,43,41220
1787322220.4471698,1,43,38806
1787322220.4471698,2,0,0
1787322220.4471698,3,0,0
1787322222.8472893,0,28,41220
1787322222.8472893,1,38,38806
1787322222.8472893,2,0,0
1787322222.8472893,3,0,0
1787322225.1802237,0,51,41272
1787322225.1802237,1,38,38918
1787322225.1802237,2,0,0
1787322225.1802237,3,0,0
1787322227.4748821,0,45,41272
1787322227.4748821,1,68,39030
1787322227.4748821,2,0,0
1787322227.4748821,3,0,0
1787322229.877814,0,40,41272
1787322229.877814,1,69,39032
1787322229.877814,2,0,0
1787322229.877814,3,0,0
1787322232.188055,0,17,41272
1787322232.188055,1,60,39194
1787322232.188055,2,0,0
1787322232.188055,3,0,0
1787322234.5155034,0,51,41528
1787322234.5155034,1,48,39512
1787322234.5155034,2,0,0
1787322234.5155034,3,0,0
1787322237.008779,0,23,41912
1787322237.008779,1,46,39512
1787322237.008779,2,0,0
1787322237.008779,3,0,0
1787322239.394489,0,63,42424
1787322239.394489,1,36,39512
1787322239.394489,2,0,0
1787322239.394489,3,0,0
1787322241.723506,0,26,42808
1787322241.723506,1,57,39624
1787322241.723506,2,0,0
1787322241.723506,3,0,0
1787322244.0674884,0,52,43120
1787322244.0674884,1,100,39970
1787322244.0674884,2,0,0
1787322244.0674884,3,0,0
1787322246.3670602,0,56,43120
1787322246.3670602,1,42,39970
1787322246.3670602,2,0,0
1787322246.3670602,3,0,0
1787322248.679981,0,52,43120
1787322248.679981,1,43,39970
1787322248.679981,2,0,0
1787322248.679981,3,0,0
1787322251.4958045,0,47,43120
1787322251.4958045,1,70,39970
1787322251.4958045,2,0,0
1787322251.4958045,3,0,0
1787322253.814719,0,50,43120
1787322253.814719,1,52,39972
1787322253.814719,2,0,0
1787322253.814719,3,0,0
1787322256.204257,0,60,43120
1787322256.204257,1,21,40084
1787322256.204257,2,0,0
1787322256.204257,3,0,0
1787322258.620377,0,43,43120
1787322258.620377,1,28,40196
1787322258.620377,2,0,0
1787322258.620377,3,0,0
1787322261.0214636,0,49,43120
1787322261.0214636,1,37,40308
1787322261.0214636,2,0,0
1787322261.0214636,3,0,0
1787322263.4758577,0,54,43120
1787322263.4758577,1,39,40308
1787322263.4758577,2,0,0
1787322263.4758577,3,0,0
1787322265.8602288,0,53,43120
1787322265.8602288,1,37,40308
1787322265.8602288,2,0,0
1787322265.8602288,3,0,0
1787322268.2848344,0,26,43248
1787322268.2848344,1,37,40308
1787322268.2848344,2,0,0
1787322268.2848344,3,0,0
1787322270.8627949,0,17,43888
1787322270.8627949,1,39,40308
1787322270.8627949,2,0,0
1787322270.8627949,3,0,0
1787322273.3873456,0,39,44784
1787322273.3873456,1,29,40308
1787322273.3873456,2,0,0
1787322273.3873456,3,0,0
1787322275.9262748,0,21,45168
1787322275.9262748,1,46,40308
1787322275.9262748,2,0,0
1787322275.9262748,3,0,0
1787322278.2992294,0,75,45296
1787322278.2992294,1,25,40308
1787322278.2992294,2,0,0
1787322278.2992294,3,0,0
1787322280.8050218,0,84,45372
1787322280.8050218,1,92,40308
1787322280.8050218,2,0,0
1787322280.8050218,3,0,0
1787322283.1622658,0,47,45372
1787322283.1622658,1,40,40380
1787322283.1622658,2,0,0
1787322283.1622658,3,0,0
1787322285.5191555,0,35,45372
1787322285.5191555,1,24,40380
1787322285.5191555,2,0,0
1787322285.5191555,3,0,0
1787322287.934938,0,53,45384
1787322287.934938,1,65,40380
1787322287.934938,2,0,0
1787322287.934938,3,0,0
1787322291.1106372,0,58,46012
1787322291.1106372,1,100,40380
1787322291.1106372,2,0,0
1787322291.1106372,3,0,0
1787322293.4573958,0,31,46652
1787322293.4573958,1,99,40382
1787322293.4573958,2,0,0
1787322293.4573958,3,0,0
1787322295.8395474,0,91,46652
1787322295.8395474,1,45,40382
1787322295.8395474,2,0,0
1787322295.8395474,3,0,0
1787322298.14219,0,43,46652
1787322298.14219,1,34,40382
1787322298.14219,2,0,0
1787322298.14219,3,0,0
1787322300.5387902,0,26,46652
1787322300.5387902,1,46,40382
1787322300.5387902,2,0,0
1787322300.5387902,3,0,0
1787322302.9238565,0,48,46652
1787322302.9238565,1,68,40382
1787322302.9238565,2,0,0
1787322302.9238565,3,0,0
1787322305.4345653,0,76,46892
1787322305.4345653,1,64,40382
1787322305.4345653,2,0,0
1787322305.4345653,3,0,0
1787322307.84579,0,44,47020
1787322307.84579,1,47,40382
1787322307.84579,2,0,0
1787322307.84579,3,0,0
1787322310.2452056,0,63,47660
1787322310.2452056,1,25,40382
1787322310.2452056,2,0,0
1787322310.2452056,3,0,0
1787322312.99879,0,40,47788
1787322312.99879,1,38,40382
1787322312.99879,2,0,0
1787322312.99879,3,0,0
1787322315.4527903,0,46,47938
1787322315.4527903,1,51,40382
1787322315.4527903,2,0,0
1787322315.4527903,3,0,0
1787322317.975111,0,56,47938
1787322317.975111,1,25,40382
1787322317.975111,2,0,0
1787322317.975111,3,0,0
1787322320.31517,0,71,47938
1787322320.31517,1,54,40382
1787322320.31517,2,0,0
1787322320.31517,3,0,0
1787322322.7452836,0,50,47938
1787322322.7452836,1,47,40270
1787322322.7452836,2,0,0
1787322322.7452836,3,0,0
1787322325.0929413,0,40,47938
1787322325.0929413,1,43,40262
1787322325.0929413,2,0,0
1787322325.0929413,3,0,0
1787322327.5815837,0,42,47938
1787322327.5815837,1,37,40262
1787322327.5815837,2,0,0
1787322327.5815837,3,0,0
1787322330.015066,0,41,47938
1787322330.015066,1,41,40150
1787322330.015066,2,0,0
1787322330.015066,3,0,0
1787322332.3754642,0,72,47938
1787322332.3754642,1,44,40038
1787322332.3754642,2,0,0
1787322332.3754642,3,0,0
1787322334.8577216,0,47,47938
1787322334.8577216,1,31,40038
1787322334.8577216,2,0,0
1787322334.8577216,3,0,0
1787322337.2476528,0,48,47938
1787322337.2476528,1,54,40038
1787322337.2476528,2,0,0
1787322337.2476528,3,0,0
1787322339.7091196,0,55,47938
1787322339.7091196,1,35,40038
1787322339.7091196,2,0,0
1787322339.7091196,3,0,0
1787322342.2679336,0,69,47682
1787322342.2679336,1,61,40038
1787322342.2679336,2,0,0
1787322342.2679336,3,0,0
1787322344.593318,0,49,47682
1787322344.593318,1,41,40038
1787322344.593318,2,0,0
1787322344.593318,3,0,0
1787322347.0777464,0,46,47682
1787322347.0777464,1,25,40038
1787322347.0777464,2,0,0
1787322347.0777464,3,0,0
1787322349.474967,0,90,47682
1787322349.474967,1,32,40038
1787322349.474967,2,0,0
1787322349.474967,3,0,0
1787322351.8387406,0,76,47682
1787322351.8387406,1,41,40598
1787322351.8387406,2,0,0
1787322351.8387406,3,0,0
1787322354.2840664,0,48,47682
1787322354.2840664,1,28,40942
1787322354.2840664,2,0,0
1787322354.2840664,3,0,0
1787322356.6415207,0,55,47682
1787322356.6415207,1,34,40942
1787322356.6415207,2,0,0
1787322356.6415207,3,0,0
