Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s1.pkl
[PRISM_DIRECT] 8423 requests, span 419.9s
Starting TP benchmark: released-prototype_bursty_rate20_seed1
Generated 8423 requests
Request model_2#0 arrives at 1600204.004653815, sleeping for 0.06031654239632189 seconds
Request model_6#0 arrives at 1600204.065873991, sleeping for 0.05281186057254672 seconds
Request model_5#0 arrives at 1600204.119159458, sleeping for 0.12913592858240008 seconds
Request model_5#1 arrives at 1600204.249313595, sleeping for 0.07048544683493674 seconds
Request model_2#1 arrives at 1600204.320391692, sleeping for 0.06171938101761043 seconds
Request model_2#2 arrives at 1600204.382561885, sleeping for 0.007584502920508385 seconds
Request model_2#3 arrives at 1600204.390901565, sleeping for 0.027351222932338715 seconds
Request model_2#4 arrives at 1600204.41911339, sleeping for 0.08856467716395855 seconds
Request model_3#0 arrives at 1600204.508324419, sleeping for 0.045998449670150876 seconds
Request model_2#5 arrives at 1600204.555415852, sleeping for 0.002966501982882619 seconds
Request model_2#6 arrives at 1600204.559481971, sleeping for 0.09984213160350919 seconds
Request model_2#7 arrives at 1600204.65972341, sleeping for 0.06471614632755518 seconds
Request model_2#8 arrives at 1600204.725062796, sleeping for 0.07037532422691584 seconds
Request model_2#9 arrives at 1600204.795991662, sleeping for 0.027526783058419824 seconds
Request model_2#10 arrives at 1600204.823824755, sleeping for 0.10004566423594952 seconds
Request model_2#11 arrives at 1600204.924612068, sleeping for 0.1177028976380825 seconds
Request model_5#2 arrives at 1600205.04314096, sleeping for 0.06805786932818592 seconds
Request model_3#1 arrives at 1600205.111992851, sleeping for 0.05190150788985193 seconds
Request model_2#12 arrives at 1600205.165746512, sleeping for 0.00741537450812757 seconds
Request model_2#13 arrives at 1600205.173478358, sleeping for 0.0037986661773175 seconds
Request model_2#14 arrives at 1600205.178195503, sleeping for 0.06191145535558462 seconds
Request model_2#15 arrives at 1600205.240920259, sleeping for 0.10830720840021968 seconds
Request model_2#16 arrives at 1600205.350043283, sleeping for 0.07901211478747427 seconds
Request model_2#17 arrives at 1600205.429775293, sleeping for 0.11259365221485496 seconds
Request model_2#18 arrives at 1600205.543092687, sleeping for 0.024085291428491473 seconds
Request model_3#2 arrives at 1600205.568399831, sleeping for 0.14544678363017738 seconds
Request model_2#19 arrives at 1600205.714662005, sleeping for 0.03138657030649483 seconds
Request model_6#1 arrives at 1600205.74693928, sleeping for 0.04794513923116028 seconds
Request model_2#20 arrives at 1600205.795411403, sleeping for 0.014902331167832017 seconds
Request model_6#2 arrives at 1600205.810589053, sleeping for 0.008666710695251822 seconds
Request model_2#21 arrives at 1600205.821428872, sleeping for 0.0314612933434546 seconds
Request model_2#22 arrives at 1600205.853383684, sleeping for 0.04455654136836529 seconds
Request model_6#3 arrives at 1600205.898860465, sleeping for 0.04209107276983559 seconds
Request model_6#4 arrives at 1600205.94209012, sleeping for 0.21072671585716307 seconds
Request model_3#3 arrives at 1600206.153227016, sleeping for 0.08600290957838297 seconds
Request model_2#23 arrives at 1600206.240087778, sleeping for 0.2078303163871169 seconds
Request model_2#24 arrives at 1600206.448532904, sleeping for 0.04242490348406136 seconds
Request model_5#3 arrives at 1600206.491332026, sleeping for 0.05483325640670955 seconds
Request model_2#25 arrives at 1600206.547100921, sleeping for 0.007654574699699879 seconds
Request model_2#26 arrives at 1600206.555400742, sleeping for 0.027780147967860103 seconds
Request model_2#27 arrives at 1600206.583600657, sleeping for 0.030350239714607596 seconds
Request model_2#28 arrives at 1600206.61431551, sleeping for 0.045314311515539885 seconds
Request model_3#4 arrives at 1600206.660090783, sleeping for 0.01210269657894969 seconds
Request model_2#29 arrives at 1600206.672635785, sleeping for 0.013606820721179247 seconds
Request model_2#30 arrives at 1600206.687702744, sleeping for 0.008946206653490663 seconds
Request model_3#5 arrives at 1600206.696952342, sleeping for 0.058971018297597766 seconds
Request model_5#4 arrives at 1600206.757744294, sleeping for 0.013742419192567468 seconds
Request model_2#31 arrives at 1600206.772975505, sleeping for 0.025906492490321398 seconds
Request model_2#32 arrives at 1600206.799155105, sleeping for 0.06712307967245579 seconds
Request model_5#5 arrives at 1600206.868025266, sleeping for 0.04504539608024061 seconds
Request model_2#33 arrives at 1600206.914249003, sleeping for 8.621322922408581e-05 seconds
Request model_2#34 arrives at 1600206.915056728, sleeping for 0.007099254289641976 seconds
Request model_3#6 arrives at 1600206.922462412, sleeping for 0.10881018335931003 seconds
Request model_2#35 arrives at 1600207.031762108, sleeping for 0.09427816118113697 seconds
Request model_2#36 arrives at 1600207.127235782, sleeping for 0.06395300035364926 seconds
Request model_2#37 arrives at 1600207.191472329, sleeping for 0.04741834010928869 seconds
Request model_2#38 arrives at 1600207.239386608, sleeping for 0.16218122420832515 seconds
Request model_2#39 arrives at 1600207.402698386, sleeping for 0.005247025517746806 seconds
Request model_2#40 arrives at 1600207.408426848, sleeping for 0.03708477271720767 seconds
Request model_2#41 arrives at 1600207.446137432, sleeping for 0.0026722538750618696 seconds
Request model_2#42 arrives at 1600207.44983691, sleeping for 0.04133451427333057 seconds
Request model_2#43 arrives at 1600207.491966546, sleeping for 0.01604774408042431 seconds
Request model_2#44 arrives at 1600207.508695778, sleeping for 0.03774267388507724 seconds
Request model_2#45 arrives at 1600207.54749803, sleeping for 0.12651090696454048 seconds
Request model_3#7 arrives at 1600207.674365833, sleeping for 0.005811971379444003 seconds
Request model_2#46 arrives at 1600207.680544628, sleeping for 0.07815229962579906 seconds
Request model_2#47 arrives at 1600207.759822795, sleeping for 0.013918944168835878 seconds
Request model_2#48 arrives at 1600207.775071556, sleeping for 0.07133392198011279 seconds
Request model_2#49 arrives at 1600207.848368169, sleeping for 0 seconds
Request model_2#50 arrives at 1600207.849199465, sleeping for 0.0014686677604913712 seconds
Request model_6#5 arrives at 1600207.851725084, sleeping for 0.06794817419722676 seconds
Request model_2#51 arrives at 1600207.920984767, sleeping for 0.184097544522956 seconds
Request model_5#6 arrives at 1600208.106335636, sleeping for 0.19022552575916052 seconds
Request model_2#52 arrives at 1600208.296900203, sleeping for 0.012371557066217065 seconds
Request model_2#53 arrives at 1600208.309644985, sleeping for 0.03074366389773786 seconds
Request model_2#54 arrives at 1600208.341471587, sleeping for 0.009488046169281006 seconds
Request model_2#55 arrives at 1600208.460684085, sleeping for 0 seconds
Request model_2#56 arrives at 1600208.461140828, sleeping for 0 seconds
Request model_2#57 arrives at 1600208.46149677, sleeping for 0.17908984585665166 seconds
