1787318341.432769575 0, 33708, 0;1, 33722, 5;2, 0, 0;3, 0, 0;
1787318343.826335642 0, 33826, 30;1, 33944, 95;2, 0, 0;3, 0, 0;
1787318346.125788014 0, 33904, 9;1, 34582, 28;2, 0, 0;3, 0, 0;
1787318348.474447655 0, 34164, 26;1, 35216, 45;2, 0, 0;3, 0, 0;
1787318350.846516651 0, 34228, 99;1, 36736, 57;2, 0, 0;3, 0, 0;
1787318353.150953042 0, 34622, 37;1, 38054, 18;2, 0, 0;3, 0, 0;
1787318355.498109872 0, 34622, 23;1, 38590, 70;2, 0, 0;3, 0, 0;
1787318357.874765253 0, 34814, 11;1, 39486, 35;2, 0, 0;3, 0, 0;
1787318360.194433688 0, 34814, 31;1, 39822, 53;2, 0, 0;3, 0, 0;
1787318362.597663799 0, 34814, 44;1, 39928, 72;2, 0, 0;3, 0, 0;
1787318365.114494449 0, 34814, 28;1, 40814, 70;2, 0, 0;3, 0, 0;
1787318367.435588775 0, 34814, 38;1, 41268, 41;2, 0, 0;3, 0, 0;
1787318369.916963901 0, 34932, 25;1, 41626, 55;2, 0, 0;3, 0, 0;
1787318372.420062860 0, 34932, 19;1, 42104, 71;2, 0, 0;3, 0, 0;
1787318374.921123173 0, 34932, 21;1, 42328, 35;2, 0, 0;3, 0, 0;
1787318377.416449654 0, 34932, 28;1, 42830, 17;2, 0, 0;3, 0, 0;
1787318379.945984920 0, 35024, 27;1, 43392, 34;2, 0, 0;3, 0, 0;
1787318382.454597851 0, 35024, 30;1, 44124, 26;2, 0, 0;3, 0, 0;
1787318384.905909333 0, 35024, 31;1, 44684, 20;2, 0, 0;3, 0, 0;
1787318387.268688153 0, 35082, 21;1, 45492, 34;2, 0, 0;3, 0, 0;
1787318389.794583343 0, 36258, 25;1, 45716, 49;2, 0, 0;3, 0, 0;
1787318392.291654168 0, 37066, 22;1, 45716, 32;2, 0, 0;3, 0, 0;
1787318394.770545187 0, 38124, 47;1, 45716, 50;2, 0, 0;3, 0, 0;
1787318397.215150990 0, 39244, 12;1, 45716, 42;2, 0, 0;3, 0, 0;
1787318399.802982396 0, 40112, 25;1, 45716, 45;2, 0, 0;3, 0, 0;
1787318402.434709559 0, 40626, 43;1, 45716, 57;2, 0, 0;3, 0, 0;
1787318404.832050619 0, 41122, 23;1, 45716, 30;2, 0, 0;3, 0, 0;
1787318407.250817609 0, 41778, 52;1, 45716, 31;2, 0, 0;3, 0, 0;
1787318409.692993685 0, 42802, 11;1, 45716, 61;2, 0, 0;3, 0, 0;
1787318412.170975229 0, 43058, 50;1, 45716, 40;2, 0, 0;3, 0, 0;
1787318414.701663048 0, 43058, 30;1, 45716, 52;2, 0, 0;3, 0, 0;
1787318417.226667334 0, 43058, 33;1, 45716, 46;2, 0, 0;3, 0, 0;
1787318420.396030772 0, 44152, 99;1, 45380, 100;2, 0, 0;3, 0, 0;
1787318422.790150519 0, 45566, 48;1, 45156, 41;2, 0, 0;3, 0, 0;
1787318425.213122363 0, 45950, 57;1, 44598, 49;2, 0, 0;3, 0, 0;
1787318427.579099849 0, 45952, 43;1, 44066, 33;2, 0, 0;3, 0, 0;
1787318429.974034453 0, 46080, 42;1, 43744, 59;2, 0, 0;3, 0, 0;
1787318432.398507268 0, 47104, 13;1, 42918, 50;2, 0, 0;3, 0, 0;
1787318434.997377469 0, 47744, 36;1, 42918, 33;2, 0, 0;3, 0, 0;
1787318437.470148435 0, 48128, 25;1, 42694, 36;2, 0, 0;3, 0, 0;
1787318439.917942746 0, 47810, 31;1, 42694, 53;2, 0, 0;3, 0, 0;
1787318442.493590743 0, 44294, 21;1, 42246, 40;2, 0, 0;3, 0, 0;
1787318444.835665702 0, 44648, 43;1, 42246, 71;2, 0, 0;3, 0, 0;
1787318447.326757757 0, 45318, 40;1, 42246, 35;2, 0, 0;3, 0, 0;
1787318449.799644226 0, 45318, 59;1, 42246, 46;2, 0, 0;3, 0, 0;
1787318452.304980097 0, 45462, 83;1, 42246, 34;2, 0, 0;3, 0, 0;
1787318454.909188779 0, 45462, 54;1, 42358, 53;2, 0, 0;3, 0, 0;
1787318457.363859052 0, 45606, 32;1, 42470, 22;2, 0, 0;3, 0, 0;
1787318459.803638554 0, 45750, 58;1, 42694, 80;2, 0, 0;3, 0, 0;
1787318462.094073818 0, 45750, 32;1, 42694, 49;2, 0, 0;3, 0, 0;
1787318464.496369509 0, 46038, 35;1, 42022, 15;2, 0, 0;3, 0, 0;
1787318466.996601184 0, 46182, 45;1, 42358, 28;2, 0, 0;3, 0, 0;
1787318469.457401433 0, 46182, 36;1, 39558, 38;2, 0, 0;3, 0, 0;
1787318471.978770937 0, 46466, 55;1, 40306, 42;2, 0, 0;3, 0, 0;
1787318474.522651739 0, 46840, 48;1, 40968, 54;2, 0, 0;3, 0, 0;
1787318477.056915629 0, 46984, 44;1, 41226, 31;2, 0, 0;3, 0, 0;
1787318479.577317976 0, 46600, 44;1, 41226, 48;2, 0, 0;3, 0, 0;
1787318482.035509826 0, 46472, 32;1, 41562, 71;2, 0, 0;3, 0, 0;
1787318484.480539389 0, 46344, 22;1, 42122, 11;2, 0, 0;3, 0, 0;
1787318487.026934411 0, 46088, 18;1, 42794, 15;2, 0, 0;3, 0, 0;
1787318489.567471769 0, 45448, 48;1, 43242, 69;2, 0, 0;3, 0, 0;
1787318492.009918592 0, 45448, 54;1, 43242, 39;2, 0, 0;3, 0, 0;
1787318494.497371563 0, 45320, 46;1, 43242, 32;2, 0, 0;3, 0, 0;
1787318497.560535234 0, 45192, 53;1, 43242, 25;2, 0, 0;3, 0, 0;
1787318500.283890891 0, 45064, 98;1, 43242, 97;2, 0, 0;3, 0, 0;
1787318502.628837526 0, 45064, 38;1, 38160, 73;2, 0, 0;3, 0, 0;
1787318504.981105646 0, 44558, 44;1, 38160, 56;2, 0, 0;3, 0, 0;
1787318507.344283727 0, 43656, 17;1, 38048, 57;2, 0, 0;3, 0, 0;
1787318509.726487231 0, 42322, 13;1, 37936, 36;2, 0, 0;3, 0, 0;
1787318512.112150431 0, 39176, 44;1, 38272, 34;2, 0, 0;3, 0, 0;
1787318514.501942692 0, 38954, 52;1, 38272, 43;2, 0, 0;3, 0, 0;
1787318516.907295680 0, 37924, 19;1, 38272, 40;2, 0, 0;3, 0, 0;
1787318519.281616896 0, 37384, 38;1, 38272, 28;2, 0, 0;3, 0, 0;
1787318521.634703873 0, 37128, 29;1, 38272, 62;2, 0, 0;3, 0, 0;
1787318524.157990024 0, 37000, 37;1, 38272, 30;2, 0, 0;3, 0, 0;
1787318526.642840288 0, 37000, 36;1, 38272, 29;2, 0, 0;3, 0, 0;
1787318529.159339728 0, 36872, 40;1, 38272, 41;2, 0, 0;3, 0, 0;
1787318531.520696668 0, 40144, 36;1, 38518, 49;2, 0, 0;3, 0, 0;
1787318533.971013193 0, 40856, 35;1, 38272, 44;2, 0, 0;3, 0, 0;
1787318536.402969321 0, 42076, 36;1, 38048, 10;2, 0, 0;3, 0, 0;
1787318538.809118946 0, 42752, 63;1, 37816, 32;2, 0, 0;3, 0, 0;
1787318541.249862521 0, 42624, 52;1, 37040, 0;2, 0, 0;3, 0, 0;
1787318543.658064841 0, 41346, 41;1, 35966, 0;2, 0, 0;3, 0, 0;
1787318546.048164997 0, 41346, 25;1, 32112, 0;2, 0, 0;3, 0, 0;
1787318548.362225673 0, 41458, 43;1, 32112, 0;2, 0, 0;3, 0, 0;
1787318550.804436859 0, 41682, 18;1, 32112, 0;2, 0, 0;3, 0, 0;
1787318553.240708551 0, 41794, 36;1, 32112, 0;2, 0, 0;3, 0, 0;
1787318555.667832764 0, 41906, 33;1, 32112, 0;2, 0, 0;3, 0, 0;
1787318558.033887740 0, 41906, 30;1, 32112, 0;2, 0, 0;3, 0, 0;
1787318560.427395572 0, 42492, 20;1, 32112, 0;2, 0, 0;3, 0, 0;
