1787323444.301157468 0, 33708, 4;1, 33722, 0;2, 0, 0;3, 0, 0;
1787323446.599352055 0, 33826, 0;1, 33924, 79;2, 0, 0;3, 0, 0;
1787323448.974975890 0, 34268, 13;1, 34242, 7;2, 0, 0;3, 0, 0;
1787323452.252900876 0, 35320, 5;1, 35422, 25;2, 0, 0;3, 0, 0;
1787323455.132998607 0, 36292, 25;1, 36290, 23;2, 0, 0;3, 0, 0;
1787323457.639645846 0, 37592, 24;1, 36948, 14;2, 0, 0;3, 0, 0;
1787323460.154757232 0, 37792, 42;1, 37172, 41;2, 0, 0;3, 0, 0;
1787323462.465195853 0, 37792, 40;1, 37620, 40;2, 0, 0;3, 0, 0;
1787323464.905648202 0, 37792, 33;1, 38204, 37;2, 0, 0;3, 0, 0;
1787323467.298619282 0, 38140, 42;1, 38204, 63;2, 0, 0;3, 0, 0;
1787323469.626693883 0, 38140, 60;1, 38830, 25;2, 0, 0;3, 0, 0;
1787323472.077618784 0, 38140, 53;1, 39168, 50;2, 0, 0;3, 0, 0;
1787323474.539110000 0, 38524, 32;1, 39168, 39;2, 0, 0;3, 0, 0;
1787323476.818061847 0, 39036, 30;1, 39280, 71;2, 0, 0;3, 0, 0;
1787323479.177351686 0, 39164, 51;1, 39280, 48;2, 0, 0;3, 0, 0;
1787323481.556381102 0, 39420, 37;1, 39280, 59;2, 0, 0;3, 0, 0;
1787323483.896666868 0, 39420, 36;1, 39280, 82;2, 0, 0;3, 0, 0;
1787323486.296409428 0, 39548, 50;1, 39392, 40;2, 0, 0;3, 0, 0;
1787323488.648527818 0, 40316, 41;1, 39586, 39;2, 0, 0;3, 0, 0;
1787323490.971973479 0, 40828, 54;1, 39698, 44;2, 0, 0;3, 0, 0;
1787323493.286644579 0, 41468, 26;1, 39922, 28;2, 0, 0;3, 0, 0;
1787323495.631043826 0, 41598, 62;1, 40034, 45;2, 0, 0;3, 0, 0;
1787323497.986178719 0, 41598, 0;1, 40258, 0;2, 0, 0;3, 0, 0;
1787323501.123890215 0, 41598, 29;1, 40370, 56;2, 0, 0;3, 0, 0;
1787323504.058215907 0, 41674, 14;1, 40370, 36;2, 0, 0;3, 0, 0;
1787323506.946628363 0, 41776, 46;1, 40594, 58;2, 0, 0;3, 0, 0;
1787323510.120639927 0, 42080, 57;1, 40818, 75;2, 0, 0;3, 0, 0;
1787323513.772988996 0, 42542, 12;1, 41450, 34;2, 0, 0;3, 0, 0;
1787323516.476223763 0, 43098, 0;1, 41898, 28;2, 0, 0;3, 0, 0;
1787323519.336061038 0, 43672, 0;1, 42284, 45;2, 0, 0;3, 0, 0;
1787323522.343202138 0, 44130, 9;1, 42708, 52;2, 0, 0;3, 0, 0;
1787323525.323621964 0, 44540, 28;1, 42934, 44;2, 0, 0;3, 0, 0;
1787323528.395576020 0, 45242, 20;1, 43248, 47;2, 0, 0;3, 0, 0;
1787323532.226361198 0, 45850, 19;1, 43986, 100;2, 0, 0;3, 0, 0;
1787323535.622812950 0, 46606, 9;1, 44620, 57;2, 0, 0;3, 0, 0;
1787323539.134913065 0, 47528, 20;1, 45196, 5;2, 0, 0;3, 0, 0;
1787323542.439812546 0, 47986, 13;1, 45712, 7;2, 0, 0;3, 0, 0;
1787323545.115261345 0, 48340, 58;1, 46260, 0;2, 0, 0;3, 0, 0;
1787323548.323864357 0, 49032, 1;1, 46748, 0;2, 0, 0;3, 0, 0;
1787323551.316700867 0, 49340, 9;1, 47294, 3;2, 0, 0;3, 0, 0;
1787323554.421081546 0, 49682, 0;1, 47982, 0;2, 0, 0;3, 0, 0;
1787323557.478628011 0, 49938, 0;1, 49256, 3;2, 0, 0;3, 0, 0;
1787323560.464304022 0, 50240, 0;1, 49744, 0;2, 0, 0;3, 0, 0;
1787323563.495356335 0, 50598, 2;1, 50358, 30;2, 0, 0;3, 0, 0;
1787323566.738562589 0, 51106, 35;1, 51918, 69;2, 0, 0;3, 0, 0;
1787323570.313210855 0, 51404, 33;1, 52696, 9;2, 0, 0;3, 0, 0;
1787323573.651733078 0, 51738, 26;1, 53342, 10;2, 0, 0;3, 0, 0;
1787323576.335649920 0, 52038, 17;1, 53962, 8;2, 0, 0;3, 0, 0;
1787323578.870929486 0, 52388, 42;1, 54494, 100;2, 0, 0;3, 0, 0;
1787323581.563254855 0, 52642, 61;1, 55082, 69;2, 0, 0;3, 0, 0;
1787323584.388794005 0, 49651, 0;1, 52205, 0;2, 0, 0;3, 0, 0;
1787323590.375408128 0, 49651, 0;1, 52021, 0;2, 0, 0;3, 0, 0;
1787323594.034700584 0, 4897, 100;1, 27531, 100;2, 0, 0;3, 0, 0;
1787323598.607315151 0, 6, 0;1, 22459, 0;2, 0, 0;3, 0, 0;
