Real trace file: /workspace/prism-merge/exp/workloads/final-compare/steady_r4_s1.pkl
[PRISM_DIRECT] 1736 requests, span 419.8s
Starting TP benchmark: released-prototype_steady_rate4_seed1
Generated 1736 requests
Request model_3#0 arrives at 1602069.369007073, sleeping for 0.002522490918636322 seconds
Request model_2#0 arrives at 1602069.372163337, sleeping for 1.458735158899799 seconds
Request model_6#0 arrives at 1602070.833160795, sleeping for 0.6965385472867638 seconds
Request model_6#1 arrives at 1602071.532312165, sleeping for 0.10657870187424123 seconds
Request model_5#0 arrives at 1602071.63962787, sleeping for 0.3402815405279398 seconds
Request model_5#1 arrives at 1602071.981486672, sleeping for 0.2060672219377011 seconds
Request model_5#2 arrives at 1602072.189248569, sleeping for 0.015519906068220735 seconds
Request model_2#1 arrives at 1602072.205659601, sleeping for 0.5053473508451134 seconds
Request model_5#3 arrives at 1602072.71257228, sleeping for 0.14681919640861452 seconds
Request model_6#2 arrives at 1602072.860093116, sleeping for 0.5125578343868256 seconds
Request model_4#0 arrives at 1602073.374195399, sleeping for 0.6689140272792429 seconds
Request model_4#1 arrives at 1602074.045165987, sleeping for 0.25451226672157645 seconds
Request model_4#2 arrives at 1602074.300677362, sleeping for 0.37502963235601783 seconds
Request model_6#3 arrives at 1602074.676353577, sleeping for 0.0557479786220938 seconds
Request model_6#4 arrives at 1602074.733258324, sleeping for 0.029695651028305292 seconds
Request model_3#1 arrives at 1602074.764075235, sleeping for 0.009843001840636134 seconds
Request model_5#4 arrives at 1602074.775156198, sleeping for 0.35312886047177017 seconds
Request model_5#5 arrives at 1602075.129276572, sleeping for 0.09801627648994327 seconds
Request model_3#2 arrives at 1602075.228096893, sleeping for 0.0009347070008516312 seconds
Request model_6#5 arrives at 1602075.229872816, sleeping for 0.019411573419347405 seconds
Request model_2#2 arrives at 1602075.249502833, sleeping for 0.02293717279098928 seconds
Request model_6#6 arrives at 1602075.27316318, sleeping for 0.14647517004050314 seconds
Request model_4#3 arrives at 1602075.420158992, sleeping for 0.10580996493808925 seconds
Request model_5#6 arrives at 1602075.527054273, sleeping for 0.10564744542352855 seconds
Request model_4#4 arrives at 1602075.633813483, sleeping for 0.0005589819047600031 seconds
Request model_2#3 arrives at 1602075.634438468, sleeping for 0.14006041339598596 seconds
Request model_5#7 arrives at 1602075.775167612, sleeping for 0.5241715465672314 seconds
Request model_3#3 arrives at 1602076.300309498, sleeping for 0.006232158048078418 seconds
Request model_5#8 arrives at 1602076.307314391, sleeping for 0.17501759668812156 seconds
Request model_6#7 arrives at 1602076.483012007, sleeping for 0.09765886096283793 seconds
Request model_3#4 arrives at 1602076.580973202, sleeping for 0.4924313724040985 seconds
Request model_1#0 arrives at 1602077.074225768, sleeping for 1.0807513881009072 seconds
Request model_1#1 arrives at 1602078.155448671, sleeping for 0.005731398472562432 seconds
Request model_1#2 arrives at 1602078.161485226, sleeping for 0.0827528303489089 seconds
Request model_2#4 arrives at 1602078.245206324, sleeping for 0.4471720699220896 seconds
Request model_2#5 arrives at 1602078.693311532, sleeping for 0.08844383643008769 seconds
Request model_4#5 arrives at 1602078.782062737, sleeping for 0.005186561960726976 seconds
Request model_3#5 arrives at 1602078.787937842, sleeping for 0.4217016180045903 seconds
Request model_3#6 arrives at 1602079.210114765, sleeping for 0.3130458537489176 seconds
Request model_3#7 arrives at 1602079.524168099, sleeping for 0.4898153787944466 seconds
Request model_3#8 arrives at 1602080.014809146, sleeping for 0.026614268543198705 seconds
Request model_5#9 arrives at 1602080.042767405, sleeping for 0.8841352174058557 seconds
Request model_2#6 arrives at 1602080.927693797, sleeping for 0.13877223641611636 seconds
Request model_2#7 arrives at 1602081.06685758, sleeping for 0.7869597596582025 seconds
Request model_5#10 arrives at 1602081.855153268, sleeping for 0.27534518274478614 seconds
Request model_2#8 arrives at 1602082.131478869, sleeping for 0.12905776384286582 seconds
Request model_5#11 arrives at 1602082.261416723, sleeping for 0.1489980909973383 seconds
Request model_6#8 arrives at 1602082.411233536, sleeping for 0.13673783815465868 seconds
Request model_6#9 arrives at 1602082.549046109, sleeping for 0.5101496982388198 seconds
Request model_1#3 arrives at 1602083.060556032, sleeping for 0.5405572473537177 seconds
Request model_3#9 arrives at 1602083.601789108, sleeping for 0.3390669603832066 seconds
Request model_5#12 arrives at 1602083.942087019, sleeping for 0.04769379715435207 seconds
Request model_5#13 arrives at 1602083.990804414, sleeping for 0.8113967610988766 seconds
Request model_5#14 arrives at 1602084.802758169, sleeping for 0.015075402799993753 seconds
Request model_5#15 arrives at 1602084.818506817, sleeping for 0.41661814553663135 seconds
Request model_1#4 arrives at 1602085.23651216, sleeping for 0.12760774604976177 seconds
Request model_6#10 arrives at 1602085.36469255, sleeping for 0.07862061378546059 seconds
Request model_5#16 arrives at 1602085.444407168, sleeping for 0.11621888657100499 seconds
Request model_4#6 arrives at 1602085.561158973, sleeping for 0.3601756382267922 seconds
Request model_2#9 arrives at 1602085.92243809, sleeping for 0.1672195615246892 seconds
Request model_5#17 arrives at 1602086.090260948, sleeping for 0.12755842483602464 seconds
Request model_6#11 arrives at 1602086.218044356, sleeping for 0.15510140149854124 seconds
Request model_5#18 arrives at 1602086.374020285, sleeping for 0.6031212173402309 seconds
Request model_5#19 arrives at 1602086.978346814, sleeping for 0.4163240226916969 seconds
Request model_6#12 arrives at 1602087.396466298, sleeping for 0.023278786102309823 seconds
Request model_6#13 arrives at 1602087.420509548, sleeping for 0.002082716440781951 seconds
Request model_2#10 arrives at 1602087.423182478, sleeping for 0.18952178861945868 seconds
Request model_2#11 arrives at 1602087.613619255, sleeping for 0.2852817317470908 seconds
Request model_1#5 arrives at 1602087.900777657, sleeping for 0.028306605061516166 seconds
Request model_6#14 arrives at 1602087.929343791, sleeping for 0.6623578008729964 seconds
Request model_5#20 arrives at 1602088.593233846, sleeping for 0.13386924983933568 seconds
Request model_3#10 arrives at 1602088.729374167, sleeping for 0.04818655736744404 seconds
Request model_3#11 arrives at 1602088.778452935, sleeping for 0.09282435849308968 seconds
