request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_5#0,model_5,0.1507906632958389,0.9872015852941609,447,16,0.25330162048339844,0.036140382289886475,0.836410921998322,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_2#0,model_2,0.3100245245480382,1.3884898475119316,235,37,0.11149406433105469,0.02604307999482026,1.0784653229638934,0.16103267669677734,0.027996310964226723,1,1,1,1,0
model_2#1,model_2,0.3547171289361417,3.4475205550230443,185,85,0.11511468887329102,0.0349883752710679,3.0928034260869026,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_5#1,model_5,0.3742389711859917,13.620938281326676,10,240,0.0963902473449707,0.05477425555388133,13.246699310140684,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_6#0,model_6,1.0496139930164072,1.9358274339301142,354,16,0.1074974536895752,0.04832027852535248,0.886213440913707,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#2,model_5,1.0548976039894797,20.46012244903566,14,356,0.0272674560546875,0.05441610732775056,19.405224845046178,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_6#1,model_6,1.1346520829332651,1.935407837977785,313,16,0.07839012145996094,0.04488757252693176,0.8007557550445199,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_3#0,model_3,1.323671383670153,2.2892488605609107,584,17,0.33844590187072754,0.03669275956995347,0.9655774768907577,0.2780747413635254,0.03177899122238159,0,0,0,1,0
model_4#0,model_4,1.4928667300943443,19.40361164790617,817,384,0.26418304443359375,0.045931220054626465,17.910744917811826,0.26418447494506836,0.0371999591588974,1,0,0,1,0
model_1#0,model_1,1.4984469578446702,2.125713970915775,304,17,0.11451554298400879,0.029986115062938017,0.6272670130711049,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_5#3,model_5,1.5026358338831192,2.6294122439170455,371,21,0.17528986930847168,0.04512819789704822,1.1267764100339264,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_3#1,model_3,1.5430701377607159,16.14441513668664,51,346,0.2120041847229004,0.04156860588602937,14.601344998925924,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_3#2,model_3,1.677232936877442,17.871795762018916,61,384,0.2235867977142334,0.041574052845438324,16.194562825141475,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_6#2,model_6,1.724155713015998,3.243461453033442,352,29,0.05766630172729492,0.050250965973426556,1.519305740017444,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_6#3,model_6,2.0252454992173785,24.687681905345485,352,384,0.07717490196228027,0.05879876452187697,22.66243640612811,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_1#1,model_1,2.0657653879084914,12.154567742784444,59,314,0.035987138748168945,0.031995747499405196,10.088802354875952,0.11985421180725098,0.019033251330256462,1,0,0,1,0
model_5#4,model_5,2.2531976663635556,3.4491641222161684,733,21,0.145188570022583,0.04984891982305618,1.1959664558526129,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_6#4,model_6,2.34273760950106,25.011364143322286,24,384,0.06551313400268555,0.05884556844830513,22.668626533821225,0.4948878288269043,0.03492606058716774,1,0,0,1,0
