implementation,workload,request_rate,seed,offered_rate,achieved_throughput,goodput,total_requests,completed_requests,failed_requests,joint_slo,ttft_slo,tpot_slo,ttft_mean,ttft_p50,ttft_p95,ttft_p99,ttft_max,tpot_mean,tpot_p50,tpot_p95,tpot_p99,tpot_max,e2e_mean,e2e_p50,e2e_p95,e2e_p99,e2e_max,migration_count,migration_decisions_logged,migration_success,migration_failed,migration_latency_is_submission_only,migration_latency_mean,migration_latency_p50,migration_latency_p95,migration_latency_p99,migration_latency_max,migration_total_time,migration_weight_bytes,migration_kv_bytes,migration_total_bytes,migration_bandwidth,migration_bandwidth_p50,migration_paths,service_downtime_mean,service_downtime_p50,service_downtime_p95,service_downtime_p99,admitted_requests,deferred_requests,requeued_requests,shed_requests,deadline_violations,alg2_rounds,alg2_eligible,alg2_pathological_rounds,queue_length_mean,queue_length_max,activations,deactivations,idle_evictions,alg1_cycles,alg1_placement_decisions,alg1_migrate_decisions,activation_count,activation_total_s,deactivation_count,deactivation_total_s,weight_transfer_total_s,weight_transfer_mean_gbps,weight_transfers,p2p_weight_transfers,page_locked_transfers,alg1_suppressed_by_tau,alg1_rejected_by_memory,alg1_convergence_gap_mean
released-prototype,bursty,2,1,2.09,2.09,0.8,627,627,0,0.3827751196172249,0.9282296650717703,0.41467304625199364,204.06745267256596,93.36495399475098,290.45627117156965,3839.4999790191655,7191.615104675293,34.74579878208442,35.9121377651508,50.237747740702346,63.28164570861393,85.8195573091507,6100.543221051432,4254.972588969395,16772.25288741756,19217.67606680282,21098.957224050537,3,3,3,0,1,7.785399754842122,6.619930267333984,9.970545768737793,10.268378257751465,10.342836380004883,0.023356199264526367,25022405632,0,25022405632,8.50675748312373,7.6132142153367415,host-to-device + helper-gpu-p2p,7.785399754842122,6.619930267333984,9.970545768737793,10.268378257751465,,,,,,,,,,,,,,0,0,0,9,0.047232866287231445,10,0.047843217849731445,16.742393240565434,7.966404881198837,15,0,0,,,
released-prototype,bursty,2,2,1.9266666666666667,1.9266666666666667,0.7766666666666666,578,578,0,0.4031141868512111,0.8910034602076125,0.444636678200692,391.920604095327,97.27346897125244,1952.5754928588756,6234.043283462525,7887.331962585449,35.5420082144492,32.985979691147804,61.80766597390175,79.54018324613574,97.48494625091553,5654.663369017267,3741.0325290402398,15706.541429471687,20391.510479189456,24300.237216986716,2,2,2,0,1,20109.255194664,20109.255194664,38202.86053419113,39811.181008815765,40213.261127471924,40.218510389328,32121044992,0,32121044992,8.457989518196559,8.457989518196559,host-to-device + helper-gpu-p2p,20109.255194664,20109.255194664,38202.86053419113,39811.181008815765,,,,,,,,,,,,,,0,0,0,13,0.06639885902404785,13,0.09315967559814453,22.18304359377362,7.319961060402305,19,0,0,,,
released-prototype,bursty,2,3,2.01,2.01,1.1666666666666667,603,603,0,0.5804311774461028,0.9485903814262023,0.6069651741293532,175.37313986378126,91.75801277160645,251.5188455581665,2637.0731401443522,6326.010942459106,32.308656790993986,32.19208934090354,48.96364659070966,68.28027195221675,158.39888431407786,5743.22650189686,4459.047400858253,14678.82846323773,16664.350947462957,21080.634022131562,1,1,1,0,1,5.712032318115234,5.712032318115234,5.712032318115234,5.712032318115234,5.712032318115234,0.005712032318115234,16060522496,0,16060522496,8.163982999736769,8.163982999736769,host-to-device + helper-gpu-p2p,5.712032318115234,5.712032318115234,5.712032318115234,5.712032318115234,,,,,,,,,,,,,,0,0,0,8,0.03144669532775879,9,0.04103589057922363,17.31248457590118,6.8092516044304,14,0,0,,,
released-prototype,bursty,4,1,4.013333333333334,4.013333333333334,1.06,1204,1204,0,0.26411960132890366,0.9526578073089701,0.2799003322259136,141.64770382187297,97.21100330352783,254.32016849517822,1761.6918754577744,4595.222949981689,39.74535918588673,41.085156275697145,58.3546168696718,68.12333628535272,95.22902965545654,6961.589563750907,4729.445755016059,18363.642784650434,21190.330662031196,23297.928145853803,2,2,2,0,1,6.587386131286621,6.587386131286621,9.093105792999268,9.315836429595947,9.371519088745117,0.013765096664428711,18228198400,0,18228198400,9.974639449083133,9.974639449083133,host-to-device + helper-gpu-p2p,6.587386131286621,6.587386131286621,9.093105792999268,9.315836429595947,,,,,,,,,,,,,,0,0,0,8,0.031055212020874023,9,0.05263328552246094,16.27502576657571,7.702592975967612,14,0,0,,,
released-prototype,bursty,4,2,4.093333333333334,4.093333333333334,1.3166666666666667,1228,1228,0,0.32166123778501626,0.9258957654723127,0.3281758957654723,254.73569056886802,97.12588787078857,294.2739725112892,5282.9474663734445,7574.760437011719,39.13851211832706,38.21610296677039,66.46011397573682,79.56571317933229,124.76041442469547,6311.176070955798,4294.321217574179,17150.85109990322,21483.408906161792,28114.4626007881,1,1,1,0,1,6.415605545043945,6.415605545043945,6.415605545043945,6.415605545043945,6.415605545043945,0.006415605545043945,16060522496,0,16060522496,6.453422189561707,6.453422189561707,host-to-device + helper-gpu-p2p,6.415605545043945,6.415605545043945,6.415605545043945,6.415605545043945,,,,,,,,,,,,,,0,0,0,10,0.04815244674682617,10,0.0743257999420166,18.261128189740703,7.687903132920736,16,0,0,,,
released-prototype,bursty,4,3,3.9633333333333334,3.9633333333333334,1.34,1189,1189,0,0.3380992430613961,0.9327165685449958,0.3523969722455845,202.45184348950977,99.19309616088867,363.6698722839349,3996.724042892447,6275.825500488281,39.44146322300077,37.164590080377415,66.73275042237435,94.75555446300096,325.6916254758835,7086.251533060563,5751.482410822064,18016.784713836372,21936.971554467385,27077.634213957936,2,2,2,0,1,4.468798637390137,4.468798637390137,4.655158519744873,4.67172384262085,4.675865173339844,0.008937597274780273,9791172608,0,9791172608,10.496884492026838,10.496884492026838,host-to-device + helper-gpu-p2p,4.468798637390137,4.468798637390137,4.655158519744873,4.67172384262085,,,,,,,,,,,,,,0,0,0,8,0.02795267105102539,9,0.04715323448181152,13.962435349822044,8.102105073720749,14,0,0,,,
released-prototype,bursty,8,1,8.04,8.04,0.7666666666666667,2412,2412,0,0.09535655058043117,0.9075456053067993,0.10074626865671642,179.01211393808646,116.43528938293457,468.6336278915405,1146.0882115364027,5511.989116668701,61.768185029767814,55.2187685422591,116.24759283310199,161.60201273420265,219.6979820728302,10029.963780395014,7030.889310524799,30150.41566295549,36166.04362334357,45408.544794190675,2,2,2,0,1,7.725000381469727,7.725000381469727,10.042214393615723,10.248188972473145,10.2996826171875,0.016681194305419922,18228198400,0,18228198400,8.242339127567186,8.242339127567186,host-to-device + helper-gpu-p2p,7.725000381469727,7.725000381469727,10.042214393615723,10.248188972473145,,,,,,,,,,,,,,0,0,0,8,0.037148475646972656,9,0.055899620056152344,15.348970177583396,7.45593037787659,14,0,0,,,
released-prototype,bursty,8,2,7.953333333333333,7.953333333333333,1.38,2386,2386,0,0.173512154233026,0.8742665549036044,0.17937971500419111,317.4224334510554,114.5174503326416,1105.288803577423,5497.673487663272,7262.129783630371,54.85555977100302,50.42460420187197,101.08798470708632,161.07961734135958,291.87536239624023,9086.178680177316,6306.806359440088,26800.73579523014,36884.33108457832,48197.59769109078,3,3,3,0,1,5.88528315226237,5.445003509521484,8.239221572875977,8.48759651184082,8.549690246582031,0.018194198608398438,17423974400,0,17423974400,9.42676876127743,7.58610142845558,host-to-device + helper-gpu-p2p,5.88528315226237,5.445003509521484,8.239221572875977,8.48759651184082,,,,,,,,,,,,,,0,0,0,12,0.06872963905334473,12,0.08272171020507812,20.67536430293694,7.311671708303042,18,0,0,,,
released-prototype,bursty,8,3,8.163333333333334,8.163333333333334,5.3133333333333335,2449,2449,0,0.6508779093507554,0.9693752552062066,0.6639444671294406,144.90755376352394,67.0769214630127,261.12041473388655,2691.578512191771,5705.525875091553,35.861914407199954,28.245210647583008,77.14282038964723,103.49680511574994,170.95956206321716,5764.196738217307,3926.2340790592134,18336.524956393983,25307.13680094108,30801.458795089275,4,4,4,0,1,4.422485828399658,4.664063453674316,5.03389835357666,5.086026191711426,5.099058151245117,0.018114566802978516,32645902336,0,32645902336,7.212162277911747,6.854628224825078,host-to-device + helper-gpu-p2p,4.422485828399658,4.664063453674316,5.03389835357666,5.086026191711426,,,,,,,,,,,,,,0,0,0,11,0.04122304916381836,12,0.05597543716430664,22.84184371889569,6.360872843484425,17,0,0,,,
released-prototype,bursty,14,1,14.186666666666667,14.186666666666667,0.54,4256,4256,0,0.03806390977443609,0.8658364661654135,0.043233082706766915,245.34858539140313,131.10041618347168,744.0221309661865,3186.2090349197338,6040.183067321777,101.06280557929554,71.02200312834304,231.72066808074925,475.138279325079,1221.832349896431,14559.190106170936,8907.486513489857,49726.23965796083,67857.25691239348,77442.14618578553,2,2,2,0,1,6.721377372741699,6.721377372741699,8.498609066009521,8.656585216522217,8.69607925415039,0.013442754745483398,9791172608,0,9791172608,7.445045565531201,7.445045565531201,host-to-device + helper-gpu-p2p,6.721377372741699,6.721377372741699,8.498609066009521,8.656585216522217,,,,,,,,,,,,,,0,0,0,8,0.03532075881958008,9,0.043651580810546875,16.918303137877956,6.547912198613423,14,0,0,,,
