timestamp,gpu_id,gpu_utilization,memory_used_mib
1787301013.647096,0,0,33372
1787301013.647096,1,0,33386
1787301013.647096,2,0,0
1787301013.647096,3,0,0
1787301016.468023,0,12,33844
1787301016.468023,1,10,33858
1787301016.468023,2,0,0
1787301016.468023,3,0,0
1787301018.8641438,0,14,33846
1787301018.8641438,1,47,33904
1787301018.8641438,2,0,0
1787301018.8641438,3,0,0
1787301021.2269115,0,23,33846
1787301021.2269115,1,52,34120
1787301021.2269115,2,0,0
1787301021.2269115,3,0,0
1787301023.560982,0,21,33846
1787301023.560982,1,61,34292
1787301023.560982,2,0,0
1787301023.560982,3,0,0
1787301025.9665644,0,18,34000
1787301025.9665644,1,42,34518
1787301025.9665644,2,0,0
1787301025.9665644,3,0,0
1787301028.3712287,0,24,34000
1787301028.3712287,1,40,34776
1787301028.3712287,2,0,0
1787301028.3712287,3,0,0
1787301030.8497126,0,18,34000
1787301030.8497126,1,36,34888
1787301030.8497126,2,0,0
1787301030.8497126,3,0,0
1787301033.215963,0,24,34000
1787301033.215963,1,53,34888
1787301033.215963,2,0,0
1787301033.215963,3,0,0
1787301035.5285158,0,24,34000
1787301035.5285158,1,33,35048
1787301035.5285158,2,0,0
1787301035.5285158,3,0,0
1787301037.8151257,0,13,34224
1787301037.8151257,1,57,35160
1787301037.8151257,2,0,0
1787301037.8151257,3,0,0
1787301040.1605644,0,28,34224
1787301040.1605644,1,38,35160
1787301040.1605644,2,0,0
1787301040.1605644,3,0,0
1787301042.5020673,0,24,34570
1787301042.5020673,1,39,35160
1787301042.5020673,2,0,0
1787301042.5020673,3,0,0
1787301044.8186207,0,36,34570
1787301044.8186207,1,48,35384
1787301044.8186207,2,0,0
1787301044.8186207,3,0,0
1787301047.21168,0,12,34570
1787301047.21168,1,41,35384
1787301047.21168,2,0,0
1787301047.21168,3,0,0
1787301049.5434933,0,37,34570
1787301049.5434933,1,31,35384
1787301049.5434933,2,0,0
1787301049.5434933,3,0,0
1787301051.8822958,0,23,34570
1787301051.8822958,1,49,35434
1787301051.8822958,2,0,0
1787301051.8822958,3,0,0
1787301054.2069483,0,28,34610
1787301054.2069483,1,56,35514
1787301054.2069483,2,0,0
1787301054.2069483,3,0,0
1787301056.5465052,0,28,34664
1787301056.5465052,1,41,35514
1787301056.5465052,2,0,0
1787301056.5465052,3,0,0
1787301058.9053972,0,24,34908
1787301058.9053972,1,37,35514
1787301058.9053972,2,0,0
1787301058.9053972,3,0,0
1787301061.2032313,0,41,35708
1787301061.2032313,1,48,35514
1787301061.2032313,2,0,0
1787301061.2032313,3,0,0
1787301063.5558028,0,28,35916
1787301063.5558028,1,47,35514
1787301063.5558028,2,0,0
1787301063.5558028,3,0,0
1787301065.927437,0,44,36226
1787301065.927437,1,35,35514
1787301065.927437,2,0,0
1787301065.927437,3,0,0
1787301068.3938816,0,36,36492
1787301068.3938816,1,36,35402
1787301068.3938816,2,0,0
1787301068.3938816,3,0,0
1787301070.8099608,0,41,36620
1787301070.8099608,1,19,35402
1787301070.8099608,2,0,0
1787301070.8099608,3,0,0
1787301073.1764638,0,41,37260
1787301073.1764638,1,31,35404
1787301073.1764638,2,0,0
1787301073.1764638,3,0,0
1787301075.571932,0,49,37762
1787301075.571932,1,21,35404
1787301075.571932,2,0,0
1787301075.571932,3,0,0
1787301078.0942008,0,53,37930
1787301078.0942008,1,13,35404
1787301078.0942008,2,0,0
1787301078.0942008,3,0,0
1787301081.130101,0,87,38808
1787301081.130101,1,8,35404
1787301081.130101,2,0,0
1787301081.130101,3,0,0
1787301083.8534822,0,51,39522
1787301083.8534822,1,0,35292
1787301083.8534822,2,0,0
1787301083.8534822,3,0,0
1787301086.3001094,0,44,39522
1787301086.3001094,1,0,35292
1787301086.3001094,2,0,0
1787301086.3001094,3,0,0
1787301088.6486058,0,49,39640
1787301088.6486058,1,0,35292
1787301088.6486058,2,0,0
1787301088.6486058,3,0,0
1787301090.9699624,0,45,39640
1787301090.9699624,1,9,35292
1787301090.9699624,2,0,0
1787301090.9699624,3,0,0
1787301093.4375772,0,44,39896
1787301093.4375772,1,33,38566
1787301093.4375772,2,0,0
1787301093.4375772,3,0,0
1787301095.8656268,0,56,40024
1787301095.8656268,1,28,38568
1787301095.8656268,2,0,0
1787301095.8656268,3,0,0
1787301098.2961993,0,75,40792
1787301098.2961993,1,6,38568
1787301098.2961993,2,0,0
1787301098.2961993,3,0,0
1787301100.6549082,0,35,37286
1787301100.6549082,1,13,38568
1787301100.6549082,2,0,0
1787301100.6549082,3,0,0
1787301103.0254154,0,49,37500
1787301103.0254154,1,6,38632
1787301103.0254154,2,0,0
1787301103.0254154,3,0,0
1787301105.4029014,0,43,37500
1787301105.4029014,1,6,38632
1787301105.4029014,2,0,0
1787301105.4029014,3,0,0
1787301107.8506236,0,53,37500
1787301107.8506236,1,18,22778
1787301107.8506236,2,0,0
1787301107.8506236,3,0,0
1787301110.2425892,0,47,37500
1787301110.2425892,1,32,22778
1787301110.2425892,2,0,0
1787301110.2425892,3,0,0
1787301112.5445957,0,45,37500
1787301112.5445957,1,19,22778
1787301112.5445957,2,0,0
1787301112.5445957,3,0,0
1787301115.1052146,0,4,37372
1787301115.1052146,1,13,22778
1787301115.1052146,2,0,0
1787301115.1052146,3,0,0
1787301117.4429226,0,35,37372
