1787301013.647095849 0, 33372, 0;1, 33386, 0;2, 0, 0;3, 0, 0;
1787301016.468023093 0, 33844, 12;1, 33858, 10;2, 0, 0;3, 0, 0;
1787301018.864143871 0, 33846, 14;1, 33904, 47;2, 0, 0;3, 0, 0;
1787301021.226911532 0, 33846, 23;1, 34120, 52;2, 0, 0;3, 0, 0;
1787301023.560982081 0, 33846, 21;1, 34292, 61;2, 0, 0;3, 0, 0;
1787301025.966564444 0, 34000, 18;1, 34518, 42;2, 0, 0;3, 0, 0;
1787301028.371228610 0, 34000, 24;1, 34776, 40;2, 0, 0;3, 0, 0;
1787301030.849712507 0, 34000, 18;1, 34888, 36;2, 0, 0;3, 0, 0;
1787301033.215962800 0, 34000, 24;1, 34888, 53;2, 0, 0;3, 0, 0;
1787301035.528515865 0, 34000, 24;1, 35048, 33;2, 0, 0;3, 0, 0;
1787301037.815125768 0, 34224, 13;1, 35160, 57;2, 0, 0;3, 0, 0;
1787301040.160564370 0, 34224, 28;1, 35160, 38;2, 0, 0;3, 0, 0;
1787301042.502067393 0, 34570, 24;1, 35160, 39;2, 0, 0;3, 0, 0;
1787301044.818620692 0, 34570, 36;1, 35384, 48;2, 0, 0;3, 0, 0;
1787301047.211679892 0, 34570, 12;1, 35384, 41;2, 0, 0;3, 0, 0;
1787301049.543493337 0, 34570, 37;1, 35384, 31;2, 0, 0;3, 0, 0;
1787301051.882295825 0, 34570, 23;1, 35434, 49;2, 0, 0;3, 0, 0;
1787301054.206948368 0, 34610, 28;1, 35514, 56;2, 0, 0;3, 0, 0;
1787301056.546505294 0, 34664, 28;1, 35514, 41;2, 0, 0;3, 0, 0;
1787301058.905397185 0, 34908, 24;1, 35514, 37;2, 0, 0;3, 0, 0;
1787301061.203231302 0, 35708, 41;1, 35514, 48;2, 0, 0;3, 0, 0;
1787301063.555802778 0, 35916, 28;1, 35514, 47;2, 0, 0;3, 0, 0;
1787301065.927437166 0, 36226, 44;1, 35514, 35;2, 0, 0;3, 0, 0;
1787301068.393881492 0, 36492, 36;1, 35402, 36;2, 0, 0;3, 0, 0;
1787301070.809960753 0, 36620, 41;1, 35402, 19;2, 0, 0;3, 0, 0;
1787301073.176463737 0, 37260, 41;1, 35404, 31;2, 0, 0;3, 0, 0;
1787301075.571932087 0, 37762, 49;1, 35404, 21;2, 0, 0;3, 0, 0;
1787301078.094200823 0, 37930, 53;1, 35404, 13;2, 0, 0;3, 0, 0;
1787301081.130101053 0, 38808, 87;1, 35404, 8;2, 0, 0;3, 0, 0;
1787301083.853482348 0, 39522, 51;1, 35292, 0;2, 0, 0;3, 0, 0;
1787301086.300109344 0, 39522, 44;1, 35292, 0;2, 0, 0;3, 0, 0;
1787301088.648605921 0, 39640, 49;1, 35292, 0;2, 0, 0;3, 0, 0;
1787301090.969962336 0, 39640, 45;1, 35292, 9;2, 0, 0;3, 0, 0;
1787301093.437577332 0, 39896, 44;1, 38566, 33;2, 0, 0;3, 0, 0;
1787301095.865626904 0, 40024, 56;1, 38568, 28;2, 0, 0;3, 0, 0;
1787301098.296199275 0, 40792, 75;1, 38568, 6;2, 0, 0;3, 0, 0;
1787301100.654908143 0, 37286, 35;1, 38568, 13;2, 0, 0;3, 0, 0;
1787301103.025415399 0, 37500, 49;1, 38632, 6;2, 0, 0;3, 0, 0;
1787301105.402901309 0, 37500, 43;1, 38632, 6;2, 0, 0;3, 0, 0;
1787301107.850623513 0, 37500, 53;1, 22778, 18;2, 0, 0;3, 0, 0;
1787301110.242589312 0, 37500, 47;1, 22778, 32;2, 0, 0;3, 0, 0;
1787301112.544595742 0, 37500, 45;1, 22778, 19;2, 0, 0;3, 0, 0;
1787301115.105214580 0, 37372, 4;1, 22778, 13;2, 0, 0;3, 0, 0;
1787301117.442922478 0, 37372, 35;1, 22778, 21;2, 0, 0;3, 0, 0;
1787301119.912584941 0, 37372, 32;1, 22778, 5;2, 0, 0;3, 0, 0;
1787301122.336193971 0, 37244, 35;1, 22908, 21;2, 0, 0;3, 0, 0;
1787301124.732615250 0, 37244, 81;1, 22908, 17;2, 0, 0;3, 0, 0;
1787301127.212644593 0, 37244, 51;1, 22908, 18;2, 0, 0;3, 0, 0;
1787301129.549838702 0, 37244, 47;1, 22984, 22;2, 0, 0;3, 0, 0;
1787301132.091975769 0, 37116, 11;1, 37608, 21;2, 0, 0;3, 0, 0;
