Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: released-prototype_bursty_rate8_seed3
Generated 3372 requests
Request model_2#0 arrives at 1586936.435536436, sleeping for 0.08008212107233703 seconds
Request model_5#0 arrives at 1586936.516709503, sleeping for 0.023892523953691125 seconds
Request model_1#0 arrives at 1586936.540957452, sleeping for 0.1009922141674906 seconds
Request model_3#0 arrives at 1586936.642572251, sleeping for 0.09775884146802127 seconds
Request model_2#1 arrives at 1586936.7413245, sleeping for 0.026504356414079666 seconds
Request model_6#0 arrives at 1586936.769121405, sleeping for 0.18259207042865455 seconds
Request model_6#1 arrives at 1586936.951941411, sleeping for 0.4999334642197937 seconds
Request model_6#2 arrives at 1586937.452502265, sleeping for 0.04546046815812588 seconds
Request model_5#1 arrives at 1586937.499081981, sleeping for 0.5774928063619882 seconds
Request model_3#1 arrives at 1586938.077234417, sleeping for 0.22288040863350034 seconds
Request model_1#1 arrives at 1586938.301157441, sleeping for 0.13028512569144368 seconds
Request model_6#3 arrives at 1586938.432173976, sleeping for 0.16501149954274297 seconds
Request model_2#2 arrives at 1586938.598263675, sleeping for 0.04814939200878143 seconds
Request model_2#3 arrives at 1586938.647156257, sleeping for 0.21629592636600137 seconds
Request model_1#2 arrives at 1586938.864346463, sleeping for 0.5850807435344905 seconds
Request model_3#2 arrives at 1586939.451082641, sleeping for 0.02175174094736576 seconds
Request model_6#4 arrives at 1586939.473533438, sleeping for 0.12906879279762506 seconds
Request model_6#5 arrives at 1586939.603854808, sleeping for 0.022204180248081684 seconds
Request model_6#6 arrives at 1586939.626390605, sleeping for 0.22910231980495155 seconds
Request model_6#7 arrives at 1586939.856589453, sleeping for 0.0825700405985117 seconds
Request model_6#8 arrives at 1586939.939711194, sleeping for 0.0774220812600106 seconds
Request model_6#9 arrives at 1586940.017538867, sleeping for 0.21581482072360814 seconds
Request model_3#3 arrives at 1586940.234378792, sleeping for 0.005751950200647116 seconds
Request model_6#10 arrives at 1586940.241111619, sleeping for 0.08111286093480885 seconds
Request model_3#4 arrives at 1586940.323187972, sleeping for 0.2143547455780208 seconds
Request model_3#5 arrives at 1586940.538162834, sleeping for 0.18815046083182096 seconds
Request model_6#11 arrives at 1586940.728312942, sleeping for 0.006048054434359074 seconds
Request model_3#6 arrives at 1586940.735285261, sleeping for 0.11248390702530742 seconds
Request model_1#3 arrives at 1586940.84821872, sleeping for 0.09665102954022586 seconds
Request model_6#12 arrives at 1586940.945716341, sleeping for 0.13884499995037913 seconds
Request model_6#13 arrives at 1586941.085448687, sleeping for 0.22649447689764202 seconds
Request model_6#14 arrives at 1586941.313090167, sleeping for 0.03483038139529526 seconds
Request model_3#7 arrives at 1586941.349017748, sleeping for 0.05143510643392801 seconds
Request model_3#8 arrives at 1586941.400644069, sleeping for 0.01743695721961558 seconds
Request model_6#15 arrives at 1586941.418235222, sleeping for 0 seconds
