request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_5#0,model_5,0.1989651362742446,0.47242035817868633,356,16,0.0661613941192627,0.012574300169944763,0.2734552219044417,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_2#0,model_2,0.3774580179406117,7.508397507869617,76,202,0.053098440170288086,0.0350140380387259,7.1309394899290055,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_2#1,model_2,0.4136001231272257,10.879236672179077,90,248,0.02867412567138672,0.042064676361699256,10.465636549051851,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_2#2,model_2,0.5030252021858501,3.710294338979762,13,105,0.08717918395996094,0.029663964680262975,3.2072691367939115,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_5#1,model_5,0.5866028306120954,12.023914113692003,22,384,0.12419533729553223,0.029439620052774746,11.437311283079907,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_2#3,model_2,0.7197867713435473,17.719844282375174,10,361,0.07790851593017578,0.04685716351643824,17.000057511031628,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_2#4,model_2,0.8188657001116826,19.06250222814172,413,384,0.08088898658752441,0.0472795603175958,18.243636528030038,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_5#2,model_5,0.8862104756561785,2.3362600727276623,142,47,0.1436443328857422,0.027704761383381297,1.4500495970714837,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_2#5,model_2,0.9192181741266099,18.28669599717544,72,375,0.09943842887878418,0.04602974510192871,17.36747782304883,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_2#6,model_2,1.1726246090863717,19.133603246070155,128,384,0.13266682624816895,0.04641017814477285,17.960978636983782,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_2#7,model_2,1.5625249434090842,20.48178922737163,10,384,0.020917654037475586,0.0491961936155955,18.919264283962548,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_5#3,model_5,1.712047361608532,6.106140929579672,10,157,0.09380650520324707,0.027361994336365134,4.39409356797114,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_2#8,model_2,1.8482379603149046,13.606656073308145,35,259,0.05904960632324219,0.04514902623003514,11.75841811299324,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_3#0,model_3,2.550102540852503,10.185171071767808,17,195,0.05133962631225586,0.03884768241491073,7.635068530915305,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_5#4,model_5,2.5968164312917197,5.01783875541607,10,84,0.026897192001342773,0.02844657784416562,2.421022324124351,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_3#1,model_3,2.6092988915596544,19.041853768457138,8,384,0.044034719467163086,0.04265358981986841,16.432554876897484,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_3#2,model_3,2.654977656360289,5.184018673300317,359,78,0.0594484806060791,0.03157530381129338,2.5290410169400275,0.2780747413635254,0.03177899122238159,1,1,1,1,0
