timestamp,gpu_id,gpu_utilization,memory_used_mib
1787351795.0381958,0,31,33898
1787351795.0381958,1,37,33938
1787351795.0381958,2,0,0
1787351795.0381958,3,0,0
1787351797.4858725,0,18,33902
1787351797.4858725,1,27,34056
1787351797.4858725,2,0,0
1787351797.4858725,3,0,0
1787351799.9691715,0,19,33946
1787351799.9691715,1,11,35156
1787351799.9691715,2,0,0
1787351799.9691715,3,0,0
1787351802.4350617,0,29,34182
1787351802.4350617,1,51,35610
1787351802.4350617,2,0,0
1787351802.4350617,3,0,0
1787351804.9241526,0,34,34182
1787351804.9241526,1,36,35946
1787351804.9241526,2,0,0
1787351804.9241526,3,0,0
1787351807.4152176,0,13,34310
1787351807.4152176,1,25,36342
1787351807.4152176,2,0,0
1787351807.4152176,3,0,0
1787351809.926884,0,31,34438
1787351809.926884,1,43,36686
1787351809.926884,2,0,0
1787351809.926884,3,0,0
1787351812.3180041,0,20,34694
1787351812.3180041,1,48,36946
1787351812.3180041,2,0,0
1787351812.3180041,3,0,0
1787351814.7193117,0,22,34694
1787351814.7193117,1,46,37816
1787351814.7193117,2,0,0
1787351814.7193117,3,0,0
1787351817.2628033,0,20,35288
1787351817.2628033,1,49,37930
1787351817.2628033,2,0,0
1787351817.2628033,3,0,0
1787351819.7132688,0,26,35288
1787351819.7132688,1,60,38382
1787351819.7132688,2,0,0
1787351819.7132688,3,0,0
1787351822.2304776,0,32,35288
1787351822.2304776,1,43,38726
1787351822.2304776,2,0,0
1787351822.2304776,3,0,0
1787351824.731802,0,0,35358
1787351824.731802,1,11,38860
1787351824.731802,2,0,0
1787351824.731802,3,0,0
1787351829.7358902,0,30,35544
1787351829.7358902,1,77,40074
1787351829.7358902,2,0,0
1787351829.7358902,3,0,0
1787351832.107685,0,21,35544
1787351832.107685,1,42,40542
1787351832.107685,2,0,0
1787351832.107685,3,0,0
1787351834.4429896,0,12,35544
1787351834.4429896,1,31,40834
1787351834.4429896,2,0,0
1787351834.4429896,3,0,0
1787351836.8789592,0,30,36088
1787351836.8789592,1,39,41198
1787351836.8789592,2,0,0
1787351836.8789592,3,0,0
1787351839.3109071,0,11,37440
1787351839.3109071,1,45,41198
1787351839.3109071,2,0,0
1787351839.3109071,3,0,0
1787351841.7760282,0,29,38798
1787351841.7760282,1,45,41198
1787351841.7760282,2,0,0
1787351841.7760282,3,0,0
1787351844.204709,0,27,39758
1787351844.204709,1,44,41198
1787351844.204709,2,0,0
1787351844.204709,3,0,0
1787351846.6575296,0,21,41082
1787351846.6575296,1,44,41198
1787351846.6575296,2,0,0
1787351846.6575296,3,0,0
1787351849.1505828,0,16,42106
1787351849.1505828,1,50,41086
1787351849.1505828,2,0,0
1787351849.1505828,3,0,0
1787351851.6846073,0,8,42554
1787351851.6846073,1,14,41086
1787351851.6846073,2,0,0
1787351851.6846073,3,0,0
1787351854.1315112,0,48,43844
1787351854.1315112,1,42,41086
1787351854.1315112,2,0,0
1787351854.1315112,3,0,0
1787351856.5312617,0,13,45012
1787351856.5312617,1,0,38586
1787351856.5312617,2,0,0
1787351856.5312617,3,0,0
1787351859.0430844,0,20,46052
1787351859.0430844,1,10,38510
1787351859.0430844,2,0,0
1787351859.0430844,3,0,0
1787351861.5400906,0,42,47244
1787351861.5400906,1,9,38420
1787351861.5400906,2,0,0
1787351861.5400906,3,0,0
1787351864.8753195,0,49,48114
1787351864.8753195,1,14,38398
1787351864.8753195,2,0,0
1787351864.8753195,3,0,0
1787351868.6866944,0,30,49866
1787351868.6866944,1,28,38398
1787351868.6866944,2,0,0
1787351868.6866944,3,0,0
1787351871.1786363,0,23,52298
1787351871.1786363,1,9,38174
1787351871.1786363,2,0,0
1787351871.1786363,3,0,0
1787351873.706706,0,73,54442
1787351873.706706,1,10,38174
1787351873.706706,2,0,0
1787351873.706706,3,0,0
1787351876.183718,0,22,55706
1787351876.183718,1,19,38174
1787351876.183718,2,0,0
1787351876.183718,3,0,0
1787351878.7883062,0,25,56662
1787351878.7883062,1,11,38174
1787351878.7883062,2,0,0
1787351878.7883062,3,0,0
1787351881.4034824,0,21,57580
1787351881.4034824,1,10,38174
1787351881.4034824,2,0,0
1787351881.4034824,3,0,0
1787351884.1563058,0,19,58242
1787351884.1563058,1,18,38174
1787351884.1563058,2,0,0
1787351884.1563058,3,0,0
1787351886.832351,0,80,58314
1787351886.832351,1,7,38174
1787351886.832351,2,0,0
1787351886.832351,3,0,0
1787351889.4121482,0,100,58370
1787351889.4121482,1,27,36404
1787351889.4121482,2,0,0
1787351889.4121482,3,0,0
1787351892.3116555,0,49,58480
1787351892.3116555,1,16,36404
1787351892.3116555,2,0,0
1787351892.3116555,3,0,0
1787351894.989327,0,49,58592
1787351894.989327,1,31,36404
1787351894.989327,2,0,0
1787351894.989327,3,0,0
1787351897.7039847,0,86,58464
1787351897.7039847,1,21,36404
1787351897.7039847,2,0,0
1787351897.7039847,3,0,0
1787351900.3708773,0,50,58400
1787351900.3708773,1,6,36404
1787351900.3708773,2,0,0
1787351900.3708773,3,0,0
1787351902.9721665,0,66,58400
1787351902.9721665,1,15,36404
1787351902.9721665,2,0,0
1787351902.9721665,3,0,0
1787351905.5079322,0,70,58400
1787351905.5079322,1,10,36404
1787351905.5079322,2,0,0
1787351905.5079322,3,0,0
1787351908.0463693,0,54,58400
1787351908.0463693,1,26,36404
1787351908.0463693,2,0,0
1787351908.0463693,3,0,0
1787351910.6143322,0,77,58400
1787351910.6143322,1,7,36404
1787351910.6143322,2,0,0
1787351910.6143322,3,0,0
1787351913.191354,0,36,58400
1787351913.191354,1,7,37178
1787351913.191354,2,0,0
1787351913.191354,3,0,0
1787351915.7827597,0,45,58400
1787351915.7827597,1,0,53226
1787351915.7827597,2,0,0
