timestamp,gpu_id,gpu_utilization,memory_used_mib
1787360172.3488922,0,41,33920
1787360172.3488922,1,39,33918
1787360172.3488922,2,0,0
1787360172.3488922,3,0,0
1787360175.1772258,0,37,33960
1787360175.1772258,1,23,34134
1787360175.1772258,2,0,0
1787360175.1772258,3,0,0
1787360177.4801083,0,25,34820
1787360177.4801083,1,39,34970
1787360177.4801083,2,0,0
1787360177.4801083,3,0,0
1787360179.7744727,0,35,34820
1787360179.7744727,1,56,35640
1787360179.7744727,2,0,0
1787360179.7744727,3,0,0
1787360182.1097412,0,11,35178
1787360182.1097412,1,57,36302
1787360182.1097412,2,0,0
1787360182.1097412,3,0,0
1787360184.5068157,0,55,36790
1787360184.5068157,1,39,36526
1787360184.5068157,2,0,0
1787360184.5068157,3,0,0
1787360186.9367154,0,36,36790
1787360186.9367154,1,39,36766
1787360186.9367154,2,0,0
1787360186.9367154,3,0,0
1787360189.314037,0,43,37046
1787360189.314037,1,41,37326
1787360189.314037,2,0,0
1787360189.314037,3,0,0
1787360191.738897,0,18,37760
1787360191.738897,1,39,37550
1787360191.738897,2,0,0
1787360191.738897,3,0,0
1787360194.1582923,0,29,38458
1787360194.1582923,1,8,37774
1787360194.1582923,2,0,0
1787360194.1582923,3,0,0
1787360196.5489988,0,21,39302
1787360196.5489988,1,44,38462
1787360196.5489988,2,0,0
1787360196.5489988,3,0,0
1787360199.023549,0,40,40070
1787360199.023549,1,36,38462
1787360199.023549,2,0,0
1787360199.023549,3,0,0
1787360201.403841,0,37,40450
1787360201.403841,1,48,38462
1787360201.403841,2,0,0
1787360201.403841,3,0,0
1787360203.8670447,0,50,40450
1787360203.8670447,1,63,38462
1787360203.8670447,2,0,0
1787360203.8670447,3,0,0
1787360206.2726436,0,42,40450
1787360206.2726436,1,47,38462
1787360206.2726436,2,0,0
1787360206.2726436,3,0,0
1787360208.6895082,0,56,40514
1787360208.6895082,1,64,38686
1787360208.6895082,2,0,0
1787360208.6895082,3,0,0
1787360211.1465435,0,19,40762
1787360211.1465435,1,49,38686
1787360211.1465435,2,0,0
1787360211.1465435,3,0,0
1787360213.5560768,0,48,40762
1787360213.5560768,1,48,38686
1787360213.5560768,2,0,0
1787360213.5560768,3,0,0
1787360215.9142573,0,48,40814
1787360215.9142573,1,22,38798
1787360215.9142573,2,0,0
1787360215.9142573,3,0,0
1787360218.3179715,0,32,40814
