1787351157.029874493 0, 33468, 0;1, 33482, 0;2, 0, 0;3, 0, 0;
1787351159.439831867 0, 33944, 19;1, 34078, 56;2, 0, 0;3, 0, 0;
1787351161.791015068 0, 33966, 25;1, 35526, 27;2, 0, 0;3, 0, 0;
1787351164.251629343 0, 34038, 34;1, 36252, 9;2, 0, 0;3, 0, 0;
1787351167.066184895 0, 34476, 24;1, 36956, 16;2, 0, 0;3, 0, 0;
1787351170.208097309 0, 34540, 15;1, 38126, 45;2, 0, 0;3, 0, 0;
1787351172.927386762 0, 34540, 25;1, 38684, 26;2, 0, 0;3, 0, 0;
1787351175.460317465 0, 34668, 33;1, 39132, 35;2, 0, 0;3, 0, 0;
1787351177.887488523 0, 34732, 32;1, 39272, 61;2, 0, 0;3, 0, 0;
1787351180.412600226 0, 34732, 35;1, 40056, 26;2, 0, 0;3, 0, 0;
1787351182.890949552 0, 34732, 24;1, 40588, 32;2, 0, 0;3, 0, 0;
1787351185.466811135 0, 34732, 25;1, 41036, 18;2, 0, 0;3, 0, 0;
1787351188.273866361 0, 34796, 28;1, 41260, 39;2, 0, 0;3, 0, 0;
1787351190.788884052 0, 35190, 29;1, 41372, 40;2, 0, 0;3, 0, 0;
1787351193.392841386 0, 35190, 35;1, 42156, 24;2, 0, 0;3, 0, 0;
1787351196.075202772 0, 35190, 21;1, 42716, 28;2, 0, 0;3, 0, 0;
1787351198.626968508 0, 35190, 26;1, 42828, 57;2, 0, 0;3, 0, 0;
1787351201.188101527 0, 35190, 25;1, 42828, 55;2, 0, 0;3, 0, 0;
1787351204.007249773 0, 35230, 42;1, 42828, 61;2, 0, 0;3, 0, 0;
1787351206.485917474 0, 35486, 55;1, 42940, 48;2, 0, 0;3, 0, 0;
1787351208.874790898 0, 35486, 30;1, 42940, 24;2, 0, 0;3, 0, 0;
1787351211.313950346 0, 35486, 0;1, 42940, 50;2, 0, 0;3, 0, 0;
1787351213.660954773 0, 35746, 46;1, 42940, 52;2, 0, 0;3, 0, 0;
1787351216.058626986 0, 36386, 43;1, 42996, 21;2, 0, 0;3, 0, 0;
1787351218.566870011 0, 36514, 47;1, 43108, 65;2, 0, 0;3, 0, 0;
1787351221.091623765 0, 37410, 10;1, 43108, 33;2, 0, 0;3, 0, 0;
1787351223.576207031 0, 37794, 54;1, 43108, 26;2, 0, 0;3, 0, 0;
1787351225.985302439 0, 38050, 56;1, 42436, 48;2, 0, 0;3, 0, 0;
1787351228.395552665 0, 38050, 40;1, 41876, 33;2, 0, 0;3, 0, 0;
1787351230.864091420 0, 38584, 41;1, 41716, 43;2, 0, 0;3, 0, 0;
1787351233.318539542 0, 38968, 11;1, 41604, 38;2, 0, 0;3, 0, 0;
1787351235.819638933 0, 40608, 15;1, 41268, 59;2, 0, 0;3, 0, 0;
1787351238.299205760 0, 41250, 11;1, 41156, 25;2, 0, 0;3, 0, 0;
1787351240.841025722 0, 42274, 24;1, 40932, 33;2, 0, 0;3, 0, 0;
1787351243.490309950 0, 42402, 66;1, 40708, 44;2, 0, 0;3, 0, 0;
1787351246.503636411 0, 42402, 14;1, 40260, 64;2, 0, 0;3, 0, 0;
1787351249.338896849 0, 42402, 50;1, 40260, 31;2, 0, 0;3, 0, 0;
1787351251.886493177 0, 42402, 44;1, 39924, 44;2, 0, 0;3, 0, 0;
1787351254.461075453 0, 42402, 24;1, 39924, 50;2, 0, 0;3, 0, 0;
1787351257.168967490 0, 41150, 55;1, 39924, 41;2, 0, 0;3, 0, 0;
1787351259.828441351 0, 41534, 65;1, 39812, 49;2, 0, 0;3, 0, 0;
1787351262.505777151 0, 41534, 49;1, 39812, 41;2, 0, 0;3, 0, 0;
1787351264.964222598 0, 41784, 39;1, 39812, 44;2, 0, 0;3, 0, 0;
1787351267.590885601 0, 41784, 27;1, 39812, 51;2, 0, 0;3, 0, 0;
1787351270.130276620 0, 41928, 42;1, 39812, 30;2, 0, 0;3, 0, 0;
1787351272.707001761 0, 42030, 45;1, 39812, 63;2, 0, 0;3, 0, 0;
1787351275.179977710 0, 42030, 51;1, 39924, 52;2, 0, 0;3, 0, 0;
1787351277.605663360 0, 42030, 46;1, 39924, 41;2, 0, 0;3, 0, 0;
1787351280.154671674 0, 42174, 17;1, 39924, 17;2, 0, 0;3, 0, 0;
1787351282.766608512 0, 42046, 17;1, 39700, 51;2, 0, 0;3, 0, 0;
1787351285.235831270 0, 42046, 42;1, 38692, 36;2, 0, 0;3, 0, 0;
1787351287.863706958 0, 42046, 42;1, 38692, 34;2, 0, 0;3, 0, 0;
1787351290.239287800 0, 42190, 47;1, 39028, 8;2, 0, 0;3, 0, 0;
1787351292.649895814 0, 40502, 19;1, 39028, 37;2, 0, 0;3, 0, 0;
1787351295.090402040 0, 39374, 59;1, 39028, 75;2, 0, 0;3, 0, 0;
1787351297.438589115 0, 39168, 11;1, 39028, 15;2, 0, 0;3, 0, 0;
1787351299.897136937 0, 38400, 19;1, 39252, 43;2, 0, 0;3, 0, 0;
1787351302.221349565 0, 38010, 43;1, 39252, 30;2, 0, 0;3, 0, 0;
1787351304.607364840 0, 38010, 61;1, 39252, 35;2, 0, 0;3, 0, 0;
1787351307.044229896 0, 37626, 14;1, 39252, 29;2, 0, 0;3, 0, 0;
1787351309.384615604 0, 37114, 42;1, 39252, 42;2, 0, 0;3, 0, 0;
