Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r2_s1.pkl
[PRISM_DIRECT] 858 requests, span 419.2s
Starting TP benchmark: paper-faithful-v6_bursty_rate2_seed1
Generated 858 requests
Request model_2#0 arrives at 1626062.754503454, sleeping for 0.6546702876221389 seconds
Request model_2#1 arrives at 1626063.410390579, sleeping for 0.5126217764336616 seconds
Request model_2#2 arrives at 1626063.924649631, sleeping for 0.17442816542461514 seconds
Request model_2#3 arrives at 1626064.100894916, sleeping for 0.0780122708529234 seconds
Request model_2#4 arrives at 1626064.179338431, sleeping for 0.3808263521641493 seconds
Request model_2#5 arrives at 1626064.560929624, sleeping for 0.8855698858387768 seconds
Request model_2#6 arrives at 1626065.448117523, sleeping for 0.2160679113585502 seconds
Request model_3#0 arrives at 1626065.665323896, sleeping for 0.7585357700008899 seconds
Request model_2#7 arrives at 1626066.424409072, sleeping for 0.09918322623707354 seconds
Request model_2#8 arrives at 1626066.524785656, sleeping for 1.013457813533023 seconds
Request model_2#9 arrives at 1626067.539560573, sleeping for 0.17787060840055346 seconds
Request model_2#10 arrives at 1626067.718594542, sleeping for 1.0575749778654426 seconds
Request model_5#0 arrives at 1626068.776764445, sleeping for 0.3170374643523246 seconds
Request model_2#11 arrives at 1626069.095164356, sleeping for 1.287218128098175 seconds
Request model_2#12 arrives at 1626070.383758553, sleeping for 0.44487000722438097 seconds
Request model_2#13 arrives at 1626070.829380362, sleeping for 0.20701479515992105 seconds
Request model_2#14 arrives at 1626071.037898387, sleeping for 0.2947574332356453 seconds
Request model_5#1 arrives at 1626071.333308421, sleeping for 1.6221498837694526 seconds
Request model_2#15 arrives at 1626072.957082348, sleeping for 0.506188994506374 seconds
Request model_2#16 arrives at 1626073.463667506, sleeping for 0.6286936162505299 seconds
Request model_5#2 arrives at 1626074.093444573, sleeping for 1.3064807644113898 seconds
Request model_3#1 arrives at 1626075.400675343, sleeping for 1.7881656466051936 seconds
Request model_2#17 arrives at 1626077.191327498, sleeping for 0.4096027861814946 seconds
Request model_2#18 arrives at 1626077.602812721, sleeping for 0.2742497625295073 seconds
Request model_2#19 arrives at 1626077.87788078, sleeping for 0.18984655174426734 seconds
Request model_2#20 arrives at 1626078.068345517, sleeping for 0.9119020355865359 seconds
Request model_2#21 arrives at 1626078.981997262, sleeping for 0.012167953653261065 seconds
Request model_2#22 arrives at 1626078.995103539, sleeping for 0.18900980823673308 seconds
Request model_2#23 arrives at 1626079.186309972, sleeping for 0.5311632717493922 seconds
Request model_2#24 arrives at 1626079.71888777, sleeping for 0.1956130254548043 seconds
Request model_2#25 arrives at 1626079.915213146, sleeping for 0.38019022182561457 seconds
Request model_6#0 arrives at 1626080.29674451, sleeping for 1.0621198168955743 seconds
Request model_2#26 arrives at 1626081.360019369, sleeping for 0.1342662340030074 seconds
Request model_2#27 arrives at 1626081.496019095, sleeping for 0.4457448075991124 seconds
Request model_2#28 arrives at 1626081.942131157, sleeping for 0.08344291080720723 seconds
Request model_2#29 arrives at 1626082.025872778, sleeping for 0.6690619385335594 seconds
Request model_3#2 arrives at 1626082.696071849, sleeping for 0.39602336660027504 seconds
Request model_5#3 arrives at 1626083.093090088, sleeping for 0.14663534052670002 seconds
Request model_3#3 arrives at 1626083.24154717, sleeping for 0.35663640941493213 seconds
Request model_2#30 arrives at 1626083.599523121, sleeping for 0.49692079378291965 seconds
Request model_2#31 arrives at 1626084.097689648, sleeping for 0.159504676470533 seconds
Request model_2#32 arrives at 1626084.257519569, sleeping for 0.3209921042434871 seconds
Request model_2#33 arrives at 1626084.579569754, sleeping for 0.6536544417031109 seconds
Request model_2#34 arrives at 1626085.234481075, sleeping for 0.030156964669004083 seconds
Request model_2#35 arrives at 1626085.265419226, sleeping for 0.7878240635618567 seconds
Request model_2#36 arrives at 1626086.054319315, sleeping for 0.4113033616449684 seconds
Request model_2#37 arrives at 1626086.46739499, sleeping for 0.29545354493893683 seconds
Request model_2#38 arrives at 1626086.763356961, sleeping for 1.105266613420099 seconds
Request model_2#39 arrives at 1626087.869189267, sleeping for 0.5733573231846094 seconds
Request model_2#40 arrives at 1626088.443595341, sleeping for 0.7658337217289954 seconds
Request model_6#1 arrives at 1626089.210335114, sleeping for 0.7625291990116239 seconds
Request model_2#41 arrives at 1626089.974211344, sleeping for 0.5712395180016756 seconds
Request model_2#42 arrives at 1626090.546367705, sleeping for 0.27689751936122775 seconds
Request model_6#2 arrives at 1626090.823739956, sleeping for 1.6014951702672988 seconds
Request model_2#43 arrives at 1626092.427209919, sleeping for 0.016197626013308764 seconds
Request model_2#44 arrives at 1626092.443662699, sleeping for 0.8891833128873259 seconds
Request model_2#45 arrives at 1626093.334678037, sleeping for 0.9317349956836551 seconds
Request model_2#46 arrives at 1626094.268083076, sleeping for 0.1632042732089758 seconds
Request model_3#4 arrives at 1626094.43210127, sleeping for 0.20654104882851243 seconds
Request model_2#47 arrives at 1626094.639264378, sleeping for 0.4878605888225138 seconds
Request model_2#48 arrives at 1626095.128475188, sleeping for 0.7355184648185968 seconds
Request model_2#49 arrives at 1626095.864856525, sleeping for 1.0146014851052314 seconds
Request model_2#50 arrives at 1626096.880909503, sleeping for 0.16020671860314906 seconds
Request model_3#5 arrives at 1626097.042175955, sleeping for 0.5177859666291624 seconds
Request model_2#51 arrives at 1626097.560938791, sleeping for 0.10299527319148183 seconds
Request model_2#52 arrives at 1626097.665845443, sleeping for 0.7889222060330212 seconds
Request model_6#3 arrives at 1626098.455501217, sleeping for 0.2291979647707194 seconds
Request model_2#53 arrives at 1626098.685406535, sleeping for 0.6044159757439047 seconds
Request model_2#54 arrives at 1626099.290827998, sleeping for 0.21481288480572402 seconds
Request model_2#55 arrives at 1626099.506681879, sleeping for 0.3791935374028981 seconds
Request model_2#56 arrives at 1626099.886740531, sleeping for 0.04423227906227112 seconds
Request model_2#57 arrives at 1626099.93142144, sleeping for 0.008605599170550704 seconds
Request model_5#4 arrives at 1626099.942109071, sleeping for 1.8790528264362365 seconds
Request model_5#5 arrives at 1626101.822382367, sleeping for 0.5735873035155237 seconds
Request model_5#6 arrives at 1626102.39780077, sleeping for 0.25471675395965576 seconds
Request model_1#0 arrives at 1626102.65376591, sleeping for 0.23534806538373232 seconds
Request model_5#7 arrives at 1626102.889696083, sleeping for 0.2690065372735262 seconds
Request model_3#6 arrives at 1626103.159728097, sleeping for 0.7778101621661335 seconds
Request model_4#0 arrives at 1626103.938786246, sleeping for 0.5694703035987914 seconds
Request model_1#1 arrives at 1626104.509415382, sleeping for 1.1874235244467854 seconds
Request model_5#8 arrives at 1626105.698805842, sleeping for 0.26822256948798895 seconds
Request model_5#9 arrives at 1626105.968551829, sleeping for 0.5639720633625984 seconds
Request model_1#2 arrives at 1626106.534018954, sleeping for 1.0804980359971523 seconds
Request model_5#10 arrives at 1626107.616894959, sleeping for 1.7980419588275254 seconds
Request model_5#11 arrives at 1626109.416128868, sleeping for 0.660617595538497 seconds
Request model_5#12 arrives at 1626110.078650426, sleeping for 0.15781675628386438 seconds
Request model_4#1 arrives at 1626110.237020785, sleeping for 0.1818431878928095 seconds
Request model_4#2 arrives at 1626110.419908904, sleeping for 1.1575197030324489 seconds
Request model_5#13 arrives at 1626111.578551998, sleeping for 0.5213714686688036 seconds
Request model_5#14 arrives at 1626112.100835964, sleeping for 0.5825792297255248 seconds
Request model_5#15 arrives at 1626112.684479984, sleeping for 0.9032731056213379 seconds
Request model_5#16 arrives at 1626113.589586275, sleeping for 0.3686340597923845 seconds
Request model_1#3 arrives at 1626113.958945384, sleeping for 0.7877380505669862 seconds
Request model_5#17 arrives at 1626114.747912873, sleeping for 1.0737034466583282 seconds
Request model_5#18 arrives at 1626115.823803852, sleeping for 0.11323653976432979 seconds
Request model_1#4 arrives at 1626115.937525881, sleeping for 0.02510805963538587 seconds
Request model_5#19 arrives at 1626115.963256394, sleeping for 0.09299646504223347 seconds
Request model_5#20 arrives at 1626116.05711744, sleeping for 0.33172603603452444 seconds
Request model_4#3 arrives at 1626116.389633148, sleeping for 0.045771636767312884 seconds
Request model_4#4 arrives at 1626116.43598622, sleeping for 0.09874314512126148 seconds
Request model_1#5 arrives at 1626116.535836148, sleeping for 0.06534810387529433 seconds
Request model_1#6 arrives at 1626116.601615538, sleeping for 0.016468910267576575 seconds
