1787360816.517977372 0, 33898, 36;1, 33918, 29;2, 0, 0;3, 0, 0;
1787360818.969883893 0, 33948, 0;1, 34000, 58;2, 0, 0;3, 0, 0;
1787360821.283362477 0, 34288, 57;1, 34772, 48;2, 0, 0;3, 0, 0;
1787360823.636128014 0, 34640, 7;1, 35464, 62;2, 0, 0;3, 0, 0;
1787360826.140009385 0, 35386, 19;1, 35688, 55;2, 0, 0;3, 0, 0;
1787360828.639303165 0, 35514, 30;1, 35800, 30;2, 0, 0;3, 0, 0;
1787360831.161512455 0, 35898, 21;1, 36330, 44;2, 0, 0;3, 0, 0;
1787360833.648404630 0, 36602, 16;1, 36640, 38;2, 0, 0;3, 0, 0;
1787360836.085524633 0, 37102, 39;1, 37354, 73;2, 0, 0;3, 0, 0;
1787360838.571647595 0, 37246, 46;1, 37762, 23;2, 0, 0;3, 0, 0;
1787360841.147498587 0, 37378, 22;1, 37876, 16;2, 0, 0;3, 0, 0;
1787360844.193306959 0, 37824, 18;1, 38610, 64;2, 0, 0;3, 0, 0;
1787360847.703647021 0, 38872, 36;1, 38612, 58;2, 0, 0;3, 0, 0;
1787360850.299159552 0, 39000, 35;1, 39408, 0;2, 0, 0;3, 0, 0;
1787360853.105806423 0, 39000, 33;1, 39968, 55;2, 0, 0;3, 0, 0;
1787360855.803784633 0, 39000, 49;1, 39970, 35;2, 0, 0;3, 0, 0;
1787360858.403372214 0, 39000, 58;1, 40082, 62;2, 0, 0;3, 0, 0;
1787360860.947685624 0, 39144, 59;1, 40082, 21;2, 0, 0;3, 0, 0;
1787360863.452727952 0, 39298, 30;1, 40418, 43;2, 0, 0;3, 0, 0;
1787360866.030202422 0, 39170, 51;1, 40418, 51;2, 0, 0;3, 0, 0;
1787360868.479532937 0, 39170, 46;1, 40418, 46;2, 0, 0;3, 0, 0;
1787360870.989093749 0, 39392, 40;1, 40418, 41;2, 0, 0;3, 0, 0;
1787360873.581599095 0, 39392, 48;1, 40306, 29;2, 0, 0;3, 0, 0;
1787360876.098654079 0, 39778, 30;1, 40398, 53;2, 0, 0;3, 0, 0;
1787360878.566588364 0, 40034, 55;1, 40492, 47;2, 0, 0;3, 0, 0;
1787360881.040085009 0, 40546, 34;1, 40604, 33;2, 0, 0;3, 0, 0;
1787360883.573485899 0, 40802, 42;1, 40604, 49;2, 0, 0;3, 0, 0;
1787360886.077725377 0, 40898, 40;1, 40900, 52;2, 0, 0;3, 0, 0;
1787360888.571115070 0, 40898, 45;1, 40676, 42;2, 0, 0;3, 0, 0;
1787360891.003381292 0, 40898, 60;1, 40676, 49;2, 0, 0;3, 0, 0;
1787360893.434488266 0, 40898, 54;1, 40676, 32;2, 0, 0;3, 0, 0;
1787360895.943177257 0, 40962, 37;1, 40676, 45;2, 0, 0;3, 0, 0;
1787360898.395879272 0, 40962, 41;1, 40676, 54;2, 0, 0;3, 0, 0;
1787360900.874777298 0, 40962, 46;1, 40564, 51;2, 0, 0;3, 0, 0;
1787360903.305618542 0, 40962, 63;1, 40452, 24;2, 0, 0;3, 0, 0;
1787360905.762645049 0, 40962, 29;1, 40452, 55;2, 0, 0;3, 0, 0;
1787360908.193482304 0, 40962, 38;1, 40340, 53;2, 0, 0;3, 0, 0;
1787360910.568805226 0, 40962, 50;1, 40340, 42;2, 0, 0;3, 0, 0;
1787360913.078752209 0, 40962, 43;1, 40340, 48;2, 0, 0;3, 0, 0;
1787360915.483519356 0, 40962, 28;1, 40340, 58;2, 0, 0;3, 0, 0;
1787360917.968932121 0, 40962, 29;1, 40340, 41;2, 0, 0;3, 0, 0;
1787360921.086150648 0, 40962, 75;1, 40564, 56;2, 0, 0;3, 0, 0;
1787360923.821988227 0, 40962, 49;1, 40564, 43;2, 0, 0;3, 0, 0;
1787360926.379291571 0, 40962, 40;1, 40564, 52;2, 0, 0;3, 0, 0;
1787360928.852235712 0, 40962, 46;1, 40564, 50;2, 0, 0;3, 0, 0;
1787360931.255845954 0, 40962, 100;1, 40676, 63;2, 0, 0;3, 0, 0;
1787360933.734878528 0, 40962, 50;1, 40676, 47;2, 0, 0;3, 0, 0;
1787360936.211260674 0, 40834, 70;1, 40676, 41;2, 0, 0;3, 0, 0;
1787360938.956021559 0, 40834, 84;1, 40676, 46;2, 0, 0;3, 0, 0;
1787360941.596750663 0, 40706, 62;1, 40676, 37;2, 0, 0;3, 0, 0;
1787360944.212924849 0, 40872, 63;1, 40676, 38;2, 0, 0;3, 0, 0;
1787360946.879301692 0, 41218, 60;1, 40676, 43;2, 0, 0;3, 0, 0;
1787360949.282083132 0, 41498, 12;1, 40676, 8;2, 0, 0;3, 0, 0;
1787360952.327521720 0, 41602, 75;1, 40676, 54;2, 0, 0;3, 0, 0;
1787360954.719131043 0, 41602, 53;1, 40676, 57;2, 0, 0;3, 0, 0;
1787360958.198277734 0, 41786, 52;1, 40676, 29;2, 0, 0;3, 0, 0;
1787360961.084166280 0, 41890, 55;1, 40678, 43;2, 0, 0;3, 0, 0;
1787360963.630478796 0, 41890, 35;1, 40678, 35;2, 0, 0;3, 0, 0;
1787360966.011096935 0, 41890, 42;1, 40678, 46;2, 0, 0;3, 0, 0;
1787360968.484649478 0, 41890, 47;1, 40678, 29;2, 0, 0;3, 0, 0;
1787360970.897299920 0, 42274, 38;1, 40678, 50;2, 0, 0;3, 0, 0;
1787360973.279316510 0, 42498, 66;1, 40726, 47;2, 0, 0;3, 0, 0;
1787360975.774677866 0, 42914, 26;1, 40790, 40;2, 0, 0;3, 0, 0;
1787360978.158091077 0, 43170, 55;1, 41014, 15;2, 0, 0;3, 0, 0;
1787360980.616161215 0, 43426, 36;1, 41238, 62;2, 0, 0;3, 0, 0;
1787360983.047661130 0, 43426, 46;1, 41238, 52;2, 0, 0;3, 0, 0;
1787360985.744869985 0, 43426, 38;1, 41238, 46;2, 0, 0;3, 0, 0;
1787360988.430222148 0, 43426, 65;1, 41238, 57;2, 0, 0;3, 0, 0;
1787360991.042516046 0, 43426, 32;1, 41350, 35;2, 0, 0;3, 0, 0;
1787360993.666644997 0, 43638, 93;1, 41462, 36;2, 0, 0;3, 0, 0;
1787360996.360896644 0, 43638, 82;1, 41724, 85;2, 0, 0;3, 0, 0;
1787360998.990356352 0, 43958, 44;1, 42022, 18;2, 0, 0;3, 0, 0;
1787361002.428545801 0, 43958, 63;1, 42246, 42;2, 0, 0;3, 0, 0;
1787361004.943553350 0, 43958, 46;1, 42246, 43;2, 0, 0;3, 0, 0;
1787361007.761467984 0, 43958, 33;1, 42246, 64;2, 0, 0;3, 0, 0;
1787361010.430677171 0, 43958, 37;1, 42246, 53;2, 0, 0;3, 0, 0;
1787361013.186308206 0, 43958, 39;1, 42246, 58;2, 0, 0;3, 0, 0;
1787361015.866834531 0, 43958, 41;1, 42246, 32;2, 0, 0;3, 0, 0;
1787361018.781432348 0, 43958, 98;1, 42246, 100;2, 0, 0;3, 0, 0;
1787361021.141267572 0, 43958, 41;1, 42246, 60;2, 0, 0;3, 0, 0;
1787361023.538902650 0, 43958, 57;1, 42246, 32;2, 0, 0;3, 0, 0;
1787361026.285216042 0, 43958, 48;1, 42246, 47;2, 0, 0;3, 0, 0;
1787361028.835137076 0, 43574, 24;1, 42444, 32;2, 0, 0;3, 0, 0;
1787361031.382582172 0, 43446, 57;1, 42470, 50;2, 0, 0;3, 0, 0;
1787361033.939658106 0, 43446, 55;1, 42702, 73;2, 0, 0;3, 0, 0;
