Real trace file: /workspace/prism-merge/exp/workloads/final-compare/steady_r8_s2.pkl
[PRISM_DIRECT] 3365 requests, span 419.5s
Starting TP benchmark: paper-faithful-v6_steady_rate8_seed2
Generated 3365 requests
Request model_6#0 arrives at 1642037.259697209, sleeping for 0.37050702841952443 seconds
Request model_6#1 arrives at 1642037.631184105, sleeping for 0.3919298783876002 seconds
Request model_5#0 arrives at 1642038.023852304, sleeping for 0.1520429030060768 seconds
Request model_1#0 arrives at 1642038.176644565, sleeping for 0.08413514099083841 seconds
Request model_1#1 arrives at 1642038.261337705, sleeping for 0.06747863721102476 seconds
Request model_1#2 arrives at 1642038.330000489, sleeping for 0.056555077666416764 seconds
Request model_5#1 arrives at 1642038.386775308, sleeping for 0.001286037964746356 seconds
Request model_5#2 arrives at 1642038.38846319, sleeping for 0.002221027621999383 seconds
Request model_3#0 arrives at 1642038.39112949, sleeping for 0.030697975540533662 seconds
Request model_5#3 arrives at 1642038.422784958, sleeping for 0.07188957650214434 seconds
Request model_3#1 arrives at 1642038.496468339, sleeping for 0.006191834574565291 seconds
Request model_5#4 arrives at 1642038.503229747, sleeping for 0.1617482090368867 seconds
Request model_6#2 arrives at 1642038.66601955, sleeping for 0.4236358990892768 seconds
Request model_1#3 arrives at 1642039.090291677, sleeping for 0.22768499958328903 seconds
Request model_5#5 arrives at 1642039.318583691, sleeping for 0.010123103391379118 seconds
Request model_5#6 arrives at 1642039.329282238, sleeping for 0.09292383957654238 seconds
Request model_2#0 arrives at 1642039.423015424, sleeping for 0.25422204774804413 seconds
Request model_6#3 arrives at 1642039.678311133, sleeping for 0.1405461539980024 seconds
Request model_6#4 arrives at 1642039.819862212, sleeping for 0.02981309941969812 seconds
Request model_6#5 arrives at 1642039.850668154, sleeping for 0.06556024379096925 seconds
Request model_6#6 arrives at 1642039.917415375, sleeping for 0.20176321431063116 seconds
Request model_6#7 arrives at 1642040.119646562, sleeping for 0.00683086016215384 seconds
Request model_6#8 arrives at 1642040.126963545, sleeping for 0.2755321580916643 seconds
Request model_5#7 arrives at 1642040.402881342, sleeping for 0.5024175373837352 seconds
Request model_2#1 arrives at 1642040.90639165, sleeping for 0.08223219658248127 seconds
Request model_6#9 arrives at 1642040.989117556, sleeping for 0.14058938552625477 seconds
Request model_3#2 arrives at 1642041.130876567, sleeping for 0.05021485406905413 seconds
Request model_6#10 arrives at 1642041.181563732, sleeping for 0.14610479562543333 seconds
Request model_1#4 arrives at 1642041.32843036, sleeping for 0.047433547442778945 seconds
Request model_6#11 arrives at 1642041.376108464, sleeping for 0.02550834813155234 seconds
Request model_3#3 arrives at 1642041.401780249, sleeping for 0.057444948237389326 seconds
Request model_5#8 arrives at 1642041.459454734, sleeping for 0.046222830191254616 seconds
Request model_1#5 arrives at 1642041.50613058, sleeping for 0.016272741835564375 seconds
Request model_6#12 arrives at 1642041.52280236, sleeping for 0.1966438926756382 seconds
Request model_1#6 arrives at 1642041.720669816, sleeping for 0.14636230492033064 seconds
Request model_2#2 arrives at 1642041.867438233, sleeping for 0.03158776182681322 seconds
Request model_4#0 arrives at 1642041.900453701, sleeping for 0.23704121611081064 seconds
Request model_3#4 arrives at 1642042.139307702, sleeping for 0.17830108013004065 seconds
Request model_5#9 arrives at 1642042.318448012, sleeping for 0.06449617771431804 seconds
Request model_6#13 arrives at 1642042.384450668, sleeping for 0.011739850277081132 seconds
Request model_1#7 arrives at 1642042.397132819, sleeping for 0.024636713787913322 seconds
Request model_6#14 arrives at 1642042.422799964, sleeping for 0.1804114948026836 seconds
Request model_6#15 arrives at 1642042.603683677, sleeping for 0.04493059543892741 seconds
Request model_5#10 arrives at 1642042.649660238, sleeping for 0.010140323545783758 seconds
Request model_5#11 arrives at 1642042.660330415, sleeping for 0.18654146906919777 seconds
Request model_6#16 arrives at 1642042.847868636, sleeping for 0.14721293770708144 seconds
Request model_2#3 arrives at 1642042.996522607, sleeping for 0.037199874175712466 seconds
Request model_3#5 arrives at 1642043.034237109, sleeping for 0.13165735849179327 seconds
Request model_1#8 arrives at 1642043.166982675, sleeping for 0.05945415864698589 seconds
Request model_6#17 arrives at 1642043.228019655, sleeping for 0.20932595594786108 seconds
Request model_1#9 arrives at 1642043.437978977, sleeping for 0.21562449587509036 seconds
Request model_6#18 arrives at 1642043.653911683, sleeping for 0.0018980999011546373 seconds
Request model_2#4 arrives at 1642043.656592352, sleeping for 0.07891789637506008 seconds
Request model_6#19 arrives at 1642043.737368674, sleeping for 0.10555582866072655 seconds
Request model_6#20 arrives at 1642043.844092443, sleeping for 0.33567400788888335 seconds
Request model_3#6 arrives at 1642044.180316965, sleeping for 0.08148937555961311 seconds
Request model_5#12 arrives at 1642044.262536827, sleeping for 0.006994991563260555 seconds
Request model_3#7 arrives at 1642044.270592235, sleeping for 0.2758830008096993 seconds
Request model_6#21 arrives at 1642044.548011684, sleeping for 0.23533830512315035 seconds
Request model_6#22 arrives at 1642044.784015654, sleeping for 0.4105315248016268 seconds
Request model_6#23 arrives at 1642045.195603339, sleeping for 0.01962466398254037 seconds
Request model_1#10 arrives at 1642045.216123417, sleeping for 0.0008995484095066786 seconds
Request model_6#24 arrives at 1642045.218123631, sleeping for 0.11755495239049196 seconds
Request model_5#13 arrives at 1642045.337985805, sleeping for 0.010809168685227633 seconds
Request model_6#25 arrives at 1642045.349064524, sleeping for 0.5887785255908966 seconds
Request model_4#1 arrives at 1642045.940020671, sleeping for 0.2272485913708806 seconds
Request model_5#14 arrives at 1642046.168065364, sleeping for 0.05311547080054879 seconds
Request model_6#26 arrives at 1642046.221492009, sleeping for 0.008520522387698293 seconds
Request model_3#8 arrives at 1642046.232542759, sleeping for 0.24234076053835452 seconds
Request model_5#15 arrives at 1642046.475407048, sleeping for 0.04831158020533621 seconds
Request model_6#27 arrives at 1642046.524179479, sleeping for 0.012531524756923318 seconds
Request model_6#28 arrives at 1642046.538844935, sleeping for 0.14434340689331293 seconds
Request model_5#16 arrives at 1642046.684090802, sleeping for 0.03023227583616972 seconds
Request model_4#2 arrives at 1642046.714761013, sleeping for 0.17310561821796 seconds
Request model_4#3 arrives at 1642046.888574194, sleeping for 0.2087732192594558 seconds
Request model_3#9 arrives at 1642047.098420576, sleeping for 0.00041978759691119194 seconds
Request model_5#17 arrives at 1642047.09898342, sleeping for 0.037684368435293436 seconds
Request model_1#11 arrives at 1642047.137727219, sleeping for 0.1451352834701538 seconds
Request model_4#4 arrives at 1642047.284056813, sleeping for 0.11412348784506321 seconds
Request model_5#18 arrives at 1642047.39881238, sleeping for 0.6202727719210088 seconds
Request model_5#19 arrives at 1642048.020088126, sleeping for 0.15103893913328648 seconds
Request model_3#10 arrives at 1642048.172539034, sleeping for 0.007420478155836463 seconds
Request model_6#29 arrives at 1642048.180249979, sleeping for 0.21070388588123024 seconds
Request model_1#12 arrives at 1642048.39132761, sleeping for 0.03127333568409085 seconds
Request model_6#30 arrives at 1642048.422995738, sleeping for 0.07847164780832827 seconds
Request model_6#31 arrives at 1642048.501677655, sleeping for 0.12326115602627397 seconds
Request model_3#11 arrives at 1642048.626524034, sleeping for 0.13404801883734763 seconds
Request model_4#5 arrives at 1642048.762288442, sleeping for 0.2567464685998857 seconds
Request model_6#32 arrives at 1642049.02014089, sleeping for 0.1169173694215715 seconds
Request model_4#6 arrives at 1642049.138045699, sleeping for 0.07529594050720334 seconds
Request model_2#5 arrives at 1642049.213972716, sleeping for 0.19661627616733313 seconds
Request model_5#20 arrives at 1642049.411876781, sleeping for 0.08185345819219947 seconds
Request model_6#33 arrives at 1642049.494499646, sleeping for 0.2874340587295592 seconds
Request model_5#21 arrives at 1642049.783097646, sleeping for 0.013537651393562555 seconds
Request model_1#13 arrives at 1642049.797811401, sleeping for 0.27497518598102033 seconds
Request model_6#34 arrives at 1642050.074169712, sleeping for 0.15557210496626794 seconds
Request model_3#12 arrives at 1642050.231727087, sleeping for 0.041179921478033066 seconds
Request model_3#13 arrives at 1642050.273398218, sleeping for 0.029611713951453567 seconds
Request model_5#22 arrives at 1642050.304058769, sleeping for 0.054375472478568554 seconds
Request model_1#14 arrives at 1642050.358714072, sleeping for 0.042423071106895804 seconds
Request model_6#35 arrives at 1642050.401354959, sleeping for 0.23203982575796545 seconds
Request model_6#36 arrives at 1642050.634449279, sleeping for 0.2684389855712652 seconds
Request model_1#15 arrives at 1642050.904115601, sleeping for 0.23974185530096292 seconds
Request model_5#23 arrives at 1642051.144682704, sleeping for 0.18025636486709118 seconds
Request model_1#16 arrives at 1642051.326121891, sleeping for 0.27272602659650147 seconds
Request model_4#7 arrives at 1642051.599606321, sleeping for 0.2675130059942603 seconds
Request model_1#17 arrives at 1642051.86744338, sleeping for 0.007811919320374727 seconds
Request model_1#18 arrives at 1642051.8756559, sleeping for 0.007797118276357651 seconds
Request model_6#37 arrives at 1642051.883894489, sleeping for 0.12361780344508588 seconds
Request model_1#19 arrives at 1642052.00770074, sleeping for 0.09992397134192288 seconds
Request model_5#24 arrives at 1642052.108450226, sleeping for 0.3524326183833182 seconds
Request model_3#14 arrives at 1642052.461657881, sleeping for 0.06598264328204095 seconds
Request model_1#20 arrives at 1642052.528325311, sleeping for 0.058192040771245956 seconds
Request model_1#21 arrives at 1642052.586974153, sleeping for 0.15045830165036023 seconds
Request model_5#25 arrives at 1642052.738020811, sleeping for 0.05469855130650103 seconds
Request model_2#6 arrives at 1642052.793662602, sleeping for 0.050359952962026 seconds
Request model_6#38 arrives at 1642052.844328647, sleeping for 0.04555341531522572 seconds
Request model_5#26 arrives at 1642052.890991973, sleeping for 0.06914408225566149 seconds
Request model_2#7 arrives at 1642052.960703636, sleeping for 0.016206528060138226 seconds
Request model_6#39 arrives at 1642052.977613877, sleeping for 0.05583310592919588 seconds
Request model_3#15 arrives at 1642053.096543174, sleeping for 0.3427136542741209 seconds
Request model_1#22 arrives at 1642053.439687016, sleeping for 0.04063768056221306 seconds
Request model_5#27 arrives at 1642053.480882472, sleeping for 0.28290989249944687 seconds
Request model_2#8 arrives at 1642053.764921429, sleeping for 0.10349298384971917 seconds
Request model_6#40 arrives at 1642053.868589885, sleeping for 0.10589649621397257 seconds
Request model_3#16 arrives at 1642053.975442665, sleeping for 0.05567513406276703 seconds
Request model_6#41 arrives at 1642054.032131674, sleeping for 0.06750723905861378 seconds
Request model_1#23 arrives at 1642054.10107862, sleeping for 0.3827544800005853 seconds
