1787312025.090221936 0, 33804, 1;1, 33818, 3;2, 0, 0;3, 0, 0;
1787312027.430492160 0, 33940, 0;1, 33938, 0;2, 0, 0;3, 0, 0;
1787312029.772740239 0, 33942, 90;1, 33996, 50;2, 0, 0;3, 0, 0;
1787312032.128231851 0, 33942, 63;1, 34216, 42;2, 0, 0;3, 0, 0;
1787312034.448186926 0, 33942, 16;1, 34216, 69;2, 0, 0;3, 0, 0;
1787312036.798309487 0, 34096, 12;1, 34588, 59;2, 0, 0;3, 0, 0;
1787312039.089112945 0, 34096, 26;1, 34872, 52;2, 0, 0;3, 0, 0;
1787312041.430585407 0, 34096, 24;1, 34984, 47;2, 0, 0;3, 0, 0;
1787312043.743497487 0, 34096, 25;1, 34984, 60;2, 0, 0;3, 0, 0;
1787312046.141353600 0, 34096, 6;1, 35032, 23;2, 0, 0;3, 0, 0;
1787312048.573922474 0, 34320, 18;1, 35032, 28;2, 0, 0;3, 0, 0;
1787312050.957365034 0, 34320, 23;1, 35144, 50;2, 0, 0;3, 0, 0;
1787312053.389464533 0, 34538, 12;1, 35144, 38;2, 0, 0;3, 0, 0;
1787312055.744321240 0, 34666, 18;1, 35494, 42;2, 0, 0;3, 0, 0;
1787312058.122040176 0, 34666, 29;1, 35494, 54;2, 0, 0;3, 0, 0;
1787312060.413464408 0, 34666, 19;1, 35494, 27;2, 0, 0;3, 0, 0;
1787312062.822689010 0, 34666, 30;1, 35656, 41;2, 0, 0;3, 0, 0;
1787312065.291333154 0, 34666, 17;1, 35736, 41;2, 0, 0;3, 0, 0;
1787312067.664184312 0, 34760, 45;1, 35736, 49;2, 0, 0;3, 0, 0;
1787312070.010756744 0, 34944, 15;1, 35736, 16;2, 0, 0;3, 0, 0;
1787312072.973871965 0, 36000, 18;1, 35736, 52;2, 0, 0;3, 0, 0;
1787312075.754662505 0, 36536, 65;1, 35736, 47;2, 0, 0;3, 0, 0;
1787312078.286672454 0, 36710, 47;1, 35736, 46;2, 0, 0;3, 0, 0;
1787312080.702108023 0, 36984, 39;1, 35736, 38;2, 0, 0;3, 0, 0;
1787312083.049452822 0, 37240, 18;1, 35736, 27;2, 0, 0;3, 0, 0;
1787312085.546667369 0, 38008, 25;1, 35738, 29;2, 0, 0;3, 0, 0;
1787312087.895245488 0, 38052, 59;1, 35626, 7;2, 0, 0;3, 0, 0;
1787312090.350470697 0, 38436, 69;1, 35514, 0;2, 0, 0;3, 0, 0;
1787312092.865352303 0, 39332, 48;1, 35514, 0;2, 0, 0;3, 0, 0;
1787312095.265948547 0, 39588, 54;1, 35514, 0;2, 0, 0;3, 0, 0;
1787312097.600687817 0, 39588, 71;1, 35514, 0;2, 0, 0;3, 0, 0;
1787312099.936433085 0, 39640, 81;1, 35514, 0;2, 0, 0;3, 0, 0;
1787312102.278191330 0, 39640, 34;1, 35514, 13;2, 0, 0;3, 0, 0;
1787312104.687148149 0, 39896, 12;1, 35514, 21;2, 0, 0;3, 0, 0;
1787312107.203003031 0, 40024, 53;1, 35514, 9;2, 0, 0;3, 0, 0;
