Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r8_s3.pkl
[PRISM_DIRECT] 3372 requests, span 419.5s
Starting TP benchmark: paper-faithful-v6_bursty_rate8_seed3
Generated 3372 requests
Request model_2#0 arrives at 1596431.603690617, sleeping for 0.080082091037184 seconds
Request model_5#0 arrives at 1596431.68489462, sleeping for 0.02386126690544188 seconds
Request model_1#0 arrives at 1596431.708994048, sleeping for 0.10110957897268236 seconds
Request model_3#0 arrives at 1596431.810742942, sleeping for 0.09774196147918701 seconds
Request model_2#1 arrives at 1596431.909500882, sleeping for 0.026481515262275934 seconds
Request model_6#0 arrives at 1596431.937128157, sleeping for 0.18273909855633974 seconds
Request model_6#1 arrives at 1596432.121113452, sleeping for 0.49891563411802053 seconds
Request model_6#2 arrives at 1596432.620956481, sleeping for 0.04515995318070054 seconds
Request model_5#1 arrives at 1596432.66707776, sleeping for 0.577650238526985 seconds
Request model_3#1 arrives at 1596433.244942687, sleeping for 0.22332527954131365 seconds
Request model_1#1 arrives at 1596433.469066725, sleeping for 0.13052826281636953 seconds
Request model_6#3 arrives at 1596433.599915286, sleeping for 0.16542061045765877 seconds
Request model_2#2 arrives at 1596433.765766689, sleeping for 0.04879967914894223 seconds
Request model_2#3 arrives at 1596433.814831432, sleeping for 0.21677311230450869 seconds
Request model_1#2 arrives at 1596434.032831332, sleeping for 0.5847485854756087 seconds
Request model_3#2 arrives at 1596434.618787582, sleeping for 0.022200151113793254 seconds
Request model_6#4 arrives at 1596434.642007633, sleeping for 0.12874844879843295 seconds
Request model_6#5 arrives at 1596434.771772025, sleeping for 0.022440094267949462 seconds
Request model_6#6 arrives at 1596434.794462842, sleeping for 0.2291836638469249 seconds
Request model_6#7 arrives at 1596435.024311365, sleeping for 0.08300169953145087 seconds
Request model_6#8 arrives at 1596435.108455341, sleeping for 0.07683140528388321 seconds
Request model_6#9 arrives at 1596435.186311978, sleeping for 0.21519610076211393 seconds
Request model_3#3 arrives at 1596435.402118451, sleeping for 0.0061672222800552845 seconds
Request model_6#10 arrives at 1596435.409471189, sleeping for 0.08090757206082344 seconds
Request model_3#4 arrives at 1596435.49169993, sleeping for 0.213996208505705 seconds
Request model_3#5 arrives at 1596435.706446955, sleeping for 0.18802089081145823 seconds
Request model_6#11 arrives at 1596435.895176437, sleeping for 0.007339600473642349 seconds
Request model_3#6 arrives at 1596435.903585892, sleeping for 0.11233708681538701 seconds
Request model_1#3 arrives at 1596436.016975966, sleeping for 0.09604870458133519 seconds
Request model_6#12 arrives at 1596436.11362147, sleeping for 0.13909529196098447 seconds
Request model_6#13 arrives at 1596436.254039515, sleeping for 0.2260572798550129 seconds
Request model_6#14 arrives at 1596436.480481501, sleeping for 0.03559332829900086 seconds
Request model_3#7 arrives at 1596436.516723004, sleeping for 0.05188433127477765 seconds
Request model_3#8 arrives at 1596436.569085222, sleeping for 0.01715042511932552 seconds
Request model_6#15 arrives at 1596436.587362235, sleeping for 0 seconds
Request model_3#9 arrives at 1596436.587832979, sleeping for 0.005299533484503627 seconds
Request model_3#10 arrives at 1596436.593946246, sleeping for 0.026252338895574212 seconds
Request model_6#16 arrives at 1596436.621905804, sleeping for 0.0592914093285799 seconds
Request model_3#11 arrives at 1596436.683482405, sleeping for 0.19709917344152927 seconds
Request model_1#4 arrives at 1596436.882660238, sleeping for 0.07508136099204421 seconds
Request model_3#12 arrives at 1596436.958432739, sleeping for 0.09722892404533923 seconds
Request model_2#4 arrives at 1596437.056690425, sleeping for 0.06518493429757655 seconds
Request model_2#5 arrives at 1596437.123030243, sleeping for 0.09789706743322313 seconds
Request model_1#5 arrives at 1596437.221535911, sleeping for 0.12451389874331653 seconds
Request model_5#2 arrives at 1596437.346591986, sleeping for 0.26063730916939676 seconds
Request model_3#13 arrives at 1596437.608144776, sleeping for 0.25573986722156405 seconds
Request model_3#14 arrives at 1596437.864497365, sleeping for 0.09794416115619242 seconds
Request model_3#15 arrives at 1596437.96260632, sleeping for 0.12651520571671426 seconds
Request model_6#17 arrives at 1596438.089559071, sleeping for 0.27417011256329715 seconds
Request model_6#18 arrives at 1596438.364987399, sleeping for 0.05259983683936298 seconds
Request model_1#6 arrives at 1596438.419150031, sleeping for 0.09179392387159169 seconds
Request model_1#7 arrives at 1596438.512175156, sleeping for 0.587060933932662 seconds
Request model_6#19 arrives at 1596439.100679117, sleeping for 0.018876751651987433 seconds
Request model_2#6 arrives at 1596439.120546271, sleeping for 0.06804388458840549 seconds
Request model_6#20 arrives at 1596439.189312578, sleeping for 0.14666700386442244 seconds
Request model_3#16 arrives at 1596439.336462395, sleeping for 0.07701396779157221 seconds
Request model_6#21 arrives at 1596439.414172151, sleeping for 0.05370229808613658 seconds
Request model_3#17 arrives at 1596439.468224593, sleeping for 0.06582891917787492 seconds
Request model_3#18 arrives at 1596439.534812302, sleeping for 0.12655609473586082 seconds
Request model_1#8 arrives at 1596439.662091235, sleeping for 0.07041062624193728 seconds
Request model_3#19 arrives at 1596439.732824777, sleeping for 0.05545021058060229 seconds
Request model_3#20 arrives at 1596439.788541581, sleeping for 0.10333552677184343 seconds
Request model_6#22 arrives at 1596439.892352281, sleeping for 0.04265955416485667 seconds
Request model_3#21 arrives at 1596439.935373326, sleeping for 0.04434143519029021 seconds
Request model_3#22 arrives at 1596439.980432198, sleeping for 0.019368933513760567 seconds
Request model_1#9 arrives at 1596440.000468704, sleeping for 0.05160853895358741 seconds
Request model_5#3 arrives at 1596440.052395169, sleeping for 0.11624916363507509 seconds
Request model_3#23 arrives at 1596440.169725614, sleeping for 0.007863657316192985 seconds
Request model_6#23 arrives at 1596440.178685184, sleeping for 0.24767302558757365 seconds
Request model_6#24 arrives at 1596440.427775067, sleeping for 0.29660465428605676 seconds
Request model_3#24 arrives at 1596440.724696702, sleeping for 0.1816100834403187 seconds
Request model_6#25 arrives at 1596440.906690661, sleeping for 0.1798604151699692 seconds
Request model_6#26 arrives at 1596441.087617323, sleeping for 0.260819568997249 seconds
Request model_1#10 arrives at 1596441.349570666, sleeping for 0.08782545337453485 seconds
Request model_6#27 arrives at 1596441.439520237, sleeping for 0.02718301583081484 seconds
Request model_1#11 arrives at 1596441.467249044, sleeping for 0.1001957452390343 seconds
Request model_1#12 arrives at 1596441.567984949, sleeping for 0.10743121290579438 seconds
Request model_6#28 arrives at 1596441.675972601, sleeping for 0.08527539763599634 seconds
Request model_3#25 arrives at 1596441.76178537, sleeping for 0.008171627763658762 seconds
Request model_6#29 arrives at 1596441.770506689, sleeping for 0.01375868427567184 seconds
Request model_3#26 arrives at 1596441.785276594, sleeping for 0.21391645446419716 seconds
Request model_6#30 arrives at 1596441.999748936, sleeping for 0.10536646121181548 seconds
Request model_6#31 arrives at 1596442.105536062, sleeping for 0.1552624856121838 seconds
Request model_3#27 arrives at 1596442.261013044, sleeping for 0.06198776117525995 seconds
Request model_3#28 arrives at 1596442.323716873, sleeping for 0.22529986477456987 seconds
Request model_3#29 arrives at 1596442.55030372, sleeping for 0.3445957354269922 seconds
Request model_3#30 arrives at 1596442.895537543, sleeping for 0.15943087940104306 seconds
Request model_3#31 arrives at 1596443.055745612, sleeping for 0.3077828192617744 seconds
Request model_3#32 arrives at 1596443.364747512, sleeping for 0.010042289737612009 seconds
Request model_2#7 arrives at 1596443.375922539, sleeping for 0.12019031192176044 seconds
Request model_6#32 arrives at 1596443.497067234, sleeping for 0.03762841853313148 seconds
Request model_3#33 arrives at 1596443.535511074, sleeping for 0.04479250009171665 seconds
Request model_1#13 arrives at 1596443.58115926, sleeping for 0.029562123818323016 seconds
Request model_2#8 arrives at 1596443.611710038, sleeping for 0.008866034913808107 seconds
Request model_3#34 arrives at 1596443.621236413, sleeping for 0.14829861628822982 seconds
Request model_1#14 arrives at 1596443.770300675, sleeping for 0.16885837353765965 seconds
Request model_1#15 arrives at 1596443.939851728, sleeping for 0.3720856620930135 seconds
Request model_1#16 arrives at 1596444.312412503, sleeping for 0.08943628333508968 seconds
Request model_3#35 arrives at 1596444.402528196, sleeping for 0.11982586560770869 seconds
Request model_1#17 arrives at 1596444.524172804, sleeping for 0.006129268556833267 seconds
Request model_6#33 arrives at 1596444.530688205, sleeping for 0.06561601907014847 seconds
Request model_3#36 arrives at 1596444.596868661, sleeping for 0.09244160167872906 seconds
Request model_3#37 arrives at 1596444.690003528, sleeping for 0.7479878054000437 seconds
Request model_3#38 arrives at 1596445.43904848, sleeping for 0.04207017598673701 seconds
Request model_1#18 arrives at 1596445.482248707, sleeping for 0.37741195666603744 seconds
Request model_3#39 arrives at 1596445.860074113, sleeping for 0.002959542442113161 seconds
Request model_3#40 arrives at 1596445.863405009, sleeping for 0.4197254611644894 seconds
Request model_3#41 arrives at 1596446.283818848, sleeping for 0.058322369353845716 seconds
Request model_6#34 arrives at 1596446.343339182, sleeping for 0.03639175044372678 seconds
Request model_1#19 arrives at 1596446.381604631, sleeping for 0 seconds
Request model_6#35 arrives at 1596446.382294296, sleeping for 0.018266741186380386 seconds
Request model_3#42 arrives at 1596446.402242222, sleeping for 0.025766555918380618 seconds
Request model_1#20 arrives at 1596446.43026568, sleeping for 0.08223903947509825 seconds
Request model_1#21 arrives at 1596446.512917795, sleeping for 0.19257098389789462 seconds
Request model_1#22 arrives at 1596446.706192002, sleeping for 0.18588829599320889 seconds
Request model_6#36 arrives at 1596446.892839068, sleeping for 0.03314798837527633 seconds
Request model_6#37 arrives at 1596446.926174098, sleeping for 0.00427058176137507 seconds
Request model_1#23 arrives at 1596446.930884004, sleeping for 0.008637947496026754 seconds
Request model_6#38 arrives at 1596446.941585818, sleeping for 0.18354119989089668 seconds
Request model_3#43 arrives at 1596447.125649844, sleeping for 0.07083848863840103 seconds
Request model_3#44 arrives at 1596447.196650177, sleeping for 0.0320189343765378 seconds
Request model_3#45 arrives at 1596447.229380463, sleeping for 0.05352038913406432 seconds
Request model_3#46 arrives at 1596447.283138402, sleeping for 0.11274708644486964 seconds
Request model_3#47 arrives at 1596447.397130321, sleeping for 0.11216344335116446 seconds
Request model_6#39 arrives at 1596447.510419544, sleeping for 0.15841121738776565 seconds
Request model_6#40 arrives at 1596447.669594776, sleeping for 0.32103104377165437 seconds
Request model_3#48 arrives at 1596447.992164611, sleeping for 0.18134408025071025 seconds
Request model_3#49 arrives at 1596448.174596704, sleeping for 0.404332134174183 seconds
Request model_6#41 arrives at 1596448.579530153, sleeping for 0.15082314633764327 seconds
Request model_6#42 arrives at 1596448.730943443, sleeping for 0.13507145340554416 seconds
Request model_3#50 arrives at 1596448.86648909, sleeping for 0.0463091938290745 seconds
Request model_3#51 arrives at 1596448.913646218, sleeping for 0.3312104013748467 seconds
Request model_6#43 arrives at 1596449.245332905, sleeping for 0.039975355146452785 seconds
Request model_3#52 arrives at 1596449.286114913, sleeping for 0.040340671548619866 seconds
Request model_3#53 arrives at 1596449.327338465, sleeping for 0.13534069154411554 seconds
Request model_1#24 arrives at 1596449.463760639, sleeping for 0.27269908506423235 seconds
Request model_6#44 arrives at 1596449.73703077, sleeping for 0.22970457980409265 seconds
Request model_3#54 arrives at 1596449.967152174, sleeping for 0.08515195967629552 seconds
