timestamp,gpu_id,gpu_utilization,memory_used_mib
1787373301.0810854,0,0,33404
1787373301.0810854,1,0,33428
1787373303.3154876,0,61,33846
1787373303.3154876,1,45,33842
1787373305.560262,0,81,33846
1787373305.560262,1,96,33864
1787373307.7626147,0,99,34036
1787373307.7626147,1,100,33904
1787373309.9430268,0,100,34178
1787373309.9430268,1,100,34400
1787373312.1118627,0,100,34208
1787373312.1118627,1,100,34400
1787373314.3046007,0,100,34708
1787373314.3046007,1,100,34402
1787373316.4717596,0,100,35054
1787373316.4717596,1,100,34406
1787373318.634799,0,100,35054
1787373318.634799,1,100,34646
1787373320.8143668,0,100,35402
1787373320.8143668,1,100,34646
1787373322.9974742,0,100,35402
1787373322.9974742,1,100,35068
1787373325.187965,0,100,35402
1787373325.187965,1,100,35198
1787373327.3553705,0,98,35518
1787373327.3553705,1,100,35534
1787373329.5343711,0,44,35690
1787373329.5343711,1,59,35634
1787373331.7040453,0,100,35690
1787373331.7040453,1,99,35662
1787373333.877498,0,100,35690
1787373333.877498,1,100,35662
1787373336.0358548,0,100,35690
1787373336.0358548,1,100,35550
1787373338.217272,0,99,35690
1787373338.217272,1,100,35438
1787373340.4184606,0,100,35690
1787373340.4184606,1,100,35528
1787373342.6313028,0,100,35690
1787373342.6313028,1,100,35782
1787373344.8515346,0,100,35690
1787373344.8515346,1,100,35782
1787373347.0513284,0,100,35692
1787373347.0513284,1,100,35782
1787373349.2898276,0,100,35692
1787373349.2898276,1,100,35782
1787373351.4958875,0,100,35692
1787373351.4958875,1,99,35782
1787373353.723891,0,100,35692
1787373353.723891,1,100,35782
1787373355.9523284,0,100,35692
1787373355.9523284,1,100,35882
1787373358.1384177,0,100,35692
1787373358.1384177,1,99,35994
1787373360.3391395,0,100,35692
1787373360.3391395,1,100,35994
1787373362.5453238,0,100,35692
1787373362.5453238,1,100,35994
1787373364.7595363,0,100,35692
1787373364.7595363,1,100,35994
1787373366.9833012,0,99,35692
1787373366.9833012,1,100,35994
1787373369.1898096,0,100,35692
1787373369.1898096,1,100,35994
1787373371.390756,0,100,35858
1787373371.390756,1,100,35994
1787373373.6084092,0,100,35858
1787373373.6084092,1,100,35994
1787373375.8521507,0,100,35858
1787373375.8521507,1,100,35994
1787373378.026207,0,100,35966
1787373378.026207,1,100,35994
1787373380.2056131,0,100,35968
1787373380.2056131,1,100,35994
1787373382.3884687,0,60,35968
1787373382.3884687,1,64,35994
1787373384.7356324,0,100,35968
1787373384.7356324,1,100,35994
1787373386.929794,0,99,35968
1787373386.929794,1,100,35882
1787373389.119293,0,99,35968
1787373389.119293,1,100,35770
1787373391.2655413,0,99,35840
1787373391.2655413,1,100,35770
1787373393.4462924,0,99,36054
1787373393.4462924,1,100,35770
1787373395.6378193,0,99,36054
1787373395.6378193,1,100,35770
1787373397.7970371,0,99,36054
1787373397.7970371,1,100,35770
1787373399.99525,0,100,36054
1787373399.99525,1,100,35770
1787373402.1556838,0,98,36054
1787373402.1556838,1,100,35770
1787373404.3381436,0,100,36054
1787373404.3381436,1,99,35770
1787373406.4960375,0,100,36054
1787373406.4960375,1,100,35770
1787373408.6594183,0,99,36182
1787373408.6594183,1,100,35770
1787373410.8424828,0,100,36182
1787373410.8424828,1,100,35770
1787373413.0028884,0,100,36182
1787373413.0028884,1,100,35770
1787373415.1432831,0,100,36182
1787373415.1432831,1,100,35770
1787373417.3190768,0,98,36182
1787373417.3190768,1,100,35770
1787373419.4827933,0,99,36182
1787373419.4827933,1,100,35882
1787373421.664645,0,98,36182
1787373421.664645,1,100,35882
1787373423.8596752,0,100,36182
1787373423.8596752,1,100,35882
1787373426.0185804,0,72,36182
1787373426.0185804,1,81,35882
1787373428.287843,0,100,36182
1787373428.287843,1,100,35882
1787373430.497893,0,100,36182
1787373430.497893,1,100,35882
1787373432.7198908,0,100,36182
1787373432.7198908,1,100,35882
1787373434.9579117,0,100,36234
1787373434.9579117,1,100,35882
1787373437.1842008,0,100,36234
1787373437.1842008,1,100,35882
1787373439.423225,0,99,36234
1787373439.423225,1,100,35882
1787373441.6468482,0,100,36234
1787373441.6468482,1,100,35882
1787373443.8686233,0,99,36234
1787373443.8686233,1,100,35882
1787373446.0663977,0,100,36234
1787373446.0663977,1,100,35882
1787373448.2958386,0,98,36234
1787373448.2958386,1,100,35882
1787373450.4985433,0,100,36234
1787373450.4985433,1,100,35882
1787373452.7203965,0,100,36234
1787373452.7203965,1,100,35882
1787373454.906346,0,100,36234
1787373454.906346,1,100,35882
1787373457.1083097,0,100,36234
1787373457.1083097,1,100,35882
1787373459.3089845,0,95,36234
1787373459.3089845,1,67,36312
1787373461.6052063,0,100,36234
1787373461.6052063,1,100,36312
