1787373301.081085395 0, 33404, 0;1, 33428, 0;
1787373303.315487541 0, 33846, 61;1, 33842, 45;
1787373305.560261864 0, 33846, 81;1, 33864, 96;
1787373307.762614828 0, 34036, 99;1, 33904, 100;
1787373309.943026787 0, 34178, 100;1, 34400, 100;
1787373312.111862590 0, 34208, 100;1, 34400, 100;
1787373314.304600798 0, 34708, 100;1, 34402, 100;
1787373316.471759648 0, 35054, 100;1, 34406, 100;
1787373318.634799101 0, 35054, 100;1, 34646, 100;
1787373320.814366720 0, 35402, 100;1, 34646, 100;
1787373322.997474152 0, 35402, 100;1, 35068, 100;
1787373325.187964922 0, 35402, 100;1, 35198, 100;
1787373327.355370479 0, 35518, 98;1, 35534, 100;
1787373329.534371252 0, 35690, 44;1, 35634, 59;
1787373331.704045343 0, 35690, 100;1, 35662, 99;
1787373333.877497928 0, 35690, 100;1, 35662, 100;
1787373336.035854823 0, 35690, 100;1, 35550, 100;
1787373338.217271929 0, 35690, 99;1, 35438, 100;
1787373340.418460652 0, 35690, 100;1, 35528, 100;
1787373342.631302732 0, 35690, 100;1, 35782, 100;
1787373344.851534719 0, 35690, 100;1, 35782, 100;
1787373347.051328322 0, 35692, 100;1, 35782, 100;
1787373349.289827547 0, 35692, 100;1, 35782, 100;
1787373351.495887589 0, 35692, 100;1, 35782, 99;
1787373353.723890904 0, 35692, 100;1, 35782, 100;
1787373355.952328431 0, 35692, 100;1, 35882, 100;
1787373358.138417690 0, 35692, 100;1, 35994, 99;
1787373360.339139373 0, 35692, 100;1, 35994, 100;
1787373362.545323822 0, 35692, 100;1, 35994, 100;
1787373364.759536193 0, 35692, 100;1, 35994, 100;
1787373366.983301274 0, 35692, 99;1, 35994, 100;
1787373369.189809500 0, 35692, 100;1, 35994, 100;
1787373371.390755788 0, 35858, 100;1, 35994, 100;
1787373373.608409262 0, 35858, 100;1, 35994, 100;
1787373375.852150788 0, 35858, 100;1, 35994, 100;
1787373378.026206932 0, 35966, 100;1, 35994, 100;
1787373380.205613018 0, 35968, 100;1, 35994, 100;
1787373382.388468663 0, 35968, 60;1, 35994, 64;
1787373384.735632411 0, 35968, 100;1, 35994, 100;
1787373386.929793984 0, 35968, 99;1, 35882, 100;
1787373389.119293037 0, 35968, 99;1, 35770, 100;
1787373391.265541260 0, 35840, 99;1, 35770, 100;
1787373393.446292358 0, 36054, 99;1, 35770, 100;
1787373395.637819276 0, 36054, 99;1, 35770, 100;
1787373397.797037055 0, 36054, 99;1, 35770, 100;
1787373399.995249900 0, 36054, 100;1, 35770, 100;
1787373402.155683805 0, 36054, 98;1, 35770, 100;
1787373404.338143593 0, 36054, 100;1, 35770, 99;
1787373406.496037448 0, 36054, 100;1, 35770, 100;
1787373408.659418337 0, 36182, 99;1, 35770, 100;
1787373410.842482871 0, 36182, 100;1, 35770, 100;
1787373413.002888417 0, 36182, 100;1, 35770, 100;
1787373415.143283202 0, 36182, 100;1, 35770, 100;
1787373417.319076736 0, 36182, 98;1, 35770, 100;
1787373419.482793377 0, 36182, 99;1, 35882, 100;
1787373421.664645063 0, 36182, 98;1, 35882, 100;
1787373423.859675138 0, 36182, 100;1, 35882, 100;
1787373426.018580547 0, 36182, 72;1, 35882, 81;
1787373428.287842992 0, 36182, 100;1, 35882, 100;
1787373430.497893117 0, 36182, 100;1, 35882, 100;
1787373432.719890861 0, 36182, 100;1, 35882, 100;
1787373434.957911774 0, 36234, 100;1, 35882, 100;
1787373437.184200787 0, 36234, 100;1, 35882, 100;
1787373439.423224826 0, 36234, 99;1, 35882, 100;
1787373441.646848127 0, 36234, 100;1, 35882, 100;
1787373443.868623290 0, 36234, 99;1, 35882, 100;
1787373446.066397614 0, 36234, 100;1, 35882, 100;
1787373448.295838510 0, 36234, 98;1, 35882, 100;
1787373450.498543328 0, 36234, 100;1, 35882, 100;
1787373452.720396559 0, 36234, 100;1, 35882, 100;
1787373454.906346026 0, 36234, 100;1, 35882, 100;
1787373457.108309801 0, 36234, 100;1, 35882, 100;
