request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.002523480954177426,4.169298400909238,76,202,0.05980801582336426,0.020295052245111748,4.16677491995506,0.16103267669677734,0.027996310964226723,1,1,1,1,0
model_4#0,model_4,0.0415102274427781,10.194645367636404,84,384,0.05115342140197754,0.02628955307106177,10.153135140193626,0.26418447494506836,0.0371999591588974,1,1,1,1,0
model_5#0,model_5,0.22465751581385085,0.9602982679431076,356,16,0.09564805030822754,0.03967198729515076,0.7356407521292567,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#1,model_5,0.28132731520425613,13.580387798201704,22,384,0.08915400505065918,0.034382324665784836,13.299060482997447,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_2#1,model_2,1.4618924827709523,7.211224201780158,90,248,0.05231761932373047,0.022945766487429218,5.749331719009206,0.16103267669677734,0.027996310964226723,1,1,1,1,0
model_6#0,model_6,1.6462796414476166,3.988812494577868,163,69,0.12509560585021973,0.03208039117896039,2.342532853130251,0.4948878288269043,0.03492606058716774,1,1,1,1,0
model_5#2,model_5,1.750790930846804,3.0880400957820053,142,47,0.05876636505126953,0.027121153283626475,1.3372491649352014,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_5#3,model_5,1.88050304849805,6.23334923650311,10,157,0.041220664978027344,0.027434014970329917,4.35284618800506,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_6#1,model_6,1.889431746837087,9.099077415813095,23,226,0.07387208938598633,0.03155245823142803,7.209645668976009,0.4948878288269043,0.03492606058716774,1,1,1,1,0
model_5#4,model_5,2.0126397074514157,4.322128773465482,10,84,0.04873824119567871,0.026875200725737073,2.3094890660140663,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_4#1,model_4,2.160692179385224,9.550357817481855,27,277,0.04820108413696289,0.02648068593297194,7.389665638096631,0.26418447494506836,0.0371999591588974,1,1,1,1,0
model_3#0,model_3,2.2698841039647144,7.949061253862156,17,195,0.162308931350708,0.02826865025055714,5.679177149897441,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_3#1,model_3,2.610902307646852,13.03081997167183,8,384,0.0563654899597168,0.026969261467456818,10.419917664024979,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_3#2,model_3,2.8185474409700784,4.848831286931173,359,78,0.0700080394744873,0.025077248230958596,2.030283845961094,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_3#3,model_3,2.835761642038739,13.174686565019107,8,384,0.08483505249023438,0.026687435805797577,10.338924922980368,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_1#0,model_1,3.342000038713251,3.986625343911384,483,32,0.09592580795288086,0.017000816762447357,0.644625305198133,0.11985421180725098,0.019033251330256462,1,1,1,1,0
model_3#4,model_3,3.490384733336944,4.151053233337555,308,27,0.05624890327453613,0.022205573541146738,0.660668500000611,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_6#2,model_6,3.7691707400919094,12.069409053012464,17,260,0.05895113945007324,0.03167338921473577,8.300238312920555,0.4948878288269043,0.03492606058716774,1,1,1,1,0
model_5#5,model_5,3.956488439430066,11.844658641227104,68,225,0.05281782150268555,0.03479562547471788,7.888170201797038,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_4#2,model_4,4.00364417736289,4.691553345321314,18,29,0.06327366828918457,0.021385398404351597,0.6879091679584235,0.26418447494506836,0.0371999591588974,1,1,1,1,0
model_5#6,model_5,4.005281543846262,5.531450195957927,175,56,0.06316018104553223,0.026070845978600637,1.5261686521116644,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_5#7,model_5,4.201978190617856,19.08179660053201,16,384,0.05052328109741211,0.038600765789548554,14.87981840991415,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_5#8,model_5,4.470343342757273,6.357215408709321,56,66,0.059104204177856445,0.027640826774365974,1.8868720659520477,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_3#5,model_3,4.674101053384558,7.680663556439296,297,99,0.05655527114868164,0.029752663891724866,3.006562503054738,0.2780747413635254,0.03177899122238159,1,1,1,1,0
model_5#9,model_5,4.806411151792922,5.986366774905541,474,41,0.10190868377685547,0.02618410529159918,1.179955623112619,0.5492794513702393,0.0383455865085125,1,1,1,1,0
