timestamp,gpu_id,gpu_utilization,memory_used_mib
1787377398.6677704,0,0,33554
1787377398.6677704,1,0,33548
1787377401.0694795,0,0,33844
1787377401.0694795,1,0,33842
1787377403.47304,0,0,33846
1787377403.47304,1,71,33904
1787377405.9408922,0,15,34070
1787377405.9408922,1,5,33962
1787377408.4563627,0,83,34170
1787377408.4563627,1,71,34400
1787377410.717766,0,6,34306
1787377410.717766,1,0,34400
1787377413.2827451,0,1,34932
1787377413.2827451,1,5,34406
1787377416.0947487,0,0,35106
1787377416.0947487,1,0,34460
1787377418.7761765,0,10,35536
1787377418.7761765,1,65,34982
1787377421.2009685,0,5,35608
1787377421.2009685,1,0,35292
1787377423.7130203,0,0,35936
1787377423.7130203,1,8,35534
1787377426.0950062,0,14,36112
1787377426.0950062,1,57,35778
1787377428.6132843,0,8,36240
1787377428.6132843,1,0,35858
1787377431.1051927,0,4,36362
1787377431.1051927,1,6,35886
1787377433.6371384,0,14,36368
1787377433.6371384,1,74,35886
1787377436.080697,0,0,36368
1787377436.080697,1,73,35886
1787377438.538806,0,1,36370
1787377438.538806,1,3,35960
1787377440.982879,0,6,36370
1787377440.982879,1,96,36230
1787377443.4855487,0,18,36370
1787377443.4855487,1,85,36230
1787377445.8990273,0,29,36374
1787377445.8990273,1,80,36342
1787377448.3187423,0,10,36374
1787377448.3187423,1,48,36342
1787377450.9170363,0,10,36374
1787377450.9170363,1,40,36342
1787377453.519833,0,7,36400
1787377453.519833,1,6,36442
1787377456.2259996,0,7,36438
1787377456.2259996,1,61,36442
1787377458.722942,0,14,36438
1787377458.722942,1,23,36442
1787377461.2273896,0,4,36438
1787377461.2273896,1,8,36442
1787377463.6742594,0,1,36438
1787377463.6742594,1,30,36442
1787377466.3439803,0,14,36438
1787377466.3439803,1,90,36442
1787377468.801664,0,10,36438
1787377468.801664,1,35,36442
1787377471.2790244,0,14,36566
1787377471.2790244,1,83,36442
1787377474.0659182,0,5,36610
1787377474.0659182,1,57,36442
1787377476.5380828,0,10,36738
1787377476.5380828,1,0,36442
1787377479.0755963,0,10,36738
1787377479.0755963,1,79,36442
1787377481.6021028,0,14,36738
1787377481.6021028,1,0,36442
1787377484.0749052,0,19,36738
1787377484.0749052,1,42,36442
1787377486.5952523,0,4,36738
1787377486.5952523,1,6,36442
1787377489.2466662,0,14,36738
1787377489.2466662,1,18,36406
1787377491.9736726,0,0,36808
1787377491.9736726,1,61,36218
1787377494.4877799,0,12,36808
1787377494.4877799,1,14,36218
1787377496.99071,0,2,36808
1787377496.99071,1,56,36218
1787377499.5397568,0,10,36808
1787377499.5397568,1,0,36218
1787377502.352087,0,0,36808
1787377502.352087,1,0,36106
1787377504.9515557,0,15,36808
1787377504.9515557,1,40,36106
1787377507.5429432,0,14,36936
1787377507.5429432,1,17,36106
1787377510.1727624,0,15,36936
1787377510.1727624,1,62,36218
1787377512.6292343,0,13,36936
1787377512.6292343,1,63,36218
1787377515.2554991,0,14,36936
1787377515.2554991,1,32,36218
1787377517.770706,0,5,36936
1787377517.770706,1,2,36218
1787377520.3373582,0,13,36936
1787377520.3373582,1,0,36218
1787377522.9150755,0,20,36936
1787377522.9150755,1,49,36218
1787377525.3962088,0,18,36936
1787377525.3962088,1,0,36218
1787377527.9768443,0,17,36936
1787377527.9768443,1,67,36218
1787377530.475832,0,14,36936
1787377530.475832,1,21,36106
1787377533.0968294,0,9,36988
1787377533.0968294,1,14,36106
1787377535.6455884,0,2,36988
1787377535.6455884,1,0,36106
1787377538.347214,0,3,36988
1787377538.347214,1,15,36106
1787377540.911331,0,17,37052
1787377540.911331,1,0,36106
1787377543.4382315,0,24,37052
1787377543.4382315,1,2,36106
1787377546.0399354,0,3,37052
1787377546.0399354,1,28,36106
1787377548.5565825,0,2,37052
1787377548.5565825,1,21,36218
1787377551.3417776,0,15,37052
1787377551.3417776,1,0,36332
1787377553.9442732,0,14,37052
1787377553.9442732,1,0,36332
1787377556.5986507,0,10,37052
1787377556.5986507,1,9,36650
1787377559.1738088,0,14,37052
1787377559.1738088,1,8,36762
1787377561.8703988,0,15,37052
1787377561.8703988,1,0,36874
1787377564.6498144,0,0,37052
1787377564.6498144,1,2,36874
1787377567.507293,0,12,36924
1787377567.507293,1,0,36874
1787377570.225301,0,14,36924
1787377570.225301,1,5,36874
1787377572.7494125,0,16,36924
1787377572.7494125,1,9,36874
1787377575.3512433,0,16,36924
1787377575.3512433,1,67,36874
1787377578.0101178,0,0,36924
1787377578.0101178,1,27,36874
