Real trace file: /root/Prism-final-regression-diagnosis/exp/results/final-regression-diagnosis/workloads/steady_r8_s1.pkl
[PRISM_DIRECT] 3387 requests, span 419.8s
Starting TP benchmark: paper-alg2-only_steady_rate8_seed1
Generated 3387 requests
Request model_2#0 arrives at 1660525.713348235, sleeping for 0.002522500930353999 seconds
Request model_4#0 arrives at 1660525.716502816, sleeping for 0.038354026386514306 seconds
Request model_5#0 arrives at 1660525.755972396, sleeping for 0.18203178490512073 seconds
Request model_5#1 arrives at 1660525.938894624, sleeping for 0.05577955627813935 seconds
Request model_2#1 arrives at 1660525.995620398, sleeping for 1.1796189099550247 seconds
Request model_6#0 arrives at 1660527.175753444, sleeping for 0.1838739225640893 seconds
Request model_5#2 arrives at 1660527.360942466, sleeping for 0.10319543001241982 seconds
Request model_5#3 arrives at 1660527.465816378, sleeping for 0.1280341655947268 seconds
Request model_6#1 arrives at 1660527.595070611, sleeping for 0.007708770921453834 seconds
Request model_5#4 arrives at 1660527.603422236, sleeping for 0.12256504641845822 seconds
Request model_4#1 arrives at 1660527.726602029, sleeping for 0.14743772544898093 seconds
Request model_3#0 arrives at 1660527.874698875, sleeping for 0.10853239404968917 seconds
Request model_3#1 arrives at 1660527.984061707, sleeping for 0.3401873856782913 seconds
Request model_3#2 arrives at 1660528.325086667, sleeping for 0.206808048998937 seconds
Request model_3#3 arrives at 1660528.534128597, sleeping for 0.014980190200731158 seconds
Request model_1#0 arrives at 1660528.549947741, sleeping for 0.505399493034929 seconds
Request model_3#4 arrives at 1660529.05613715, sleeping for 0.14759478834457695 seconds
Request model_6#2 arrives at 1660529.204457879, sleeping for 0.27806036616675556 seconds
Request model_5#5 arrives at 1660529.483643371, sleeping for 0.18619204335846007 seconds
Request model_4#2 arrives at 1660529.671540491, sleeping for 0.04545060149393976 seconds
Request model_5#6 arrives at 1660529.717233653, sleeping for 0.0013946660328656435 seconds
Request model_5#7 arrives at 1660529.718858953, sleeping for 0.19646599260158837 seconds
Request model_5#8 arrives at 1660529.915684212, sleeping for 0.26800677576102316 seconds
Request model_3#5 arrives at 1660530.184937328, sleeping for 0.2025107303634286 seconds
Request model_5#9 arrives at 1660530.387774647, sleeping for 0.13198332977481186 seconds
Request model_3#6 arrives at 1660530.520742434, sleeping for 0.12327555171214044 seconds
Request model_5#10 arrives at 1660530.644852053, sleeping for 0.16597454552538693 seconds
Request model_3#7 arrives at 1660530.811732604, sleeping for 0.20831460249610245 seconds
Request model_4#3 arrives at 1660531.020792133, sleeping for 0.055650074733421206 seconds
Request model_4#4 arrives at 1660531.076693152, sleeping for 0.030600865138694644 seconds
Request model_3#8 arrives at 1660531.108425832, sleeping for 0.009832647163420916 seconds
Request model_5#11 arrives at 1660531.119111302, sleeping for 0.14033846464008093 seconds
Request model_5#12 arrives at 1660531.260065102, sleeping for 0.03628182364627719 seconds
Request model_3#9 arrives at 1660531.297754141, sleeping for 0.1748715597204864 seconds
Request model_3#10 arrives at 1660531.474575437, sleeping for 0.09705828339792788 seconds
