1787377398.667770333 0, 33554, 0;1, 33548, 0;
1787377401.069479349 0, 33844, 0;1, 33842, 0;
1787377403.473039998 0, 33846, 0;1, 33904, 71;
1787377405.940892310 0, 34070, 15;1, 33962, 5;
1787377408.456362678 0, 34170, 83;1, 34400, 71;
1787377410.717766068 0, 34306, 6;1, 34400, 0;
1787377413.282745061 0, 34932, 1;1, 34406, 5;
1787377416.094748794 0, 35106, 0;1, 34460, 0;
1787377418.776176366 0, 35536, 10;1, 34982, 65;
1787377421.200968484 0, 35608, 5;1, 35292, 0;
1787377423.713020328 0, 35936, 0;1, 35534, 8;
1787377426.095006114 0, 36112, 14;1, 35778, 57;
1787377428.613284438 0, 36240, 8;1, 35858, 0;
1787377431.105192759 0, 36362, 4;1, 35886, 6;
1787377433.637138413 0, 36368, 14;1, 35886, 74;
1787377436.080697125 0, 36368, 0;1, 35886, 73;
1787377438.538806022 0, 36370, 1;1, 35960, 3;
1787377440.982878957 0, 36370, 6;1, 36230, 96;
1787377443.485548649 0, 36370, 18;1, 36230, 85;
1787377445.899027282 0, 36374, 29;1, 36342, 80;
1787377448.318742165 0, 36374, 10;1, 36342, 48;
1787377450.917036407 0, 36374, 10;1, 36342, 40;
1787377453.519833058 0, 36400, 7;1, 36442, 6;
1787377456.225999592 0, 36438, 7;1, 36442, 61;
1787377458.722942005 0, 36438, 14;1, 36442, 23;
1787377461.227389598 0, 36438, 4;1, 36442, 8;
1787377463.674259470 0, 36438, 1;1, 36442, 30;
1787377466.343980208 0, 36438, 14;1, 36442, 90;
1787377468.801664030 0, 36438, 10;1, 36442, 35;
1787377471.279024354 0, 36566, 14;1, 36442, 83;
1787377474.065918312 0, 36610, 5;1, 36442, 57;
1787377476.538082750 0, 36738, 10;1, 36442, 0;
1787377479.075596418 0, 36738, 10;1, 36442, 79;
1787377481.602102733 0, 36738, 14;1, 36442, 0;
1787377484.074905164 0, 36738, 19;1, 36442, 42;
1787377486.595252219 0, 36738, 4;1, 36442, 6;
1787377489.246666228 0, 36738, 14;1, 36406, 18;
1787377491.973672713 0, 36808, 0;1, 36218, 61;
1787377494.487779920 0, 36808, 12;1, 36218, 14;
1787377496.990709989 0, 36808, 2;1, 36218, 56;
1787377499.539756873 0, 36808, 10;1, 36218, 0;
1787377502.352086995 0, 36808, 0;1, 36106, 0;
1787377504.951555634 0, 36808, 15;1, 36106, 40;
1787377507.542943163 0, 36936, 14;1, 36106, 17;
1787377510.172762294 0, 36936, 15;1, 36218, 62;
1787377512.629234292 0, 36936, 13;1, 36218, 63;
1787377515.255499231 0, 36936, 14;1, 36218, 32;
1787377517.770705954 0, 36936, 5;1, 36218, 2;
1787377520.337358186 0, 36936, 13;1, 36218, 0;
1787377522.915075653 0, 36936, 20;1, 36218, 49;
1787377525.396208651 0, 36936, 18;1, 36218, 0;
1787377527.976844398 0, 36936, 17;1, 36218, 67;
1787377530.475832064 0, 36936, 14;1, 36106, 21;
1787377533.096829419 0, 36988, 9;1, 36106, 14;
1787377535.645588453 0, 36988, 2;1, 36106, 0;
1787377538.347213938 0, 36988, 3;1, 36106, 15;
1787377540.911330920 0, 37052, 17;1, 36106, 0;
1787377543.438231489 0, 37052, 24;1, 36106, 2;
1787377546.039935331 0, 37052, 3;1, 36106, 28;
1787377548.556582398 0, 37052, 2;1, 36218, 21;
1787377551.341777643 0, 37052, 15;1, 36332, 0;
1787377553.944273311 0, 37052, 14;1, 36332, 0;
1787377556.598650630 0, 37052, 10;1, 36650, 9;
1787377559.173808870 0, 37052, 14;1, 36762, 8;
1787377561.870398859 0, 37052, 15;1, 36874, 0;
1787377564.649814289 0, 37052, 0;1, 36874, 2;
1787377567.507292869 0, 36924, 12;1, 36874, 0;
1787377570.225301107 0, 36924, 14;1, 36874, 5;
1787377572.749412549 0, 36924, 16;1, 36874, 9;
1787377575.351243212 0, 36924, 16;1, 36874, 67;
1787377578.010117724 0, 36924, 0;1, 36874, 27;
1787377580.507727528 0, 36924, 16;1, 36874, 0;
1787377583.093894351 0, 36924, 6;1, 36874, 0;
1787377585.744389984 0, 36924, 14;1, 37026, 91;
1787377588.292504580 0, 36924, 0;1, 36578, 42;
1787377590.824827932 0, 36980, 22;1, 36466, 4;
1787377593.325480422 0, 36980, 27;1, 36466, 46;
1787377595.961061868 0, 36980, 10;1, 36466, 0;
1787377598.606528025 0, 37108, 10;1, 36690, 13;
1787377601.145718966 0, 37108, 1;1, 36690, 21;
1787377603.726855669 0, 37108, 51;1, 36908, 2;
1787377606.167984225 0, 37108, 0;1, 37020, 39;
1787377608.812976175 0, 37108, 14;1, 37190, 97;
1787377611.315570315 0, 37108, 14;1, 37190, 83;
1787377613.959933798 0, 37108, 42;1, 37190, 4;
1787377616.435475433 0, 37108, 6;1, 37190, 0;
1787377619.059552116 0, 37108, 13;1, 37190, 65;
1787377621.662306382 0, 37108, 43;1, 37190, 23;
1787377624.098168978 0, 37108, 9;1, 37190, 53;
1787377626.589484810 0, 37108, 13;1, 37190, 58;
1787377629.055480633 0, 37108, 8;1, 37190, 67;
1787377631.682979489 0, 37108, 12;1, 37190, 63;
1787377634.107032938 0, 37108, 0;1, 37190, 38;
1787377636.636322337 0, 37108, 14;1, 37190, 63;
1787377639.123366211 0, 37108, 21;1, 37190, 0;
1787377641.815566489 0, 37108, 0;1, 37190, 2;
1787377644.647161911 0, 36724, 15;1, 37190, 71;
1787377647.165622464 0, 36724, 15;1, 37190, 0;
1787377649.871724081 0, 36724, 6;1, 37190, 0;
1787377652.502359870 0, 36724, 13;1, 37190, 61;
1787377655.188402273 0, 36724, 24;1, 37190, 14;
1787377657.664646008 0, 36724, 24;1, 37190, 51;
1787377660.209558659 0, 36724, 14;1, 37190, 35;
1787377662.807086308 0, 36724, 13;1, 37190, 0;
1787377665.359309218 0, 36724, 16;1, 37190, 17;
1787377667.899273819 0, 36724, 22;1, 37190, 100;
1787377670.451026813 0, 36892, 20;1, 37302, 62;
1787377673.109628966 0, 36892, 24;1, 37302, 23;
1787377675.695608267 0, 36892, 14;1, 37302, 2;
1787377678.238807138 0, 36892, 4;1, 37302, 63;
1787377680.730612516 0, 36892, 14;1, 37302, 17;
1787377683.232975727 0, 36892, 30;1, 37302, 30;
1787377685.669462720 0, 36892, 59;1, 37302, 0;
1787377689.744257919 0, 36892, 38;1, 37302, 85;
1787377691.955411112 0, 36892, 1;1, 37302, 11;
1787377694.633400669 0, 36892, 21;1, 37302, 0;
1787377697.350572158 0, 36892, 0;1, 37302, 15;
1787377700.052046525 0, 37180, 7;1, 37302, 57;
1787377702.825903597 0, 37276, 4;1, 37302, 29;
1787377705.578986548 0, 37276, 2;1, 37302, 0;
1787377708.382647515 0, 37276, 19;1, 37078, 6;
1787377711.363968247 0, 37276, 100;1, 37078, 100;
1787377713.605969883 0, 37276, 67;1, 37254, 28;
1787377715.927779961 0, 37276, 8;1, 37254, 8;
1787377718.486466506 0, 37278, 7;1, 37254, 0;
1787377721.467708499 0, 37916, 6;1, 37366, 62;
1787377724.401096585 0, 38044, 14;1, 37366, 18;
