request_id,model,arrival_time,completion_time,prompt_tokens,output_tokens,ttft_s,tpot_s,e2e_s,ttft_slo_s,tpot_slo_s,ttft_slo_met,tpot_slo_met,joint_slo_met,success,in_measurement_window
model_2#0,model_2,0.002523480954177426,5.262112323932879,76,202,0.045699119567871094,0.025780468884080945,5.259588842978701,0.16103267669677734,0.027996310964226723,1,1,1,1,0
model_4#0,model_4,0.0415102274427781,18.811215817303456,84,384,0.04644179344177246,0.04874269353846709,18.769705589860678,0.26418447494506836,0.0371999591588974,1,0,0,1,0
model_5#0,model_5,0.22465751581385085,1.194730025767603,356,16,0.5476939678192139,0.026155248284339905,0.9700725099537522,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_5#1,model_5,0.28132731520425613,30.16771047009941,22,384,0.5772812366485596,0.07631072588264942,29.886383154895157,0.5492794513702393,0.0383455865085125,0,0,0,1,0
model_2#1,model_2,1.4618924827709523,12.011969150688845,90,248,0.05896615982055664,0.0422801221570661,10.550076667917892,0.16103267669677734,0.027996310964226723,1,0,0,1,0
model_6#0,model_6,1.6462796414476166,4.630622052375255,163,69,0.3643929958343506,0.037908899611321045,2.9843424109276384,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#2,model_5,1.750790930846804,3.812773176031285,142,47,0.2925405502319336,0.03755631345383664,2.061982245184481,0.5492794513702393,0.0383455865085125,1,1,1,1,0
model_5#3,model_5,1.88050304849805,13.08212243447253,10,157,0.16323184967041016,0.07027649879455566,11.201619385974482,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_6#1,model_6,1.889431746837087,13.501346359888426,23,226,0.1441504955291748,0.05071665438930545,11.61191461305134,0.4948878288269043,0.03492606058716774,1,0,0,1,0
model_5#4,model_5,2.0126397074514157,5.886063594402475,10,84,0.06104779243469238,0.045341417902991885,3.873423886951059,0.5492794513702393,0.0383455865085125,1,0,0,1,0
model_4#1,model_4,2.160692179385224,16.24375687753374,27,277,0.0465395450592041,0.05064159696282893,14.083064698148519,0.26418447494506836,0.0371999591588974,1,0,0,1,0
model_3#0,model_3,2.2698841039647144,12.507734231939239,17,195,0.06929254531860352,0.05212474236121545,10.237850127974525,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_3#1,model_3,2.610902307646852,22.188327445740384,8,384,0.06674313545227051,0.0507866150389115,19.57742513809353,0.2780747413635254,0.03177899122238159,1,0,0,1,0
model_3#2,model_3,2.8185474409700784,7.705635715087638,359,78,0.43177223205566406,0.05707246829301883,4.887088274117559,0.2780747413635254,0.03177899122238159,0,0,0,1,0
model_3#3,model_3,2.835761642038739,22.268509485946886,8,384,0.48885631561279297,0.049315674851338066,19.432747843908146,0.2780747413635254,0.03177899122238159,0,0,0,1,0
model_1#0,model_1,3.342000038713251,4.2590167486351325,483,32,0.07895970344543457,0.026024267077445984,0.9170167099218816,0.11985421180725098,0.019033251330256462,1,0,0,1,0
