1787382645.407507310 0, 33800, 3;1, 33840, 0;
1787382648.203277002 0, 33846, 0;1, 33862, 0;
1787382651.138223318 0, 33882, 0;1, 33904, 25;
1787382653.894360420 0, 34178, 9;1, 34290, 21;
1787382656.585424073 0, 34208, 0;1, 34394, 0;
1787382659.226949542 0, 34702, 0;1, 34400, 17;
1787382661.772286569 0, 35034, 3;1, 34400, 0;
1787382664.439388319 0, 35418, 6;1, 34814, 7;
1787382667.462623371 0, 35418, 21;1, 35254, 29;
1787382670.452831843 0, 35818, 17;1, 35496, 0;
1787382673.358634621 0, 36490, 66;1, 36044, 44;
1787382675.731334377 0, 36490, 0;1, 36072, 0;
1787382678.572562078 0, 36490, 29;1, 36072, 39;
1787382681.507153219 0, 36490, 0;1, 36072, 0;
1787382684.563098429 0, 36492, 43;1, 36274, 9;
1787382687.645884729 0, 36492, 23;1, 36528, 26;
1787382690.727652680 0, 36492, 100;1, 36640, 100;
1787382692.945582210 0, 36492, 74;1, 36640, 32;
1787382695.308698848 0, 36492, 41;1, 36640, 26;
1787382698.298213194 0, 36572, 100;1, 36640, 100;
1787382700.689850804 0, 36892, 2;1, 36740, 10;
1787382703.060140703 0, 36892, 0;1, 36740, 0;
1787382706.066567373 0, 37276, 100;1, 36740, 100;
1787382708.462987526 0, 37276, 51;1, 36740, 70;
1787382710.877956328 0, 37276, 67;1, 36742, 15;
1787382713.782819294 0, 37276, 32;1, 36742, 33;
1787382716.885773973 0, 37442, 32;1, 36742, 36;
1787382719.933976861 0, 37442, 37;1, 36742, 21;
1787382723.064913608 0, 37486, 34;1, 36742, 28;
1787382726.168160856 0, 37486, 100;1, 36742, 100;
1787382728.401497720 0, 37486, 14;1, 36742, 15;
1787382730.977223172 0, 37486, 20;1, 36742, 14;
1787382733.950772175 0, 37486, 47;1, 36854, 48;
1787382737.091937613 0, 37558, 31;1, 36854, 29;
1787382740.228696486 0, 37558, 38;1, 36630, 27;
1787382742.606863273 0, 37302, 7;1, 36742, 0;
1787382745.338143355 0, 37302, 27;1, 36630, 72;
1787382748.276909242 0, 37302, 55;1, 36518, 23;
1787382751.382369467 0, 37582, 69;1, 36518, 88;
1787382753.773842150 0, 37814, 11;1, 36518, 0;
1787382756.779163393 0, 37814, 66;1, 36518, 27;
1787382759.796106821 0, 37814, 49;1, 36518, 22;
1787382762.930248597 0, 37814, 100;1, 36518, 100;
1787382765.089175844 0, 37814, 100;1, 36518, 25;
1787382767.382411758 0, 37814, 0;1, 36518, 0;
1787382770.162381057 0, 37558, 12;1, 36518, 52;
1787382773.194201252 0, 37558, 16;1, 36518, 0;
1787382776.208295673 0, 37302, 94;1, 36518, 100;
1787382778.488919870 0, 37046, 6;1, 36406, 6;
1787382781.085107228 0, 37046, 33;1, 36406, 20;
