1787381861.617531173 0, 33662, 0;1, 33650, 3;
1787381864.247573915 0, 33804, 1;1, 33822, 2;
1787381866.980101469 0, 33882, 6;1, 33896, 19;
1787381869.706475680 0, 34158, 0;1, 34102, 0;
1787381872.523799834 0, 34190, 58;1, 34398, 27;
1787381875.477553022 0, 34888, 100;1, 34416, 100;
1787381877.752707712 0, 34888, 5;1, 34416, 0;
1787381880.311016988 0, 35204, 0;1, 34802, 13;
1787381883.290045058 0, 35528, 0;1, 35384, 45;
1787381886.268517427 0, 35800, 0;1, 35574, 0;
1787381889.198112742 0, 36344, 0;1, 35982, 0;
1787381892.213563217 0, 36472, 100;1, 36090, 14;
1787381895.068455311 0, 36472, 28;1, 36090, 25;
1787381898.150860754 0, 36472, 69;1, 36202, 71;
1787381900.424575359 0, 36472, 0;1, 36292, 42;
1787381903.693911812 0, 36472, 100;1, 36546, 100;
1787381905.889233331 0, 36472, 23;1, 36546, 0;
1787381908.166912437 0, 36472, 7;1, 36546, 10;
1787381910.913393472 0, 36472, 7;1, 36546, 30;
1787381913.665201703 0, 36472, 10;1, 36546, 27;
1787381916.499889972 0, 36568, 0;1, 36646, 6;
1787381919.178978581 0, 36792, 1;1, 36646, 20;
1787381921.942628240 0, 37120, 0;1, 36646, 0;
1787381924.675359056 0, 37120, 14;1, 36646, 87;
1787381927.137132800 0, 37120, 13;1, 36646, 77;
1787381929.554903150 0, 37120, 13;1, 36646, 9;
1787381932.059483797 0, 37286, 2;1, 36646, 62;
1787381934.468055949 0, 37286, 6;1, 36646, 0;
1787381936.946734130 0, 37330, 13;1, 36646, 73;
1787381939.453804366 0, 37330, 10;1, 36646, 69;
1787381941.882566353 0, 37330, 9;1, 36646, 70;
1787381944.299004272 0, 37330, 7;1, 36646, 64;
1787381946.763944942 0, 37220, 4;1, 36646, 80;
1787381949.221783854 0, 37074, 26;1, 36646, 81;
1787381951.708043302 0, 37074, 11;1, 35974, 0;
1787381954.481552014 0, 37016, 0;1, 35974, 28;
1787381957.511906486 0, 37016, 27;1, 35974, 34;
1787381960.537555036 0, 37016, 78;1, 35974, 100;
1787381962.693947292 0, 36888, 14;1, 35974, 86;
1787381965.228702825 0, 36888, 13;1, 35974, 42;
1787381968.007161405 0, 36888, 10;1, 35974, 52;
1787381970.821373027 0, 37144, 0;1, 36022, 26;
1787381973.639807376 0, 37144, 5;1, 36310, 6;
1787381976.342644890 0, 37144, 76;1, 36310, 77;
1787381978.600452749 0, 37144, 46;1, 36310, 0;
1787381980.967835610 0, 37144, 10;1, 36310, 0;
1787381983.769265363 0, 37144, 0;1, 36310, 34;
1787381986.594562366 0, 37144, 12;1, 36310, 64;
1787381989.414487024 0, 37144, 13;1, 36310, 62;
1787381992.176839433 0, 37144, 0;1, 36310, 99;
1787381994.983501410 0, 37144, 12;1, 36310, 25;
1787381997.952943326 0, 35480, 0;1, 35750, 98;
