Real trace file: /root/Prism-final-regression-diagnosis/exp/results/final-regression-diagnosis/alg2-root-cause/sanity/steady_r8_s1_120s.pkl
[PRISM_DIRECT] 958 requests, span 119.9s
Starting TP benchmark: released-prototype_steady_rate8_seed1
Generated 958 requests
Request model_2#0 arrives at 1661908.854717407, sleeping for 0.002522480906918645 seconds
Request model_4#0 arrives at 1661908.857861351, sleeping for 0.038365113316103816 seconds
Request model_5#0 arrives at 1661908.896468201, sleeping for 0.18290568166412413 seconds
Request model_5#1 arrives at 1661909.080196994, sleeping for 0.05584688810631633 seconds
Request model_2#1 arrives at 1661909.136948432, sleeping for 1.179660677909851 seconds
Request model_6#0 arrives at 1661910.317691109, sleeping for 0.1833054693415761 seconds
Request model_5#2 arrives at 1661910.501817805, sleeping for 0.10368960280902684 seconds
Request model_5#3 arrives at 1661910.606809566, sleeping for 0.12841023947112262 seconds
Request model_6#1 arrives at 1661910.735792946, sleeping for 0.008355638012290001 seconds
Request model_5#4 arrives at 1661910.744672473, sleeping for 0.12268370133824646 seconds
Request model_4#1 arrives at 1661910.868500015, sleeping for 0.14690903131850064 seconds
Request model_3#0 arrives at 1661911.01660022, sleeping for 0.10800063097849488 seconds
Request model_3#1 arrives at 1661911.12549572, sleeping for 0.34012340451590717 seconds
Request model_3#2 arrives at 1661911.466627177, sleeping for 0.2066377210430801 seconds
Request model_3#3 arrives at 1661911.674907625, sleeping for 0.01557145407423377 seconds
Request model_1#0 arrives at 1661911.691243258, sleeping for 0.505473957862705 seconds
Request model_3#4 arrives at 1661912.197990942, sleeping for 0.1471108184196055 seconds
Request model_6#2 arrives at 1661912.346434659, sleeping for 0.27745328820310533 seconds
Request model_5#5 arrives at 1661912.624821954, sleeping for 0.18638340244069695 seconds
Request model_4#2 arrives at 1661912.812511966, sleeping for 0.04584931838326156 seconds
Request model_5#6 arrives at 1661912.859568981, sleeping for 0.00042959977872669697 seconds
Request model_5#7 arrives at 1661912.860542968, sleeping for 0.19615180953405797 seconds
Request model_5#8 arrives at 1661913.057745302, sleeping for 0.2673155376687646 seconds
Request model_3#5 arrives at 1661913.32586783, sleeping for 0.20295072020962834 seconds
Request model_5#9 arrives at 1661913.529318231, sleeping for 0.13181012775748968 seconds
Request model_3#6 arrives at 1661913.661959019, sleeping for 0.12342952867038548 seconds
Request model_5#10 arrives at 1661913.786150663, sleeping for 0.1660458673723042 seconds
Request model_3#7 arrives at 1661913.953470203, sleeping for 0.20794658525846899 seconds
Request model_4#3 arrives at 1661914.162105763, sleeping for 0.05570586654357612 seconds
Request model_4#4 arrives at 1661914.218815189, sleeping for 0.029848430072888732 seconds
Request model_3#8 arrives at 1661914.24948676, sleeping for 0.01014129095710814 seconds
Request model_5#11 arrives at 1661914.26014049, sleeping for 0.1406787484884262 seconds
Request model_5#12 arrives at 1661914.402025548, sleeping for 0.03569142962805927 seconds
Request model_3#9 arrives at 1661914.438439132, sleeping for 0.17555681057274342 seconds
Request model_3#10 arrives at 1661914.615791596, sleeping for 0.09721236629411578 seconds
Request model_2#2 arrives at 1661914.714219667, sleeping for 0.0005229569505900145 seconds
Request model_4#5 arrives at 1661914.715195155, sleeping for 0.019799878587946296 seconds
Request model_1#1 arrives at 1661914.735303316, sleeping for 0.0228470538277179 seconds
Request model_3#11 arrives at 1661914.759165065, sleeping for 0.14618382905609906 seconds
Request model_3#12 arrives at 1661914.906208282, sleeping for 0.10547169880010188 seconds
Request model_3#13 arrives at 1661915.012062158, sleeping for 0.10634972457773983 seconds
Request model_3#14 arrives at 1661915.120096852, sleeping for 0 seconds
Request model_4#6 arrives at 1661915.120496764, sleeping for 0.1245366451330483 seconds
Request model_2#3 arrives at 1661915.245432515, sleeping for 0.01477726036682725 seconds
Request model_5#13 arrives at 1661915.261218523, sleeping for 0.039612100226804614 seconds
Request model_5#14 arrives at 1661915.30191935, sleeping for 0.1773188724182546 seconds
Request model_5#15 arrives at 1661915.479831928, sleeping for 0.028184351045638323 seconds
Request model_4#7 arrives at 1661915.508959397, sleeping for 0.036011849297210574 seconds
Request model_3#15 arrives at 1661915.547043184, sleeping for 0.23800629866309464 seconds
Request model_2#4 arrives at 1661915.786099082, sleeping for 0.006152048008516431 seconds
Request model_6#3 arrives at 1661915.792761783, sleeping for 0.0006451306398957968 seconds
Request model_3#16 arrives at 1661915.794366445, sleeping for 0.1736750367563218 seconds
Request model_4#8 arrives at 1661915.970182987, sleeping for 0.09619852481409907 seconds
Request model_5#16 arrives at 1661916.06755934, sleeping for 0.15434753382578492 seconds
Request model_2#5 arrives at 1661916.222390905, sleeping for 0.3367234533652663 seconds
Request model_5#17 arrives at 1661916.559631553, sleeping for 0.2138672205619514 seconds
Request model_5#18 arrives at 1661916.774558959, sleeping for 0.35216009500436485 seconds
Request model_4#9 arrives at 1661917.127706856, sleeping for 0.05983912432566285 seconds
Request model_5#19 arrives at 1661917.189108818, sleeping for 0.025689901085570455 seconds
