Real trace file: /root/Prism-final-regression-diagnosis/exp/results/final-regression-diagnosis/alg2-root-cause/sanity/steady_r8_s1_120s.pkl
[PRISM_DIRECT] 958 requests, span 119.9s
Starting TP benchmark: paper-alg2-only_steady_rate8_seed1
Generated 958 requests
Request model_2#0 arrives at 1662214.044148817, sleeping for 0.002522420836612582 seconds
Request model_4#0 arrives at 1662214.04730456, sleeping for 0.03835341427475214 seconds
Request model_5#0 arrives at 1662214.087360897, sleeping for 0.18144464562647045 seconds
Request model_5#1 arrives at 1662214.269253774, sleeping for 0.056221527978777885 seconds
Request model_2#1 arrives at 1662214.325954144, sleeping for 1.1800863556563854 seconds
Request model_6#0 arrives at 1662215.507005201, sleeping for 0.18342256732285023 seconds
Request model_5#2 arrives at 1662215.691339487, sleeping for 0.1035999406594783 seconds
Request model_5#3 arrives at 1662215.796269984, sleeping for 0.128381441347301 seconds
Request model_6#1 arrives at 1662215.925093258, sleeping for 0.008486915845423937 seconds
Request model_5#4 arrives at 1662215.933832603, sleeping for 0.12295545125380158 seconds
Request model_4#1 arrives at 1662216.057597529, sleeping for 0.14724299730733037 seconds
Request model_3#0 arrives at 1662216.205530875, sleeping for 0.10850198590196669 seconds
Request model_3#1 arrives at 1662216.314356681, sleeping for 0.3406941434368491 seconds
Request model_3#2 arrives at 1662216.656133042, sleeping for 0.20656318590044975 seconds
Request model_3#3 arrives at 1662216.864117733, sleeping for 0.015792635967954993 seconds
Request model_1#0 arrives at 1662216.881009877, sleeping for 0.5051383988466114 seconds
Request model_3#4 arrives at 1662217.387270777, sleeping for 0.14726316323503852 seconds
Request model_6#2 arrives at 1662217.535844567, sleeping for 0.27747500012628734 seconds
Request model_5#5 arrives at 1662217.813974637, sleeping for 0.18666211934760213 seconds
Request model_4#2 arrives at 1662218.001129523, sleeping for 0.04666327149607241 seconds
Request model_5#6 arrives at 1662218.048309452, sleeping for 0.0011207286734133959 seconds
Request model_5#7 arrives at 1662218.050232587, sleeping for 0.1958942306227982 seconds
Request model_5#8 arrives at 1662218.247231766, sleeping for 0.26726058358326554 seconds
Request model_3#5 arrives at 1662218.51524081, sleeping for 0.20300865010358393 seconds
Request model_5#9 arrives at 1662218.718968109, sleeping for 0.13159194961190224 seconds
Request model_3#6 arrives at 1662218.851752612, sleeping for 0.12306733545847237 seconds
Request model_5#10 arrives at 1662218.976797849, sleeping for 0.16483037150464952 seconds
Request model_3#7 arrives at 1662219.142712027, sleeping for 0.20813629124313593 seconds
Request model_4#3 arrives at 1662219.352836303, sleeping for 0.05440714652650058 seconds
Request model_4#4 arrives at 1662219.407592189, sleeping for 0.03050283994525671 seconds
Request model_3#8 arrives at 1662219.438303356, sleeping for 0.010756444884464145 seconds
