1787379086.910316935 0, 33708, 0;1, 33722, 0;
1787379089.258620009 0, 33844, 4;1, 33842, 21;
1787379091.630101733 0, 33846, 1;1, 33904, 0;
1787379094.148154521 0, 34070, 0;1, 33978, 31;
1787379096.632743479 0, 34172, 8;1, 34414, 0;
1787379099.155915821 0, 34300, 6;1, 34414, 27;
1787379101.696708702 0, 34936, 14;1, 34420, 93;
1787379104.253571940 0, 35126, 14;1, 34482, 18;
1787379106.780531304 0, 35540, 16;1, 34948, 0;
1787379109.318500589 0, 35668, 16;1, 35278, 19;
1787379111.921382052 0, 35940, 80;1, 35520, 67;
1787379114.405209832 0, 36284, 31;1, 35764, 62;
1787379117.131526295 0, 36484, 16;1, 35844, 20;
1787379119.648414356 0, 36484, 31;1, 35872, 18;
1787379122.147507504 0, 36484, 0;1, 35872, 59;
1787379124.727280817 0, 36484, 13;1, 35872, 76;
1787379127.320755209 0, 36486, 0;1, 36074, 21;
1787379129.963483044 0, 36486, 1;1, 36328, 58;
1787379132.330994702 0, 36486, 14;1, 36394, 33;
1787379134.812496621 0, 36486, 13;1, 36442, 0;
1787379137.403836051 0, 36486, 0;1, 36442, 71;
1787379139.899198209 0, 36486, 14;1, 36442, 77;
1787379142.470319836 0, 36806, 8;1, 36542, 0;
1787379144.978683197 0, 36806, 2;1, 36542, 14;
1787379147.692036462 0, 36806, 20;1, 36542, 81;
1787379150.108926803 0, 36806, 14;1, 36542, 0;
1787379152.580713289 0, 36806, 7;1, 36542, 14;
1787379155.214397750 0, 36806, 26;1, 36542, 9;
1787379157.748804255 0, 36972, 7;1, 36542, 66;
1787379160.304795078 0, 36972, 18;1, 36542, 74;
1787379162.888121502 0, 37016, 14;1, 36542, 3;
1787379165.491501122 0, 37016, 10;1, 36542, 78;
1787379168.071775749 0, 37016, 0;1, 36542, 3;
1787379170.597129330 0, 37016, 14;1, 36542, 54;
1787379173.210304547 0, 37016, 20;1, 36542, 63;
1787379175.790454929 0, 37016, 7;1, 36542, 0;
1787379178.487028548 0, 37086, 10;1, 36542, 70;
1787379181.007060802 0, 37086, 0;1, 36318, 10;
1787379183.853292113 0, 37086, 2;1, 36430, 14;
1787379186.856970245 0, 37086, 2;1, 36318, 10;
1787379190.474081221 0, 37086, 38;1, 36318, 72;
1787379192.784466661 0, 37110, 15;1, 36318, 23;
1787379195.662076735 0, 37742, 48;1, 36318, 24;
1787379198.646494755 0, 37742, 64;1, 36318, 0;
1787379201.760842752 0, 37742, 100;1, 36430, 100;
1787379204.010377978 0, 37742, 25;1, 36430, 13;
1787379206.564082716 0, 37742, 30;1, 36430, 21;
1787379209.592950296 0, 37742, 28;1, 36430, 14;
1787379212.747709294 0, 37742, 0;1, 36430, 0;
1787379215.838059784 0, 37742, 92;1, 36430, 0;
1787379218.843434115 0, 37742, 7;1, 36318, 20;
1787379221.949909189 0, 37230, 0;1, 36318, 0;
1787379224.904509212 0, 36974, 0;1, 36318, 17;
