system,request_rate,seed,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,ttft_slo_attainment,tpot_slo_attainment,joint_slo_attainment,throughput_req_s,joint_slo_goodput_req_s,num_completed,num_failed,num_migrations,num_evictions,num_activations,num_mh_deferred,ttft_p95_ms,tpot_p95_ms,requests_in_window,alg1_log_lines,alg2_log_lines
paper-faithful,10.0,1,89.23101425170898,381.60252571105957,53.01094055175781,102.18114323086208,0.9983338887037654,0.8670443185604798,0.8657114295234921,10.003333333333334,8.66,3001,0,0,0,0,20,229.46834564208984,72.87897382463727,3001,696,1051
paper-faithful,10.0,2,86.58242225646973,411.5010929107666,50.364489458045185,104.25867037339644,0.9990108803165183,0.8747115067589845,0.8740520936366634,10.11,8.836666666666666,3033,0,2,0,0,16,242.59896278381356,72.49591245630468,3033,705,994
paper-faithful,10.0,3,93.7948226928711,451.8291115760802,56.22741870205411,102.92401747270054,0.9918460534898891,0.6986301369863014,0.6950424005218526,10.22,7.1033333333333335,3066,0,0,0,0,20,237.22964525222778,78.16770492178021,3066,723,1197
paper-faithful,20.0,1,110.39948463439941,468.3964633941643,116.10833127447899,198.88010025024408,0.997153859032312,0.33266365310564205,0.33266365310564205,19.91,6.623333333333333,5973,0,2,2,0,38,287.42022514343256,155.0211248235339,5973,735,1565
paper-faithful,20.0,2,112.37740516662598,500.4589605331421,119.8709776519997,231.46028605718467,0.9967320261437909,0.330718954248366,0.330718954248366,20.4,6.746666666666667,6120,0,2,2,0,80,278.77067327499395,169.3004739535106,6120,741,1597
paper-faithful,20.0,3,119.4918155670166,516.292686462402,127.61054933071136,205.53147586186725,0.9952373131877156,0.32862539004762686,0.3273115454097553,20.296666666666667,6.6433333333333335,6089,0,2,0,0,57,323.3446121215819,166.34917418162027,6089,723,1760
paper-faithful,30.0,1,10003.902554512024,34538.61589431763,132.35923749124052,207.2050003966025,0.43384192096048024,0.3186593296648324,0.31315657828914456,26.653333333333332,8.346666666666666,7996,1105,2,2,0,56,32713.42945098877,183.37173806781365,9101,770,1516
paper-faithful,30.0,2,16824.646711349487,33050.57913303375,151.7834582766473,260.7900813730751,0.37676909345913556,0.28063241106719367,0.2747673084278975,26.143333333333334,7.183333333333334,7843,1304,2,3,0,50,28355.04038333893,200.72998325294037,9147,754,1325
paper-faithful,30.0,3,3438.7667179107666,39921.003551483154,155.16485973280302,260.6124880097129,0.4231328806983511,0.30504364694471386,0.2923132880698351,27.493333333333332,8.036666666666667,8248,813,4,1,0,3310,36568.79761219025,199.89626688016972,9061,762,1421
released-prototype,10.0,1,70.37353515625,440.4640197753906,41.32738209410802,87.14820543924967,0.9986671109630123,0.9640119960013329,0.9626791069643452,10.003333333333334,9.63,3001,0,0,0,0,0,247.81417846679688,59.417196523363344,3001,0,0
released-prototype,10.0,2,87.19825744628906,358.1424331665037,52.32418500460111,106.78948508368563,1.0,0.82558522914606,0.82558522914606,10.11,8.346666666666666,3033,0,0,0,0,0,222.94392585754397,75.05532900492351,3033,0,0
released-prototype,10.0,3,89.70129489898682,350.9364008903503,54.69667135100759,101.42637391885118,0.9993476842791911,0.8030006523157208,0.8026744944553164,10.22,8.203333333333333,3066,0,1,0,0,0,224.90447759628296,74.50072495208708,3066,0,0
released-prototype,20.0,1,82.99827575683594,472.6916790008534,78.35246835436139,145.70233077818642,0.9969864389753893,0.39594843462246776,0.39578101456554493,19.91,7.88,5973,0,1,0,0,0,237.69717216491685,110.73612447218458,5973,0,0
released-prototype,20.0,2,111.36186122894287,444.24981594085835,118.51514113256245,229.16145042272714,0.9993464052287582,0.3253267973856209,0.3253267973856209,20.4,6.636666666666667,6120,0,1,2,0,0,297.1885919570923,169.10294264215887,6120,0,0
released-prototype,20.0,3,109.64345932006836,428.1674480438223,116.04955868843274,189.32588259379062,0.9963869272458532,0.33207423222203974,0.3319100016423058,20.296666666666667,6.736666666666666,6089,0,1,0,0,0,265.5805587768553,154.8258399963378,6089,0,0
released-prototype,30.0,1,177.69908905029297,21138.68026733398,141.38206839561462,331.4584263888265,0.6540037656440358,0.1914940746483553,0.17908960017720676,30.096666666666668,5.39,9029,72,3,0,0,0,14952.850246429445,216.32944919353423,9101,0,0
released-prototype,30.0,2,506.82806968688965,21240.336749553673,155.86057926927293,434.49592506885466,0.5097244732576985,0.1412363973141931,0.13776337115072934,28.793333333333333,3.966666666666667,8638,509,2,1,0,0,20123.541462421417,249.8580950415522,9147,0,0
released-prototype,30.0,3,919.4704294204712,31018.241193294518,166.6355297678993,446.3603532314294,0.48286214660995747,0.16174630973229923,0.159369527145359,26.64666666666667,4.246666666666667,7994,1067,2,2,0,0,25983.748257160187,258.7283952512602,9061,0,0
