[2026-08-13 13:20:48.639 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:20:53.889 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:20:59.152 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:02.862 Model_Service_0] Model key: meta-llama/Llama-3.1-8B, engine id: 0_0, target gpu id: 0
[2026-08-13 13:21:04.657 Model_Service_0] Time taken to copy model to GPU 0, service 0, engine 0_0, model meta-llama/Llama-3.1-8B: 1.7945 seconds
[2026-08-13 13:21:09.913 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:15.149 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:20.405 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:25.640 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:30.870 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:36.093 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:41.373 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:46.597 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:51.833 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:21:57.053 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:02.287 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:07.509 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:12.733 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:17.965 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:23.200 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:28.440 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:33.672 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:38.895 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:44.173 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:49.402 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:54.631 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:22:59.854 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:05.132 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:10.361 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:15.582 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:20.808 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:26.040 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:31.264 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:36.495 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:41.724 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:46.954 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:52.182 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:23:57.411 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:24:02.635 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:24:07.885 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:24:13.125 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-13 13:24:18.354 Model_Service_0] Model service 0 input queue is empty, waiting for next request
