[2026-08-20 09:38:04.109 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 09:38:09.118 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:14.366 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:19.643 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:24.874 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:30.146 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:35.406 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:40.660 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:45.899 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:51.154 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:38:56.407 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:01.660 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:06.926 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:12.170 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:17.449 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:22.703 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:27.973 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:33.231 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:38.487 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:43.749 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:49.010 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 09:39:54.258 Model_Service_0] Model service 0 input queue is empty, waiting for next request
