[2026-08-20 13:15:49.585 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 13:15:54.593 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:15:59.853 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:05.107 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:10.438 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:15.882 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:21.334 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:26.726 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:31.950 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:37.182 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:42.435 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:47.690 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:52.944 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:16:58.186 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:03.418 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:08.672 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:13.926 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:19.222 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:24.462 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:29.682 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:34.908 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:40.136 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:45.386 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:50.622 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:17:55.914 Model_Service_0] Model service 0 input queue is empty, waiting for next request
