[2026-08-20 13:18:46.385 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 13:18:51.390 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:18:56.634 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:01.955 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:07.190 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:12.502 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:17.746 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:22.985 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:28.214 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:33.622 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:39.098 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:44.615 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:49.978 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:19:55.266 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:00.524 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:05.763 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:10.990 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:16.234 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:21.526 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:26.782 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:32.025 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:37.262 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:42.492 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:20:47.717 Model_Service_0] Model service 0 input queue is empty, waiting for next request
