[2026-08-20 13:21:37.819 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 13:21:42.826 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:21:48.090 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:21:53.454 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:21:58.754 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:04.034 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:09.281 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:14.562 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:19.854 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:25.094 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:30.331 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:35.567 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:40.842 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:46.154 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:51.434 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:22:56.670 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:01.910 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:07.158 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:12.402 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:17.642 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:22.939 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:28.172 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:33.402 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:38.630 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 13:23:43.878 Model_Service_0] Model service 0 input queue is empty, waiting for next request
