[2026-08-20 06:43:45.657 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '1->0': True} p2p=False
[2026-08-20 06:43:50.661 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:43:55.889 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:01.128 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:06.371 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:11.598 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:16.850 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:22.081 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:27.333 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:32.561 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:37.795 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:43.027 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:48.258 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:53.488 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:44:58.720 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:03.951 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:09.178 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:14.406 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:19.634 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:24.866 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:30.094 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:35.322 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:40.548 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:45.778 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:51.014 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:45:56.234 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:01.458 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:06.682 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:11.908 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:17.138 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:22.370 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:27.600 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:32.822 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:38.050 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:43.281 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:48.506 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:53.728 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:46:58.954 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:04.177 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:09.399 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:14.626 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:19.859 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:25.089 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:30.312 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:35.533 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:40.756 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:45.977 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:51.203 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:47:56.426 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:01.649 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:06.876 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:12.101 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:17.322 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:22.549 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:27.785 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:33.014 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:38.238 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:43.460 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:48.682 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:53.913 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:48:59.150 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:04.376 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:09.598 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:14.818 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:20.042 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:25.266 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:30.492 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:35.719 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:40.953 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:46.183 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:51.413 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:49:56.644 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:01.871 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:07.098 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:12.326 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:17.550 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:22.779 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:28.004 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:33.243 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:38.474 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:43.699 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:48.926 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:54.151 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:50:59.374 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:51:04.597 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:51:09.823 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:51:15.050 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:51:20.284 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 06:51:25.508 Model_Service_0] Model service 0 input queue is empty, waiting for next request
