[2026-08-20 07:24:25.081 Model_Service_0] [PAPER-LOAD-V4] peer access: {'0->1': True, '0->2': True, '0->3': True, '1->0': True, '1->2': True, '1->3': True, '2->0': True, '2->1': True, '2->3': True, '3->0': True, '3->1': True, '3->2': True} p2p=False
[2026-08-20 07:24:30.084 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:24:35.343 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:24:40.590 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:24:45.836 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:24:51.075 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:24:56.328 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:25:01.560 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:25:06.795 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:25:12.028 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:25:17.330 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:25:22.561 Model_Service_0] Model service 0 input queue is empty, waiting for next request
[2026-08-20 07:25:27.945 Model_Service_0] Model service 0 input queue is empty, waiting for next request
