cycle,timestamp,model,tp_size,current_gpus,planned_gpus,planned_collides
1,1787233407.8493412,model_5,1,0,0,0
1,1787233407.8493412,model_1,2,2|3,2|3,0
1,1787233407.8493412,model_2,1,1,1,0
1,1787233407.8493412,model_3,1,2,2,0
1,1787233407.8493412,model_4,1,0,0,0
1,1787233407.8493412,model_6,1,1,1,0
2,1787233412.9903064,model_3,1,2,2,0
2,1787233412.9903064,model_5,1,0,0,0
2,1787233412.9903064,model_2,1,1,1,0
2,1787233412.9903064,model_6,1,1,1,0
2,1787233412.9903064,model_1,2,2|3,2|3,0
2,1787233412.9903064,model_4,1,0,0,0
3,1787233418.1990702,model_2,1,1,1,0
3,1787233418.1990702,model_3,1,2,2,0
3,1787233418.1990702,model_5,1,0,0,0
3,1787233418.1990702,model_6,1,1,1,0
3,1787233418.1990702,model_1,2,2|3,2|3,0
3,1787233418.1990702,model_4,1,0,0,0
4,1787233423.5546055,model_3,1,2,2,0
4,1787233423.5546055,model_5,1,0,0,0
4,1787233423.5546055,model_2,1,1,1,0
4,1787233423.5546055,model_6,1,1,1,0
4,1787233423.5546055,model_1,2,2|3,2|3,0
4,1787233423.5546055,model_4,1,0,0,0
5,1787233428.564074,model_2,1,1,1,0
5,1787233428.564074,model_5,1,0,0,0
5,1787233428.564074,model_3,1,2,2,0
5,1787233428.564074,model_6,1,1,1,0
5,1787233428.564074,model_1,2,2|3,2|3,0
5,1787233428.564074,model_4,1,0,0,0
6,1787233433.721117,model_2,1,1,1,0
6,1787233433.721117,model_3,1,2,2,0
6,1787233433.721117,model_5,1,0,0,0
6,1787233433.721117,model_6,1,1,1,0
6,1787233433.721117,model_1,2,2|3,2|3,0
6,1787233433.721117,model_4,1,0,0,0
7,1787233438.935457,model_2,1,1,1,0
7,1787233438.935457,model_5,1,0,0,0
7,1787233438.935457,model_3,1,2,2,0
7,1787233438.935457,model_6,1,1,1,0
7,1787233438.935457,model_1,2,2|3,2|3,0
7,1787233438.935457,model_4,1,0,0,0
8,1787233443.9510865,model_2,1,1,1,0
8,1787233443.9510865,model_5,1,0,0,0
8,1787233443.9510865,model_3,1,2,2,0
8,1787233443.9510865,model_6,1,1,1,0
8,1787233443.9510865,model_1,2,2|3,2|3,0
8,1787233443.9510865,model_4,1,0,0,0
9,1787233449.0440624,model_2,1,1,1,0
9,1787233449.0440624,model_5,1,0,0,0
9,1787233449.0440624,model_3,1,2,2,0
9,1787233449.0440624,model_6,1,1,1,0
9,1787233449.0440624,model_1,2,2|3,2|3,0
9,1787233449.0440624,model_4,1,0,0,0
10,1787233454.061432,model_2,1,1,1,0
10,1787233454.061432,model_5,1,0,0,0
10,1787233454.061432,model_3,1,2,2,0
10,1787233454.061432,model_1,2,2|3,2|3,0
10,1787233454.061432,model_6,1,1,1,0
10,1787233454.061432,model_4,1,0,0,0
11,1787233459.2557285,model_5,1,0,0,0
11,1787233459.2557285,model_2,1,1,1,0
11,1787233459.2557285,model_1,2,2|3,2|3,0
11,1787233459.2557285,model_3,1,2,2,0
11,1787233459.2557285,model_4,1,0,0,0
11,1787233459.2557285,model_6,1,1,1,0
12,1787233464.2966785,model_5,1,0,0,0
12,1787233464.2966785,model_2,1,1,1,0
12,1787233464.2966785,model_1,2,2|3,2|3,0
12,1787233464.2966785,model_3,1,2,2,0
12,1787233464.2966785,model_4,1,0,0,0
12,1787233464.2966785,model_6,1,1,1,0
13,1787233469.4204533,model_5,1,0,0,0
13,1787233469.4204533,model_1,2,2|3,2|3,0
13,1787233469.4204533,model_4,1,0,1,0
13,1787233469.4204533,model_2,1,1,1,0
13,1787233469.4204533,model_3,1,2,2,0
13,1787233469.4204533,model_6,1,1,1,0
14,1787233474.4647224,model_5,1,0,0,0
14,1787233474.4647224,model_1,2,2|3,2|3,0
14,1787233474.4647224,model_4,1,0,1,0
14,1787233474.4647224,model_3,1,2,2,0
14,1787233474.4647224,model_2,1,1,1,0
14,1787233474.4647224,model_6,1,1,1,0
15,1787233479.591287,model_5,1,0,0,0
15,1787233479.591287,model_1,2,2|3,2|3,0
15,1787233479.591287,model_4,1,0,1,0
15,1787233479.591287,model_3,1,2,2,0
15,1787233479.591287,model_2,1,1,1,0
15,1787233479.591287,model_6,1,1,1,0
16,1787233485.022431,model_5,1,0,0,0
16,1787233485.022431,model_1,2,2|3,2|3,0
16,1787233485.022431,model_4,1,0,1,0
16,1787233485.022431,model_3,1,2,2,0
16,1787233485.022431,model_2,1,1,1,0
16,1787233485.022431,model_6,1,1,1,0
17,1787233490.23776,model_5,1,0,0,0
17,1787233490.23776,model_1,2,2|3,2|3,0
17,1787233490.23776,model_4,1,0,1,0
17,1787233490.23776,model_3,1,2,2,0
17,1787233490.23776,model_2,1,1,1,0
17,1787233490.23776,model_6,1,1,1,0
18,1787233495.7003906,model_5,1,0,0,0
18,1787233495.7003906,model_1,2,2|3,2|3,0
18,1787233495.7003906,model_4,1,0,1,0
18,1787233495.7003906,model_3,1,2,2,0
18,1787233495.7003906,model_2,1,1,1,0
18,1787233495.7003906,model_6,1,1,1,0
19,1787233500.9710853,model_5,1,0,0,0
19,1787233500.9710853,model_1,2,2|3,2|3,0
19,1787233500.9710853,model_4,1,0,1,0
19,1787233500.9710853,model_3,1,2,2,0
19,1787233500.9710853,model_2,1,1,1,0
20,1787233506.1205993,model_5,1,0,0,0
20,1787233506.1205993,model_1,2,2|3,2|3,0
20,1787233506.1205993,model_4,1,1,1,0
20,1787233506.1205993,model_3,1,2,2,0
20,1787233506.1205993,model_2,1,1,1,0
21,1787233511.1677198,model_5,1,0,0,0
21,1787233511.1677198,model_1,2,2|3,2|3,0
21,1787233511.1677198,model_4,1,1,1,0
21,1787233511.1677198,model_3,1,2,2,0
21,1787233511.1677198,model_2,1,1,1,0
22,1787233516.3863373,model_5,1,0,0,0
22,1787233516.3863373,model_1,2,2|3,2|3,0
22,1787233516.3863373,model_3,1,2,2,0
22,1787233516.3863373,model_4,1,1,1,0
22,1787233516.3863373,model_2,1,1,1,0
23,1787233521.4801035,model_5,1,0,0,0
23,1787233521.4801035,model_1,2,2|3,2|3,0
23,1787233521.4801035,model_4,1,1,1,0
23,1787233521.4801035,model_3,1,2,2,0
23,1787233521.4801035,model_2,1,1,1,0
24,1787233526.778825,model_5,1,0,0,0
24,1787233526.778825,model_3,1,2,2,0
24,1787233526.778825,model_1,2,2|3,2|3,0
24,1787233526.778825,model_4,1,1,1,0
24,1787233526.778825,model_2,1,1,1,0
25,1787233531.8031375,model_5,1,0,0,0
25,1787233531.8031375,model_3,1,2,2,0
25,1787233531.8031375,model_1,2,2|3,2|3,0
25,1787233531.8031375,model_4,1,1,1,0
25,1787233531.8031375,model_6,1,3,3,0
25,1787233531.8031375,model_2,1,1,1,0
26,1787233536.9476607,model_5,1,0,0,0
26,1787233536.9476607,model_3,1,2,2,0
26,1787233536.9476607,model_1,2,2|3,1|3,0
26,1787233536.9476607,model_6,1,3,3,0
26,1787233536.9476607,model_4,1,1,1,0
26,1787233536.9476607,model_2,1,1,1,0
27,1787233542.0159414,model_3,1,2,2,0
27,1787233542.0159414,model_5,1,0,0,0
27,1787233542.0159414,model_1,2,2|3,1|3,0
27,1787233542.0159414,model_6,1,3,3,0
27,1787233542.0159414,model_4,1,1,1,0
27,1787233542.0159414,model_2,1,1,1,0
28,1787233547.1792712,model_3,1,2,2,0
28,1787233547.1792712,model_5,1,0,0,0
28,1787233547.1792712,model_6,1,3,3,0
